MODY,0.00,0.50,1.00,5.00,10.00,15.00,20.00,25.00,30.00,35.00,40.00,45.00,50.00,55.00,60.00,65.00,70.00,75.00,80.00,85.00,90.00,95.00,99.00,99.50,100.00,
0101,0.641,0.747,0.820,1.105,1.535,1.998,2.384,2.597,2.828,2.996,3.182,3.325,3.506,3.719,3.955,4.269,4.677,5.318,6.506,7.902,9.627,14.051,28.584,35.587,37.518,
0102,0.291,0.608,0.669,1.199,1.646,2.160,2.477,2.704,2.916,3.085,3.256,3.405,3.608,3.848,4.110,4.452,4.987,5.971,7.054,8.424,10.301,14.645,28.584,35.587,37.518,
0103,0.258,0.365,0.613,1.107,1.513,1.871,2.303,2.574,2.819,3.004,3.198,3.355,3.544,3.779,4.036,4.389,4.984,6.087,7.269,8.715,11.036,16.568,28.584,35.587,37.518,
0104,0.258,0.365,0.613,1.114,1.535,1.989,2.361,2.589,2.829,3.018,3.217,3.370,3.569,3.808,4.081,4.439,5.099,6.164,7.528,9.440,13.035,17.665,28.584,35.587,37.518,
0105,0.258,0.365,0.613,1.237,1.673,2.187,2.486,2.706,2.918,3.094,3.270,3.419,3.626,3.858,4.138,4.494,5.131,6.104,7.528,9.222,12.323,16.383,21.587,23.941,28.955,
0106,0.224,0.267,0.371,1.099,1.670,2.196,2.503,2.726,2.935,3.114,3.285,3.443,3.662,3.904,4.229,4.688,5.491,6.525,7.992,10.027,13.501,17.606,23.403,26.289,28.955,
0107,0.224,0.265,0.305,0.758,1.333,1.825,2.262,2.554,2.813,3.011,3.218,3.378,3.591,3.852,4.196,4.638,5.440,6.477,7.977,10.086,14.041,18.251,24.010,27.153,29.342,
0108,0.178,0.236,0.266,0.629,1.175,1.576,2.093,2.435,2.704,2.960,3.197,3.376,3.604,3.896,4.313,4.907,5.787,6.792,8.390,10.721,14.409,18.251,24.010,27.153,29.342,
0109,0.178,0.236,0.266,0.621,1.102,1.440,1.930,2.389,2.673,2.947,3.204,3.398,3.694,4.062,4.529,5.242,6.155,7.236,9.019,11.934,15.491,19.192,24.010,27.153,29.342,
0110,0.178,0.236,0.266,0.621,1.052,1.287,1.661,2.194,2.503,2.786,3.046,3.300,3.560,3.905,4.354,5.001,5.918,6.886,8.464,10.988,14.602,18.456,23.291,25.764,29.342,
0111,0.178,0.236,0.266,0.592,1.023,1.242,1.610,2.087,2.429,2.726,3.000,3.275,3.524,3.872,4.374,5.099,6.160,7.273,8.925,11.916,15.546,19.264,23.630,25.764,29.342,
0112,0.178,0.236,0.266,0.592,1.021,1.233,1.584,2.046,2.413,2.719,3.016,3.308,3.533,3.900,4.450,5.350,6.512,7.982,10.253,12.812,15.901,19.456,23.541,25.764,29.342,
