MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,19,5.26
0102,0,19,0.00
0103,0,19,0.00
0104,0,19,0.00
0105,0,19,0.00
0106,0,19,0.00
0107,0,19,0.00
0108,0,19,0.00
0109,0,19,0.00
0110,1,19,5.26
0111,0,19,0.00
0112,0,19,0.00
0113,0,19,0.00
0114,0,19,0.00
0115,0,19,0.00
0116,0,19,0.00
0117,0,19,0.00
0118,0,19,0.00
0119,0,19,0.00
0120,0,19,0.00
0121,0,18,0.00
0122,0,19,0.00
0123,0,19,0.00
0124,0,19,0.00
0125,1,19,5.26
0126,0,19,0.00
0127,0,18,0.00
0128,0,18,0.00
0129,0,18,0.00
0130,0,18,0.00
0131,0,18,0.00
0201,1,18,5.56
0202,0,18,0.00
0203,0,18,0.00
0204,0,18,0.00
0205,0,18,0.00
0206,0,18,0.00
0207,0,18,0.00
0208,0,18,0.00
0209,0,18,0.00
0210,0,18,0.00
0211,0,18,0.00
0212,0,18,0.00
0213,0,18,0.00
0214,0,18,0.00
0215,0,18,0.00
0216,0,18,0.00
0217,0,18,0.00
0218,1,18,5.56
0219,0,18,0.00
0220,0,18,0.00
0221,2,18,11.11
0222,2,18,11.11
0223,1,18,5.56
0224,0,18,0.00
0225,0,17,0.00
0226,0,17,0.00
0227,0,17,0.00
0228,0,18,0.00
0229,0,4,0.00
0301,1,18,5.56
0302,0,18,0.00
0303,0,18,0.00
0304,0,18,0.00
0305,1,18,5.56
0306,0,18,0.00
0307,0,18,0.00
0308,0,18,0.00
0309,0,18,0.00
0310,0,18,0.00
0311,0,17,0.00
0312,0,17,0.00
0313,0,17,0.00
0314,0,17,0.00
0315,0,18,0.00
0316,0,18,0.00
0317,0,18,0.00
0318,0,18,0.00
0319,0,18,0.00
0320,1,18,5.56
0321,1,18,5.56
0322,0,18,0.00
0323,1,18,5.56
0324,0,18,0.00
0325,0,18,0.00
0326,0,18,0.00
0327,0,18,0.00
0328,0,18,0.00
0329,0,18,0.00
0330,0,18,0.00
0331,0,18,0.00
0401,1,17,5.88
0402,0,18,0.00
0403,0,18,0.00
0404,0,18,0.00
0405,0,18,0.00
0406,0,18,0.00
0407,1,18,5.56
0408,1,18,5.56
0409,2,18,11.11
0410,1,18,5.56
0411,0,18,0.00
0412,0,18,0.00
0413,1,18,5.56
0414,1,18,5.56
0415,0,18,0.00
0416,0,18,0.00
0417,1,18,5.56
0418,0,18,0.00
0419,0,18,0.00
0420,0,17,0.00
0421,0,18,0.00
0422,0,18,0.00
0423,0,18,0.00
0424,0,18,0.00
0425,0,18,0.00
0426,0,18,0.00
0427,0,18,0.00
0428,0,18,0.00
0429,2,18,11.11
0430,0,18,0.00
0501,1,18,5.56
0502,1,18,5.56
0503,0,18,0.00
0504,0,18,0.00
0505,1,18,5.56
0506,1,18,5.56
0507,1,18,5.56
0508,0,18,0.00
0509,2,18,11.11
0510,1,18,5.56
0511,0,18,0.00
0512,1,18,5.56
0513,0,18,0.00
0514,0,18,0.00
0515,0,18,0.00
0516,0,18,0.00
0517,1,18,5.56
0518,0,18,0.00
0519,0,18,0.00
0520,0,18,0.00
0521,0,18,0.00
0522,0,18,0.00
0523,1,18,5.56
0524,0,18,0.00
0525,0,18,0.00
0526,0,18,0.00
0527,0,18,0.00
0528,0,18,0.00
0529,0,18,0.00
0530,0,18,0.00
0531,0,17,0.00
0601,0,17,0.00
0602,0,18,0.00
0603,0,18,0.00
0604,0,18,0.00
0605,0,18,0.00
0606,1,18,5.56
0607,1,18,5.56
0608,0,18,0.00
0609,0,18,0.00
0610,0,18,0.00
0611,0,18,0.00
0612,0,18,0.00
0613,0,18,0.00
0614,0,18,0.00
0615,0,18,0.00
0616,0,17,0.00
0617,0,16,0.00
0618,0,16,0.00
0619,0,16,0.00
0620,0,17,0.00
0621,0,17,0.00
0622,0,17,0.00
0623,0,17,0.00
0624,0,17,0.00
0625,0,18,0.00
0626,0,18,0.00
0627,0,18,0.00
0628,0,18,0.00
0629,0,18,0.00
0630,1,18,5.56
0701,1,18,5.56
0702,0,18,0.00
0703,0,18,0.00
0704,0,18,0.00
0705,0,19,0.00
0706,0,19,0.00
0707,0,19,0.00
0708,0,19,0.00
0709,0,19,0.00
0710,0,19,0.00
0711,0,19,0.00
0712,0,19,0.00
0713,0,19,0.00
0714,0,19,0.00
0715,0,19,0.00
0716,0,19,0.00
0717,0,19,0.00
0718,0,19,0.00
0719,0,19,0.00
0720,0,19,0.00
0721,0,19,0.00
0722,0,19,0.00
0723,0,19,0.00
0724,0,19,0.00
0725,0,19,0.00
0726,0,19,0.00
0727,0,19,0.00
0728,0,19,0.00
0729,0,19,0.00
0730,0,19,0.00
0731,0,19,0.00
0801,0,19,0.00
0802,0,19,0.00
0803,0,19,0.00
0804,0,19,0.00
0805,0,19,0.00
0806,0,19,0.00
0807,0,19,0.00
0808,0,19,0.00
0809,0,19,0.00
0810,0,19,0.00
0811,0,19,0.00
0812,0,19,0.00
0813,0,19,0.00
0814,0,19,0.00
0815,0,19,0.00
0816,0,18,0.00
0817,0,19,0.00
0818,0,19,0.00
0819,0,19,0.00
0820,0,19,0.00
0821,0,19,0.00
0822,0,19,0.00
0823,0,19,0.00
0824,0,19,0.00
0825,0,19,0.00
0826,0,19,0.00
0827,0,19,0.00
0828,0,19,0.00
0829,0,19,0.00
0830,0,19,0.00
0831,0,19,0.00
0901,0,19,0.00
0902,0,19,0.00
0903,0,19,0.00
0904,0,19,0.00
0905,1,19,5.26
0906,0,19,0.00
0907,0,19,0.00
0908,1,19,5.26
0909,0,19,0.00
0910,0,19,0.00
0911,0,19,0.00
0912,1,19,5.26
0913,0,19,0.00
0914,0,19,0.00
0915,0,19,0.00
0916,0,19,0.00
0917,0,19,0.00
0918,0,19,0.00
0919,0,19,0.00
0920,0,19,0.00
0921,0,19,0.00
0922,0,19,0.00
0923,0,18,0.00
0924,0,19,0.00
0925,0,19,0.00
0926,0,19,0.00
0927,1,19,5.26
0928,2,19,10.53
0929,0,19,0.00
0930,0,19,0.00
1001,0,19,0.00
1002,0,19,0.00
1003,0,19,0.00
1004,1,18,5.56
1005,0,19,0.00
1006,0,19,0.00
1007,1,19,5.26
1008,0,19,0.00
1009,0,19,0.00
1010,0,19,0.00
1011,0,19,0.00
1012,0,19,0.00
1013,0,19,0.00
1014,0,19,0.00
1015,0,18,0.00
1016,0,19,0.00
1017,0,19,0.00
1018,0,19,0.00
1019,0,19,0.00
1020,0,19,0.00
1021,0,19,0.00
1022,0,19,0.00
1023,0,19,0.00
1024,0,19,0.00
1025,1,19,5.26
1026,1,19,5.26
1027,0,19,0.00
1028,0,19,0.00
1029,0,19,0.00
1030,0,20,0.00
1031,0,20,0.00
1101,0,20,0.00
1102,1,20,5.00
1103,1,20,5.00
1104,0,19,0.00
1105,0,19,0.00
1106,0,20,0.00
1107,0,20,0.00
1108,0,20,0.00
1109,1,20,5.00
1110,0,20,0.00
1111,0,20,0.00
1112,0,19,0.00
1113,0,19,0.00
1114,0,19,0.00
1115,0,19,0.00
1116,1,20,5.00
1117,1,20,5.00
1118,0,20,0.00
1119,0,20,0.00
1120,0,20,0.00
1121,2,20,10.00
1122,1,20,5.00
1123,1,20,5.00
1124,1,20,5.00
1125,0,20,0.00
1126,1,20,5.00
1127,2,20,10.00
1128,1,20,5.00
1129,2,20,10.00
1130,0,20,0.00
1201,0,20,0.00
1202,1,20,5.00
1203,1,20,5.00
1204,0,20,0.00
1205,0,19,0.00
1206,0,19,0.00
1207,0,19,0.00
1208,0,19,0.00
1209,0,19,0.00
1210,1,19,5.26
1211,0,19,0.00
1212,0,19,0.00
1213,0,19,0.00
1214,0,19,0.00
1215,0,19,0.00
1216,1,19,5.26
1217,0,18,0.00
1218,0,18,0.00
1219,0,19,0.00
1220,1,19,5.26
1221,0,19,0.00
1222,1,19,5.26
1223,1,19,5.26
1224,0,19,0.00
1225,0,19,0.00
1226,0,19,0.00
1227,0,19,0.00
1228,0,19,0.00
1229,0,19,0.00
1230,1,19,5.26
1231,0,19,0.00
