MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,3,19,15.79
0102,1,19,5.26
0103,1,19,5.26
0104,1,19,5.26
0105,2,19,10.53
0106,0,19,0.00
0107,1,19,5.26
0108,1,19,5.26
0109,2,19,10.53
0110,1,19,5.26
0111,2,19,10.53
0112,0,19,0.00
0113,0,19,0.00
0114,0,19,0.00
0115,1,19,5.26
0116,1,19,5.26
0117,0,19,0.00
0118,0,19,0.00
0119,2,19,10.53
0120,0,19,0.00
0121,0,18,0.00
0122,2,19,10.53
0123,1,19,5.26
0124,0,19,0.00
0125,1,19,5.26
0126,1,19,5.26
0127,2,18,11.11
0128,1,18,5.56
0129,0,18,0.00
0130,0,18,0.00
0131,0,18,0.00
0201,3,18,16.67
0202,2,18,11.11
0203,2,18,11.11
0204,2,18,11.11
0205,1,18,5.56
0206,1,18,5.56
0207,1,18,5.56
0208,1,18,5.56
0209,0,18,0.00
0210,1,18,5.56
0211,0,18,0.00
0212,0,18,0.00
0213,0,18,0.00
0214,1,18,5.56
0215,1,18,5.56
0216,1,18,5.56
0217,1,18,5.56
0218,3,18,16.67
0219,1,18,5.56
0220,0,18,0.00
0221,2,18,11.11
0222,3,18,16.67
0223,2,18,11.11
0224,1,18,5.56
0225,0,17,0.00
0226,2,17,11.76
0227,1,17,5.88
0228,2,18,11.11
0229,0,4,0.00
0301,1,18,5.56
0302,1,18,5.56
0303,1,18,5.56
0304,2,18,11.11
0305,1,18,5.56
0306,2,18,11.11
0307,1,18,5.56
0308,0,18,0.00
0309,0,18,0.00
0310,0,18,0.00
0311,0,17,0.00
0312,0,17,0.00
0313,0,17,0.00
0314,1,17,5.88
0315,1,18,5.56
0316,0,18,0.00
0317,0,18,0.00
0318,0,18,0.00
0319,0,18,0.00
0320,1,18,5.56
0321,1,18,5.56
0322,1,18,5.56
0323,1,18,5.56
0324,0,18,0.00
0325,0,18,0.00
0326,1,18,5.56
0327,0,18,0.00
0328,0,18,0.00
0329,2,18,11.11
0330,2,18,11.11
0331,0,18,0.00
0401,2,17,11.76
0402,1,18,5.56
0403,1,18,5.56
0404,0,18,0.00
0405,0,18,0.00
0406,0,18,0.00
0407,1,18,5.56
0408,2,18,11.11
0409,2,18,11.11
0410,1,18,5.56
0411,1,18,5.56
0412,0,18,0.00
0413,1,18,5.56
0414,3,18,16.67
0415,2,18,11.11
0416,2,18,11.11
0417,1,18,5.56
0418,2,18,11.11
0419,1,18,5.56
0420,1,17,5.88
0421,0,18,0.00
0422,3,18,16.67
0423,2,18,11.11
0424,0,18,0.00
0425,0,18,0.00
0426,0,18,0.00
0427,0,18,0.00
0428,2,18,11.11
0429,2,18,11.11
0430,0,18,0.00
0501,1,18,5.56
0502,1,18,5.56
0503,1,18,5.56
0504,0,18,0.00
0505,2,18,11.11
0506,1,18,5.56
0507,1,18,5.56
0508,0,18,0.00
0509,2,18,11.11
0510,1,18,5.56
0511,1,18,5.56
0512,1,18,5.56
0513,0,18,0.00
0514,2,18,11.11
