MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,20,0.00
0102,0,20,0.00
0103,0,20,0.00
0104,0,20,0.00
0105,0,20,0.00
0106,0,20,0.00
0107,0,20,0.00
0108,0,20,0.00
0109,0,20,0.00
0110,0,20,0.00
0111,1,20,5.00
0112,0,20,0.00
0113,0,20,0.00
0114,1,20,5.00
0115,2,20,10.00
0116,1,20,5.00
0117,2,20,10.00
0118,1,20,5.00
0119,0,20,0.00
0120,0,20,0.00
0121,0,19,0.00
0122,0,20,0.00
0123,0,20,0.00
0124,0,20,0.00
0125,1,20,5.00
0126,1,20,5.00
0127,2,19,10.53
0128,0,19,0.00
0129,0,19,0.00
0130,0,19,0.00
0131,0,19,0.00
0201,1,19,5.26
0202,1,19,5.26
0203,0,19,0.00
0204,0,19,0.00
0205,1,19,5.26
0206,1,19,5.26
0207,2,19,10.53
0208,3,19,15.79
0209,1,19,5.26
0210,0,19,0.00
0211,0,19,0.00
0212,1,19,5.26
0213,1,19,5.26
0214,1,19,5.26
0215,1,19,5.26
0216,2,19,10.53
0217,0,19,0.00
0218,3,19,15.79
0219,0,19,0.00
0220,0,19,0.00
0221,0,19,0.00
0222,0,19,0.00
0223,1,19,5.26
0224,1,19,5.26
0225,0,18,0.00
0226,1,18,5.56
0227,3,18,16.67
0228,2,19,10.53
0229,1,4,25.00
0301,2,19,10.53
0302,2,19,10.53
0303,4,19,21.05
0304,5,19,26.32
0305,4,18,22.22
0306,6,18,33.33
0307,4,18,22.22
0308,2,18,11.11
0309,2,18,11.11
0310,6,18,33.33
0311,6,17,35.29
0312,3,17,17.65
0313,1,17,5.88
0314,7,17,41.18
0315,8,18,44.44
0316,6,18,33.33
0317,7,18,38.89
0318,7,18,38.89
0319,6,18,33.33
0320,6,18,33.33
0321,9,18,50.00
0322,7,18,38.89
0323,5,18,27.78
0324,4,18,22.22
0325,5,18,27.78
0326,6,18,33.33
0327,3,18,16.67
0328,8,18,44.44
0329,5,18,27.78
0330,6,18,33.33
0331,6,18,33.33
0401,7,17,41.18
0402,5,18,27.78
0403,5,18,27.78
0404,9,18,50.00
0405,8,18,44.44
0406,4,18,22.22
0407,5,18,27.78
0408,7,18,38.89
0409,7,18,38.89
0410,4,18,22.22
0411,8,18,44.44
0412,10,18,55.56
0413,12,18,66.67
0414,11,18,61.11
0415,11,18,61.11
0416,7,18,38.89
0417,7,18,38.89
0418,5,18,27.78
0419,3,18,16.67
0420,5,17,29.41
0421,9,18,50.00
0422,8,18,44.44
0423,10,18,55.56
0424,6,18,33.33
0425,7,18,38.89
0426,6,18,33.33
0427,7,18,38.89
0428,10,18,55.56
0429,9,18,50.00
0430,8,18,44.44
0501,7,18,38.89
0502,8,18,44.44
0503,11,18,61.11
0504,10,18,55.56
0505,12,18,66.67
0506,12,18,66.67
