OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2003111305,3,1
2004010123,1,1
2004040303,3,1
2004040304,1,2
2004040305,1,3
2004040306,1,4
2004040314,2,1
2004040315,2,2
2005010506,1,1
2007090501,1,1
2007092921,2,1
2007100702,1,1
2007112223,1,1
2007112300,1,2
2008112016,1,1
2009103013,1,1
2009103014,2,2
2009103102,3,1
2009111901,1,1
2010010402,1,1
2010022002,1,1
2010111103,2,1
2010111104,1,2
2010111701,2,1
2010111702,1,2
2010122405,1,1
2011010905,1,1
2011020800,1,1
2011051513,1,1
2012080105,2,1
2012082703,1,1
2012082906,1,1
2012082908,1,1
2012090123,1,1
2012091007,1,1
2012091102,1,1
2012092317,2,1
2012101622,1,1
2012102206,1,1
2012102207,1,2
2012102215,1,1
2012102219,1,1
2012102220,3,2
2012102222,1,1
2012102223,1,2
2012102300,1,3
2012110811,1,1
2012110813,2,1
2012110818,2,1
2012110900,1,1
2012110901,3,2
2012110902,1,3
2012110903,2,4
2012110904,1,5
2012110905,1,6
2012110906,1,7
2012110908,1,1
2012110910,1,1
2012111806,1,1
2012111809,1,1
2012111810,1,2
2012111811,2,3
2012111817,1,1
2012111902,1,1
2012112107,1,1
2012112116,3,1
2012112822,1,1
2012112907,1,1
2012113016,2,1
2012113019,1,1
2012113022,1,1
2012120211,2,1
2012120212,1,2
2012120213,2,3
2012120214,5,4
2012120215,3,5
2012120216,1,6
2012120217,4,7
2012120218,4,8
2012120219,2,9
2012120220,1,10
2012120221,1,11
2012120222,2,12
2012120223,5,13
2012120300,8,14
2012120301,6,15
2012120302,1,16
2012120303,1,17
2012121205,1,1
2012121207,2,1
2012121208,2,2
2012121209,3,3
2012121211,4,1
2012121212,2,2
2012121213,6,3
2012121214,4,4
2012121215,3,5
2012121220,1,1
2012121312,1,1
2012121707,1,1
2012121710,1,1
2012121712,3,1
2012121716,1,1
2012121717,2,2
2012121718,3,3
2012121719,1,4
2012121722,2,1
2012121723,1,2
2012122221,3,1
2012122222,1,2
2012122223,2,3
2012122300,3,4
2012122301,2,5
2012122302,1,6
2012122406,3,1
2012122407,1,2
2013011007,5,1
2013011008,5,2
2013011009,3,3
