OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2001103106,1,1
2001103107,3,2
2001103108,3,3
2001112212,1,1
2001112216,1,1
2001112503,1,1
2001112504,4,2
2001112505,3,3
2001112506,1,4
2001112507,2,5
2001120200,1,1
2001120204,1,1
2001120205,3,2
2001120206,4,3
2001120207,4,4
2001120208,1,5
2001120222,2,1
2001120223,3,2
2001120300,4,3
2001120301,1,4
2001120302,4,5
2001120303,3,6
2001120304,4,7
2001120305,3,8
2001120306,2,9
2001120307,2,10
2001120308,2,11
2001120310,3,1
2001120311,4,2
2001120312,2,3
2001120517,3,1
2001120518,3,2
2001120519,4,3
2001120520,4,4
2001120521,4,5
2001120522,4,6
2001120523,4,7
2001120600,1,8
2001120601,3,9
2001120603,1,1
2001120616,3,1
2001120617,1,2
2001120703,1,1
2001121407,1,1
2001121410,1,1
2001121411,1,2
2001121413,1,1
2001121416,1,1
2001122102,1,1
2002011219,1,1
2002012200,2,1
2002012201,4,2
2002012202,4,3
2002012203,4,4
2002012204,4,5
2002012205,4,6
2002012206,4,7
2002012207,1,8
2002012611,1,1
2002012612,2,2
2002012613,3,3
2002012614,3,4
2002012615,2,5
2002012616,1,6
2002012617,4,7
2002012618,3,8
2002012619,4,9
2002012620,4,10
2002012621,4,11
2002012622,2,12
2002012623,2,13
2002012700,4,14
2002012701,4,15
2002012702,4,16
2002012703,4,17
2002012704,4,18
2002012705,4,19
2002012706,4,20
2002012707,3,21
2002012708,4,22
2002012709,4,23
2002012710,2,24
2002012711,3,25
2002012712,2,26
2002012713,2,27
2002012714,4,28
2002012715,4,29
2002012716,4,30
2002012717,3,31
2002012719,1,1
2002012721,1,1
2002012802,1,1
2002012803,3,2
2002012804,4,3
2002020808,2,1
2002020809,4,2
2002020810,4,3
2002020811,2,4
2002020812,3,5
2002022505,1,1
2002022506,3,2
2002030702,1,1
2002030703,3,2
2002030704,4,3
2002030705,4,4
2002030706,4,5
2002030707,1,6
2002030805,1,1
2002030806,1,2
2002030807,1,3
2002030808,3,4
2002032310,2,1
2002032311,2,2
2002032312,3,3
2002032314,3,1
2002032315,4,2
2002032318,1,1
2002032401,1,1
2002041422,1,1
2002041517,3,1
2002041518,3,2
2002041519,3,3
2002041520,4,4
2002041521,3,5
2002041522,1,6
2002042608,1,1
2002050103,1,1
2002050107,1,1
2002050108,1,2
2002050300,1,1
2002050301,1,2
2002050723,2,1
2002050800,3,2
2002051012,1,1
2002051017,4,1
2002051018,2,2
2002051019,4,3
2002051020,1,4
2002051100,1,1
2002051103,1,1
2002051605,1,1
2002052104,1,1
2002052223,1,1
2002060114,1,1
2002060115,2,2
2002060117,2,1
2002060121,2,1
2002060122,2,2
2002061408,2,1
2002062601,2,1
2002062606,1,1
2002062608,3,1
2002062610,2,1
2002062611,3,2
2002062612,3,3
2002062623,1,1
2002062700,1,2
2002062708,1,1
2002062709,3,2
2002070107,1,1
2002070610,1,1
2002070612,1,1
2002070613,2,2
2002070614,2,3
2002070615,1,4
2002070701,1,1
2002070702,1,2
2002070703,3,3
2002070704,4,4
2002070705,4,5
2002070706,4,6
2002070707,4,7
2002070708,2,8
2002070709,1,9
2002071011,3,1
2002071012,2,2
2002071109,4,1
2002071110,1,2
2002071209,2,1
