OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2001103003,4,1
2001103004,4,2
2001103005,4,3
2001103006,4,4
2001103007,10,5
2001103008,12,6
2001103009,12,7
2001103010,12,8
2001103011,12,9
2001103012,12,10
2001103013,12,11
2001103014,9,12
2001103015,12,13
2001103016,12,14
2001103017,11,15
2001103018,4,16
2001103019,4,17
2001103020,4,18
2001103021,1,19
2001110301,2,1
2001110302,4,2
2001110303,3,3
2001110304,4,4
2001110305,4,5
2001112107,1,1
2001112112,1,1
2001112119,2,1
2001122021,1,1
2001122023,1,1
2001122100,2,2
2001122101,2,3
2001122102,4,4
2001122103,4,5
2001122104,3,6
2001122105,2,7
2002012611,4,1
2002012612,4,2
2002012613,4,3
2002012614,4,4
2002012615,4,5
2002012616,4,6
2002012617,4,7
2002012618,4,8
2002012619,4,9
2002012620,4,10
2002012621,4,11
2002012622,4,12
2002012623,4,13
2002012700,4,14
2002012701,4,15
2002012702,4,16
2002012703,4,17
2002012704,4,18
2002012705,4,19
2002012706,4,20
2002012707,4,21
2002012708,4,22
2002012709,4,23
2002012710,4,24
2002012711,4,25
2002012712,4,26
2002012713,4,27
2002012714,1,28
2002020804,1,1
2002020806,2,1
2002020807,4,2
2002020808,3,3
2002020809,4,4
2002020810,4,5
2002020811,4,6
2002020812,2,7
2002022308,2,1
2002022309,1,2
2002022310,3,3
2002022311,3,4
2002022312,4,5
2002022313,3,6
2002022314,3,7
2002022315,4,8
2002022316,4,9
2002022317,4,10
2002022318,2,11
2002022319,2,12
2002022320,2,13
2002022523,3,1
2002022613,1,1
2002022617,2,1
2002022618,3,2
2002022619,3,3
2002022620,2,4
2002022700,2,1
2002030209,1,1
2002030210,4,2
2002030211,2,3
2002030321,1,1
2002030322,4,2
2002030323,1,3
2002030418,2,1
2002030419,4,2
2002030420,4,3
2002030421,4,4
2002030422,4,5
2002030423,4,6
2002030500,4,7
2002030501,1,8
2002030502,1,9
2002030516,1,1
2002030518,2,1
2002030519,1,2
2002030520,2,3
2002030521,3,4
2002030522,4,5
2002030523,1,6
2002030600,1,7
2002030601,4,8
2002030602,2,9
2002030603,4,10
2002030604,3,11
2002030605,3,12
2002030606,4,13
2002030607,4,14
2002030608,4,15
2002030609,2,16
2002030610,1,17
2002030611,4,18
2002030612,4,19
2002030613,4,20
2002030614,3,21
2002030615,4,22
2002030616,4,23
2002030617,4,24
2002030618,4,25
2002030619,4,26
2002030620,4,27
2002030621,4,28
2002030622,4,29
2002030623,4,30
2002030700,4,31
2002030701,4,32
2002030702,4,33
2002030703,4,34
2002030704,4,35
2002030705,4,36
2002030706,4,37
2002030707,4,38
2002030708,1,39
2002030921,2,1
2002030922,4,2
2002030923,4,3
2002031000,4,4
2002031018,1,1
2002031021,4,1
2002031919,1,1
2002032018,2,1
2002032019,4,2
2002032020,4,3
2002032021,4,4
2002032022,4,5
2002032023,4,6
2002032100,4,7
2002032101,2,8
2002032104,3,1
2002032105,2,2
2002032106,4,3
2002032107,4,4
2002032108,4,5
2002032109,1,6
2002032110,1,7
2002032120,2,1
2002032217,2,1
2002032218,4,2
2002032219,4,3
2002032220,4,4
2002032221,4,5
2002032222,4,6
2002032300,1,1
2002032301,1,2
2002032302,4,3
2002032303,4,4
2002032304,4,5
2002032305,4,6
2002032306,4,7
2002032307,4,8
2002032308,4,9
2002032309,4,10
2002032310,4,11
2002032311,4,12
2002032312,4,13
2002032313,4,14
2002032314,4,15
2002032315,4,16
2002032316,4,17
2002032317,4,18
2002032318,4,19
2002032319,4,20
2002032320,4,21
2002032321,4,22
2002032322,4,23
2002032323,4,24
2002032400,3,25
2002032620,2,1
2002032621,2,2
2002032622,1,3
2002032623,1,4
2002032717,1,1
2002032718,1,2
2002032721,1,1
2002032722,3,2
2002032723,4,3
2002032800,4,4
2002032801,3,5
2002032820,2,1
2002032821,4,2
2002032822,4,3
2002032823,4,4
2002032900,4,5
2002032901,4,6
2002033016,2,1
2002033017,4,2
2002033018,4,3
2002033019,4,4
2002033020,4,5
2002033021,4,6
2002033022,4,7
2002033023,4,8
2002033100,4,9
2002033101,4,10
2002040200,4,1
2002040201,4,2
2002040202,4,3
2002040203,4,4
2002040204,4,5
2002040205,1,6
2002040222,3,1
2002040223,4,2
2002040300,4,3
2002040301,2,4
2002040303,1,1
2002040320,4,1
2002040321,4,2
2002040322,4,3
2002040323,4,4
2002040400,4,5
2002040401,4,6
