MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,5,12,41.67
0102,5,12,41.67
0103,4,12,33.33
0104,2,12,16.67
0105,3,12,25.00
0106,3,12,25.00
0107,1,13,7.69
0108,2,13,15.38
0109,4,13,30.77
0110,3,13,23.08
0111,6,13,46.15
0112,1,13,7.69
0113,4,13,30.77
0114,8,13,61.54
0115,5,13,38.46
0116,5,13,38.46
0117,5,13,38.46
0118,3,13,23.08
0119,3,13,23.08
0120,3,13,23.08
0121,7,13,53.85
0122,4,13,30.77
0123,6,13,46.15
0124,5,13,38.46
0125,6,12,50.00
0126,6,12,50.00
0127,8,13,61.54
0128,8,12,66.67
0129,5,12,41.67
0130,3,12,25.00
0131,3,12,25.00
0201,4,12,33.33
0202,3,12,25.00
0203,6,12,50.00
0204,4,12,33.33
0205,4,12,33.33
0206,3,12,25.00
0207,4,12,33.33
0208,4,12,33.33
0209,4,12,33.33
0210,4,12,33.33
0211,6,12,50.00
0212,2,12,16.67
0213,3,12,25.00
0214,3,12,25.00
0215,3,12,25.00
0216,5,12,41.67
0217,5,12,41.67
0218,4,12,33.33
0219,3,12,25.00
0220,1,12,8.33
0221,0,12,0.00
0222,2,12,16.67
0223,5,12,41.67
0224,4,12,33.33
0225,4,13,30.77
0226,5,13,38.46
0227,2,13,15.38
0228,1,11,9.09
0229,0,2,0.00
0301,3,11,27.27
0302,3,11,27.27
0303,2,11,18.18
0304,4,11,36.36
0305,5,11,45.45
0306,7,12,58.33
0307,3,12,25.00
0308,4,11,36.36
0309,3,11,27.27
0310,1,11,9.09
0311,1,11,9.09
0312,0,11,0.00
0313,2,10,20.00
0314,2,10,20.00
0315,3,10,30.00
0316,2,10,20.00
0317,3,11,27.27
0318,2,11,18.18
0319,3,10,30.00
0320,4,11,36.36
0321,2,11,18.18
0322,3,12,25.00
0323,4,12,33.33
0324,4,11,36.36
0325,1,11,9.09
0326,4,11,36.36
0327,3,11,27.27
0328,3,11,27.27
0329,3,11,27.27
0330,5,11,45.45
0331,4,11,36.36
0401,5,11,45.45
0402,1,11,9.09
0403,2,12,16.67
0404,4,12,33.33
0405,3,11,27.27
0406,3,11,27.27
0407,3,11,27.27
0408,1,11,9.09
0409,3,10,30.00
0410,2,11,18.18
0411,2,11,18.18
0412,4,11,36.36
0413,3,11,27.27
0414,5,11,45.45
0415,3,11,27.27
0416,2,11,18.18
0417,6,11,54.55
0418,2,11,18.18
0419,2,11,18.18
0420,1,11,9.09
0421,2,11,18.18
0422,2,11,18.18
0423,3,11,27.27
0424,4,11,36.36
0425,2,11,18.18
0426,3,11,27.27
0427,2,10,20.00
0428,2,10,20.00
0429,5,11,45.45
0430,4,9,44.44
0501,3,9,33.33
0502,5,9,55.56
0503,2,10,20.00
0504,2,10,20.00
0505,3,10,30.00
0506,1,10,10.00
0507,1,10,10.00
0508,1,10,10.00
0509,0,10,0.00
0510,0,10,0.00
0511,2,10,20.00
0512,2,10,20.00
0513,3,10,30.00
