MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,5,9,55.56
0102,6,9,66.67
0103,4,9,44.44
0104,2,9,22.22
0105,3,9,33.33
0106,6,9,66.67
0107,0,9,0.00
0108,2,9,22.22
0109,5,9,55.56
0110,5,9,55.56
0111,5,9,55.56
0112,3,9,33.33
0113,2,9,22.22
0114,7,9,77.78
0115,5,9,55.56
0116,4,9,44.44
0117,4,9,44.44
0118,4,9,44.44
0119,2,9,22.22
0120,4,9,44.44
0121,5,9,55.56
0122,3,9,33.33
0123,7,9,77.78
0124,4,9,44.44
0125,4,9,44.44
0126,5,9,55.56
0127,5,9,55.56
0128,6,8,75.00
0129,3,8,37.50
0130,3,8,37.50
0131,3,8,37.50
0201,2,8,25.00
0202,2,8,25.00
0203,4,8,50.00
0204,5,8,62.50
0205,3,8,37.50
0206,4,8,50.00
0207,4,8,50.00
0208,3,8,37.50
0209,3,8,37.50
0210,3,8,37.50
0211,5,8,62.50
0212,2,8,25.00
0213,2,8,25.00
0214,4,8,50.00
0215,4,8,50.00
0216,4,8,50.00
0217,5,8,62.50
0218,4,8,50.00
0219,6,8,75.00
0220,2,8,25.00
0221,1,8,12.50
0222,2,8,25.00
0223,3,8,37.50
0224,2,8,25.00
0225,3,9,33.33
0226,3,9,33.33
0227,6,9,66.67
0228,3,8,37.50
0229,0,1,0.00
0301,3,8,37.50
0302,3,8,37.50
0303,4,8,50.00
0304,4,8,50.00
0305,3,7,42.86
0306,4,8,50.00
0307,5,8,62.50
0308,3,7,42.86
0309,1,7,14.29
0310,2,7,28.57
0311,3,7,42.86
0312,1,7,14.29
0313,2,6,33.33
0314,3,6,50.00
0315,3,6,50.00
0316,1,6,16.67
0317,3,7,42.86
0318,3,7,42.86
0319,3,6,50.00
0320,2,6,33.33
0321,3,6,50.00
0322,3,7,42.86
0323,3,7,42.86
0324,3,6,50.00
0325,2,6,33.33
0326,5,6,83.33
0327,1,6,16.67
0328,4,6,66.67
0329,3,6,50.00
0330,2,6,33.33
0331,3,6,50.00
0401,4,6,66.67
0402,3,6,50.00
0403,3,7,42.86
0404,2,7,28.57
0405,2,6,33.33
0406,4,6,66.67
0407,4,6,66.67
0408,4,6,66.67
0409,3,6,50.00
0410,1,6,16.67
0411,3,6,50.00
0412,1,6,16.67
0413,2,6,33.33
0414,5,6,83.33
0415,3,6,50.00
0416,4,6,66.67
0417,5,6,83.33
0418,2,6,33.33
0419,3,6,50.00
0420,2,6,33.33
0421,4,6,66.67
0422,2,6,33.33
0423,3,6,50.00
0424,2,6,33.33
0425,4,6,66.67
0426,2,6,33.33
0427,2,6,33.33
0428,3,6,50.00
0429,3,6,50.00
0430,3,5,60.00
0501,1,5,20.00
0502,2,5,40.00
0503,2,5,40.00
0504,2,5,40.00
0505,2,5,40.00
0506,3,5,60.00
0507,3,5,60.00
0508,1,5,20.00
0509,0,5,0.00
0510,2,5,40.00
0511,2,5,40.00
0512,4,5,80.00
0513,3,5,60.00
0514,3,5,60.00
0515,3,5,60.00
0516,2,5,40.00
0517,1,5,20.00
0518,2,5,40.00
0519,2,5,40.00
0520,3,5,60.00
0521,3,5,60.00
0522,2,5,40.00
0523,2,5,40.00
0524,2,5,40.00
