MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,5,12,41.67
0102,7,12,58.33
0103,8,12,66.67
0104,6,12,50.00
0105,7,12,58.33
0106,4,12,33.33
0107,6,13,46.15
0108,6,13,46.15
0109,2,13,15.38
0110,4,13,30.77
0111,5,13,38.46
0112,5,13,38.46
0113,6,13,46.15
0114,4,13,30.77
0115,9,13,69.23
0116,8,13,61.54
0117,8,13,61.54
0118,9,13,69.23
0119,6,13,46.15
0120,8,13,61.54
0121,7,13,53.85
0122,7,13,53.85
0123,7,13,53.85
0124,5,13,38.46
0125,7,12,58.33
0126,6,12,50.00
0127,7,13,53.85
0128,3,12,25.00
0129,7,12,58.33
0130,5,12,41.67
0131,5,12,41.67
0201,5,12,41.67
0202,5,12,41.67
0203,3,12,25.00
0204,4,12,33.33
0205,6,12,50.00
0206,4,12,33.33
0207,6,12,50.00
0208,5,12,41.67
0209,4,12,33.33
0210,3,12,25.00
0211,5,12,41.67
0212,6,12,50.00
0213,4,12,33.33
0214,4,12,33.33
0215,6,12,50.00
0216,7,12,58.33
0217,7,12,58.33
0218,6,12,50.00
0219,5,12,41.67
0220,4,12,33.33
0221,3,12,25.00
0222,3,12,25.00
0223,5,12,41.67
0224,5,12,41.67
0225,5,13,38.46
0226,5,13,38.46
0227,4,13,30.77
0228,2,11,18.18
0229,0,2,0.00
0301,2,11,18.18
0302,5,11,45.45
0303,3,11,27.27
0304,3,11,27.27
0305,6,11,54.55
0306,5,12,41.67
0307,2,12,16.67
0308,3,11,27.27
0309,4,11,36.36
0310,6,11,54.55
0311,4,11,36.36
0312,1,11,9.09
0313,1,10,10.00
0314,4,10,40.00
0315,7,10,70.00
0316,7,10,70.00
0317,7,11,63.64
0318,6,11,54.55
0319,5,10,50.00
0320,6,11,54.55
0321,6,11,54.55
0322,4,12,33.33
0323,3,12,25.00
0324,3,11,27.27
0325,4,11,36.36
0326,3,11,27.27
0327,2,11,18.18
0328,6,11,54.55
0329,3,11,27.27
0330,3,11,27.27
0331,3,11,27.27
0401,4,11,36.36
0402,3,11,27.27
0403,2,12,16.67
0404,5,12,41.67
0405,2,11,18.18
0406,4,11,36.36
0407,4,11,36.36
0408,7,11,63.64
0409,5,10,50.00
0410,5,11,45.45
0411,6,11,54.55
0412,4,11,36.36
0413,3,11,27.27
0414,3,11,27.27
0415,6,11,54.55
0416,5,11,45.45
0417,3,11,27.27
0418,3,11,27.27
0419,4,11,36.36
0420,4,11,36.36
0421,5,11,45.45
0422,4,11,36.36
0423,5,11,45.45
0424,4,11,36.36
0425,3,11,27.27
0426,1,11,9.09
0427,3,10,30.00
0428,3,10,30.00
0429,3,11,27.27
0430,3,9,33.33
0501,4,9,44.44
0502,3,9,33.33
0503,5,10,50.00
0504,3,10,30.00
0505,6,10,60.00
0506,7,10,70.00
0507,5,10,50.00
0508,4,10,40.00
0509,4,10,40.00
0510,5,10,50.00
0511,5,10,50.00
0512,4,10,40.00
0513,5,10,50.00
0514,5,10,50.00
0515,5,10,50.00
0516,5,10,50.00
0517,5,10,50.00
0518,5,10,50.00
0519,4,10,40.00
0520,4,10,40.00
0521,5,10,50.00
0522,4,10,40.00
0523,4,10,40.00
0524,3,10,30.00
0525,3,10,30.00
0526,3,10,30.00
0527,3,10,30.00
0528,3,10,30.00
0529,4,10,40.00
