OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2007092815,1,1
2007092819,1,1
2007092820,1,2
2007092821,1,3
2007092822,1,4
2007092823,1,5
2007092900,1,6
2007092904,1,1
2007092905,2,2
2007092906,2,3
2007092907,2,4
2007092915,4,1
2007092916,4,2
2007092917,4,3
2007092918,2,4
2007092922,1,1
2007092923,2,2
2007093005,1,1
2007100111,2,1
2007100112,2,2
2007100113,1,3
2007100114,2,4
2007100115,1,5
2007100116,1,6
2007100117,1,7
2007100118,2,8
2007100119,2,9
2007100121,2,1
2007100122,4,2
2007100123,1,3
2007100321,3,1
2007100322,3,2
2007100403,1,1
2007100404,1,2
2007100409,1,1
2007100414,2,1
2007100416,2,1
2007100417,1,2
2007100419,2,1
2007100420,4,2
2007100421,4,3
2007100422,4,4
2007100423,4,5
2007100500,4,6
2007100501,2,7
2007100502,2,8
2007100503,2,9
2007100504,3,10
2007100505,3,11
2007100506,2,12
2007100507,2,13
2007100508,3,14
2007100509,3,15
2007100510,2,16
2007100511,1,17
2007100512,1,18
2007100513,2,19
2007100514,3,20
2007100515,2,21
2007100516,3,22
2007100519,2,1
2007100520,2,2
2007100521,1,3
2007100601,1,1
2007100602,1,2
2007100706,1,1
2007100802,1,1
2007100803,2,2
2007100901,1,1
2007100904,2,1
2007100905,4,2
2007100906,4,3
2007100915,1,1
2007101006,2,1
2007101007,2,2
2007101008,1,3
2007101009,1,4
2007101010,1,5
2007101012,2,1
2007101101,1,1
2007101214,1,1
2007101401,3,1
2007101402,1,2
2007101403,4,3
2007101404,4,4
2007101405,2,5
2007101406,4,6
2007101407,1,7
2007101408,2,8
2007101409,2,9
2007101410,1,10
2007101412,1,1
2007101413,2,2
2007101622,1,1
2007101716,1,1
2007101717,2,2
2007101719,1,1
2007101720,1,2
2007101721,3,3
2007101722,1,4
2007101808,1,1
2007101809,4,2
2007101810,4,3
2007101811,2,4
2007101812,4,5
2007101813,3,6
2007101814,1,7
2007102013,1,1
2007102014,1,2
2007102021,2,1
2007102022,2,2
2007102101,1,1
2007102102,1,2
2007102103,3,3
2007102104,4,4
2007102105,4,5
2007102106,4,6
2007102107,4,7
2007102108,4,8
2007102109,4,9
2007102110,2,10
2007102111,2,11
2007102112,3,12
2007102113,2,13
2007102114,4,14
2007102115,4,15
2007102116,4,16
2007102117,4,17
2007102118,4,18
2007102119,3,19
2007102120,2,20
2007102121,1,21
2007102122,4,22
2007102123,1,23
2007102200,2,24
2007102201,4,25
2007102202,4,26
2007102203,4,27
2007102204,4,28
2007102205,4,29
2007102206,4,30
2007102207,4,31
2007102208,4,32
2007102209,4,33
2007102210,4,34
2007102211,4,35
2007102212,4,36
2007102213,4,37
2007102214,4,38
2007102215,4,39
2007102216,4,40
2007102217,4,41
2007102220,1,1
2007102221,2,2
2007102222,1,3
2007102223,1,4
2007102300,2,5
2007102301,4,6
2007102302,4,7
2007102303,4,8
2007102304,4,9
2007102305,4,10
2007102306,4,11
2007102307,4,12
2007102308,4,13
2007102309,4,14
2007102310,2,15
2007102312,4,1
2007102313,3,2
2007102314,4,3
2007102315,4,4
2007102316,4,5
2007102317,3,6
2007111116,1,1
2007111117,1,2
2007111414,4,1
2007111415,3,2
2007111418,1,1
2007111916,1,1
2007111918,1,1
2007111920,2,1
2007112105,1,1
2007112106,3,2
2007112107,4,3
2007112108,4,4
2007112109,4,5
2007112110,4,6
2007112111,4,7
2007112112,3,8
2007112307,1,1
2007112310,1,1
2007112311,2,2
2007112312,3,3
2007112313,4,4
2007112314,4,5
2007112315,4,6
2007112316,3,7
2007112317,4,8
2007112318,4,9
2007112319,4,10
2007112320,3,11
2007112321,4,12
2007112322,4,13
2007112323,4,14
2007112400,4,15
2007112401,4,16
2007112402,4,17
2007112403,4,18
2007112404,4,19
2007112405,4,20
2007112406,4,21
2007112407,4,22
2007112408,4,23
2007112409,4,24
2007112410,4,25
2007112411,4,26
2007112412,4,27
2007112413,4,28
2007112414,4,29
2007112415,4,30
2007112416,4,31
2007112417,3,32
2007112418,2,33
2007112500,1,1
2007112501,3,2
2007112502,3,3
2007112503,4,4
2007112504,4,5
2007112505,4,6
2007112506,3,7
2007112507,3,8
2007112708,1,1
2007112720,1,1
2007112721,2,2
2007112722,3,3
2007112802,1,1
2007112803,1,2
2007112812,2,1
2007112813,3,2
2007112814,4,3
2007112815,2,4
2007113022,1,1
2007113023,1,2
2007120100,3,3
2007120101,3,4
2007120102,2,5
2007120108,3,1
2007120109,2,2
2007120217,2,1
2007120218,3,2
2007120219,1,3
2007120301,1,1
2007120302,1,2
2007120622,2,1
2007120700,2,1
2007120701,4,2
2007120702,1,3
2007120704,1,1
2007120705,1,2
2007120706,1,3
2007120707,1,4
2007120708,4,5
2007120709,2,6
2007120710,4,7
2007120711,2,8
2007120712,3,9
2007120713,4,10
2007120714,2,11
2007121201,1,1
2007121204,1,1
2007121205,1,2
2007121211,1,1
2007121212,2,2
2007121217,1,1
2007121218,1,2
2007121402,1,1
2007121404,1,1
2007121405,4,2
2007121406,4,3
2007121407,4,4
2007121408,4,5
2007121409,4,6
2007121410,4,7
2007121411,4,8
2007121412,4,9
2007121413,4,10
2007121414,4,11
2007121415,2,12
2007121421,1,1
2007121422,2,2
2007121501,1,1
2007121502,4,2
2007121503,4,3
2007121504,4,4
2007121505,4,5
2007121506,4,6
2007121507,4,7
2007121508,4,8
2007121509,4,9
2007121510,4,10
2007121511,3,11
2007121512,3,12
2007121513,4,13
2007121704,1,1
2007121705,2,2
2007121706,3,3
2007121707,2,4
2007121709,1,1
2007121902,1,1
2007121914,1,1
2007121915,2,2
2007121916,3,3
2007121917,2,4
2007121918,2,5
2007121919,3,6
2007121920,2,7
2007121921,2,8
2007121922,3,9
2007121923,3,10
2007122000,3,11
2007122001,2,12
2007122003,1,1
2007122023,2,1
2007122100,1,2
2007122102,1,1
2007122103,2,2
2007122104,1,3
2007122106,1,1
2007122108,1,1
2007122109,1,2
2007122110,2,3
2007122111,4,4
2007122112,4,5
2007122113,4,6
2007122114,4,7
2007122115,4,8
2007122116,4,9
2007122117,4,10
2007122118,3,11
2007122119,4,12
2007122120,4,13
2007122121,4,14
2007122122,3,15
2007122123,4,16
2007122200,4,17
2007122201,4,18
2007122202,4,19
