OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012093022,2,1
2012093023,3,2
2012100100,3,3
2012100102,5,1
2012100103,5,2
2012100104,5,3
2012100105,6,4
2012100106,6,5
2012100107,6,6
2012100108,6,7
2012100109,6,8
2012100110,6,9
2012100111,6,10
2012100112,6,11
2012100113,3,12
2012100114,2,13
2012100221,2,1
2012100320,1,1
2012100321,3,2
2012100519,1,1
2012100521,1,1
2012101101,1,1
2012101114,1,1
2012101116,5,1
2012101117,3,2
2012101118,6,3
2012101119,6,4
2012101120,6,5
2012101121,6,6
2012101122,6,7
2012101123,6,8
2012101200,6,9
2012101201,6,10
2012101202,6,11
2012101203,6,12
2012101204,6,13
2012101205,6,14
2012101206,6,15
2012101207,6,16
2012101208,6,17
2012101209,6,18
2012101210,1,19
2012101214,2,1
2012101310,3,1
2012101311,6,2
2012101312,6,3
2012101313,6,4
2012101314,6,5
2012101315,6,6
2012101316,6,7
2012101317,6,8
2012101318,6,9
2012101319,6,10
2012101320,1,11
2012101403,1,1
2012101406,3,1
2012101407,6,2
2012101408,6,3
2012101409,6,4
2012101410,5,5
2012101411,6,6
2012101412,2,7
2012101704,3,1
2012101705,1,2
2012101709,3,1
2012101710,4,2
2012101711,5,3
2012101712,6,4
2012101713,4,5
2012101714,3,6
2012101715,5,7
2012101716,1,8
2012101800,1,1
2012101802,1,1
2012101803,3,2
2012101804,6,3
2012101805,6,4
2012101806,5,5
2012101807,3,6
2012101808,5,7
2012101809,5,8
2012101810,5,9
2012101811,2,10
2012101812,2,11
2012101813,5,12
2012101814,5,13
2012102103,2,1
2012102104,1,2
2012102105,2,3
2012102112,1,1
2012102116,3,1
2012102117,3,2
2012102118,4,3
2012102119,3,4
2012102120,5,5
2012102121,3,6
2012102122,6,7
2012102200,5,1
2012102201,3,2
2012102202,4,3
2012102203,4,4
2012102204,6,5
2012102205,6,6
2012102206,6,7
2012102207,4,8
2012102208,3,9
2012102209,5,10
2012102210,6,11
2012102211,4,12
