MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,8,0.00
0102,0,8,0.00
0103,0,8,0.00
0104,0,8,0.00
0105,0,7,0.00
0106,0,7,0.00
0107,0,7,0.00
0108,0,7,0.00
0109,0,7,0.00
0110,0,7,0.00
0111,0,7,0.00
0112,0,7,0.00
0113,0,7,0.00
0114,0,7,0.00
0115,0,7,0.00
0116,1,7,14.29
0117,1,7,14.29
0118,0,7,0.00
0119,0,7,0.00
0120,0,7,0.00
0121,0,7,0.00
0122,0,7,0.00
0123,1,7,14.29
0124,0,7,0.00
0125,1,7,14.29
0126,0,7,0.00
0127,0,7,0.00
0128,0,7,0.00
0129,0,7,0.00
0130,1,7,14.29
0131,1,7,14.29
0201,0,7,0.00
0202,1,7,14.29
0203,1,7,14.29
0204,0,7,0.00
0205,1,7,14.29
0206,1,7,14.29
0207,1,7,14.29
0208,1,7,14.29
0209,1,7,14.29
0210,0,7,0.00
0211,0,7,0.00
0212,1,7,14.29
0213,1,7,14.29
0214,2,7,28.57
0215,1,7,14.29
0216,1,7,14.29
0217,3,7,42.86
0218,2,6,33.33
0219,0,6,0.00
0220,0,6,0.00
0221,0,6,0.00
0222,0,6,0.00
0223,0,6,0.00
0224,1,7,14.29
0225,2,7,28.57
0226,2,7,28.57
0227,2,7,28.57
0228,1,7,14.29
0229,1,2,50.00
0301,1,7,14.29
0302,1,7,14.29
0303,2,7,28.57
0304,2,7,28.57
0305,3,7,42.86
0306,4,7,57.14
0307,2,7,28.57
0308,2,7,28.57
0309,3,7,42.86
0310,3,7,42.86
0311,3,7,42.86
0312,3,7,42.86
0313,3,7,42.86
0314,4,7,57.14
0315,3,7,42.86
0316,4,7,57.14
0317,4,7,57.14
0318,3,7,42.86
0319,2,7,28.57
0320,5,7,71.43
0321,6,7,85.71
0322,4,7,57.14
0323,2,7,28.57
0324,1,7,14.29
0325,1,7,14.29
0326,3,7,42.86
0327,4,7,57.14
0328,4,8,50.00
0329,2,8,25.00
0330,3,8,37.50
0331,4,8,50.00
0401,4,8,50.00
0402,2,8,25.00
0403,4,8,50.00
0404,5,8,62.50
0405,6,8,75.00
0406,4,8,50.00
0407,3,8,37.50
0408,7,8,87.50
0409,3,8,37.50
0410,4,8,50.00
0411,5,8,62.50
0412,4,8,50.00
0413,4,8,50.00
0414,3,8,37.50
0415,3,8,37.50
0416,3,8,37.50
0417,3,8,37.50
0418,5,8,62.50
0419,5,8,62.50
0420,5,8,62.50
0421,6,8,75.00
0422,6,8,75.00
0423,6,8,75.00
0424,4,8,50.00
0425,4,8,50.00
0426,3,8,37.50
0427,3,8,37.50
0428,5,8,62.50
0429,5,8,62.50
0430,5,8,62.50
0501,4,8,50.00
0502,4,8,50.00
0503,5,8,62.50
0504,7,8,87.50
0505,7,8,87.50
0506,7,8,87.50
0507,2,8,25.00
0508,3,8,37.50
0509,2,8,25.00
0510,4,8,50.00
0511,4,8,50.00
0512,5,8,62.50
0513,8,8,100.00
0514,7,8,87.50
0515,5,8,62.50
0516,5,8,62.50
0517,3,8,37.50
0518,3,8,37.50
0519,2,8,25.00
0520,4,8,50.00
0521,3,8,37.50
0522,4,8,50.00
0523,2,8,25.00
0524,3,8,37.50
0525,4,8,50.00
0526,6,8,75.00
0527,6,8,75.00
0528,4,8,50.00
0529,3,8,37.50
0530,4,8,50.00
0531,6,8,75.00
0601,7,8,87.50
0602,7,8,87.50
0603,6,8,75.00
0604,7,8,87.50
0605,7,8,87.50
0606,7,8,87.50
0607,6,8,75.00
0608,7,8,87.50
0609,7,8,87.50
0610,8,8,100.00
0611,7,8,87.50
0612,6,8,75.00
0613,7,8,87.50
0614,7,8,87.50
0615,8,8,100.00
0616,7,8,87.50
0617,6,8,75.00
0618,5,8,62.50
0619,6,8,75.00
0620,8,8,100.00
0621,8,8,100.00
0622,8,8,100.00
0623,8,8,100.00
0624,8,8,100.00
0625,8,8,100.00
0626,8,8,100.00
0627,7,8,87.50
0628,8,8,100.00
0629,7,8,87.50
0630,6,8,75.00
0701,8,8,100.00
0702,8,8,100.00
0703,8,8,100.00
0704,8,8,100.00
0705,7,8,87.50
0706,6,8,75.00
0707,6,8,75.00
0708,7,8,87.50
0709,7,8,87.50
0710,7,8,87.50
0711,7,8,87.50
0712,6,8,75.00
0713,7,8,87.50
0714,8,8,100.00
0715,8,8,100.00
0716,8,8,100.00
0717,7,8,87.50
0718,7,8,87.50
0719,7,8,87.50
0720,7,8,87.50
0721,7,8,87.50
0722,8,8,100.00
0723,8,8,100.00
0724,8,8,100.00
0725,7,8,87.50
0726,7,8,87.50
0727,6,8,75.00
0728,7,8,87.50
0729,6,8,75.00
0730,7,8,87.50
0731,7,8,87.50
0801,6,8,75.00
0802,8,8,100.00
0803,7,8,87.50
0804,7,8,87.50
0805,7,8,87.50
0806,6,8,75.00
0807,6,8,75.00
0808,4,8,50.00
0809,4,8,50.00
0810,8,8,100.00
0811,7,8,87.50
0812,7,8,87.50
0813,8,8,100.00
0814,7,8,87.50
0815,6,8,75.00
0816,8,8,100.00
0817,8,8,100.00
0818,8,8,100.00
0819,8,8,100.00
0820,7,8,87.50
0821,7,8,87.50
0822,6,8,75.00
0823,5,8,62.50
0824,6,8,75.00
0825,6,8,75.00
0826,6,8,75.00
0827,5,8,62.50
0828,6,8,75.00
0829,7,8,87.50
0830,7,8,87.50
0831,7,8,87.50
0901,6,8,75.00
0902,7,8,87.50
0903,7,8,87.50
0904,7,8,87.50
0905,8,8,100.00
0906,8,8,100.00
0907,6,8,75.00
0908,6,8,75.00
0909,4,8,50.00
0910,5,8,62.50
0911,4,8,50.00
0912,5,8,62.50
0913,7,8,87.50
0914,6,8,75.00
0915,4,8,50.00
0916,5,8,62.50
0917,6,8,75.00
0918,7,8,87.50
0919,6,8,75.00
0920,5,8,62.50
0921,7,8,87.50
0922,5,8,62.50
0923,4,8,50.00
0924,6,8,75.00
0925,5,8,62.50
0926,4,8,50.00
0927,3,8,37.50
0928,3,8,37.50
0929,3,8,37.50
0930,5,8,62.50
1001,4,8,50.00
1002,2,8,25.00
1003,4,8,50.00
1004,3,8,37.50
1005,1,8,12.50
1006,2,8,25.00
1007,5,8,62.50
1008,6,8,75.00
1009,5,8,62.50
1010,5,8,62.50
1011,5,8,62.50
1012,5,8,62.50
1013,5,8,62.50
1014,6,8,75.00
1015,4,8,50.00
1016,6,8,75.00
1017,4,8,50.00
1018,3,8,37.50
1019,2,8,25.00
1020,4,8,50.00
1021,3,8,37.50
1022,2,8,25.00
1023,5,8,62.50
1024,4,8,50.00
1025,4,8,50.00
1026,3,8,37.50
1027,3,8,37.50
1028,3,8,37.50
1029,3,8,37.50
1030,2,8,25.00
1031,3,8,37.50
1101,4,8,50.00
1102,5,8,62.50
1103,4,8,50.00
1104,2,8,25.00
1105,1,8,12.50
1106,2,8,25.00
1107,2,8,25.00
1108,3,8,37.50
1109,3,8,37.50
1110,5,8,62.50
1111,1,8,12.50
1112,4,8,50.00
1113,3,8,37.50
1114,5,8,62.50
1115,5,8,62.50
1116,5,8,62.50
1117,1,8,12.50
1118,2,8,25.00
1119,2,8,25.00
1120,2,8,25.00
1121,1,8,12.50
1122,1,8,12.50
1123,1,8,12.50
1124,1,8,12.50
1125,1,8,12.50
1126,2,8,25.00
1127,3,8,37.50
1128,1,8,12.50
1129,1,8,12.50
1130,2,8,25.00
1201,1,8,12.50
1202,0,8,0.00
1203,0,8,0.00
1204,1,8,12.50
1205,0,8,0.00
1206,1,8,12.50
1207,1,8,12.50
1208,1,8,12.50
1209,0,8,0.00
1210,0,8,0.00
1211,0,8,0.00
1212,0,8,0.00
1213,0,8,0.00
1214,0,8,0.00
1215,0,8,0.00
1216,1,8,12.50
1217,0,8,0.00
1218,0,8,0.00
1219,0,8,0.00
1220,0,8,0.00
1221,0,8,0.00
1222,1,8,12.50
1223,1,8,12.50
1224,0,8,0.00
1225,0,8,0.00
1226,0,8,0.00
1227,0,8,0.00
1228,1,8,12.50
1229,1,8,12.50
1230,1,8,12.50
1231,1,8,12.50
