OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2014011122,3,1
2014011123,2,2
2014013000,2,1
2014013001,4,2
2014013002,1,3
2014020808,1,1
2014020810,1,1
2014112218,4,1
2014112219,1,2
2014112220,1,3
2014112221,2,4
2014122420,1,1
2014122421,2,2
2014122422,1,3
2014122423,2,4
2014122500,3,5
2014122504,1,1
2015020703,2,1
2015020711,1,1
2015120921,1,1
2015120922,1,2
2015122123,3,1
2015122200,2,2
2016012005,1,1
2016013005,1,1
2016021811,1,1
2016063000,2,1
2016121607,1,1
2017010410,1,1
2017010411,1,2
2017010414,3,1
2017010415,2,2
2017010417,1,1
2017010802,4,1
2017010806,2,1
2017010807,1,2
2017010908,1,1
2017010910,1,1
2017010915,1,1
2017020614,1,1
2017020618,1,1
2017020713,1,1
2017022114,2,1
2017022115,4,2
2017022116,3,3
2017041320,1,1
2017053021,1,1
2018032221,1,1
2018032222,1,2
2018032301,2,1
2018032302,3,2
2018032303,4,3
2018032304,3,4
2018041616,1,1
2018041618,1,1
2018041619,1,2
2018041621,1,1
2018070900,1,1
2018072202,1,1
2018100415,1,1
2018100416,1,2
2019010708,1,1
2019010709,2,2
2019010711,1,1
2019020420,1,1
2019020421,2,2
2019020503,1,1
2019021320,1,1
2019021321,8,2
2019021401,1,1
2019021404,10,1
2019021405,1,2
2019021406,6,3
2019021407,11,4
2019021408,11,5
2019021409,11,6
2019021410,9,7
2019021411,5,8
2019021501,1,1
2019022414,3,1
2019072700,1,1
2019112712,1,1
2019112713,5,2
2020010117,4,1
2020010118,1,2
2020010119,9,3
2020010120,1,4
2020010419,2,1
2020010420,1,2
2020011110,8,1
2020011111,5,2
2020021413,1,1
2020021415,3,1
2020021417,1,1
2020040921,3,1
2020062822,1,1
