OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2013040111,1,1
2013040112,1,2
2013040507,1,1
2013040904,2,1
2013040905,1,2
2013041312,1,1
2013041313,1,2
2013041314,2,3
2013050722,1,1
2013050800,3,1
2013050801,1,2
2013061012,2,1
2013061020,1,1
2013061023,1,1
2013061223,1,1
2013061317,2,1
2013061318,2,2
2013061915,1,1
2013062421,1,1
2013070409,1,1
2013070607,2,1
2013070705,1,1
2013070722,1,1
2013080118,1,1
2013080120,1,1
2013080621,1,1
2013080722,2,1
2013080800,2,1
2013080921,1,1
2013080922,1,2
2013080923,1,3
2013081300,1,1
2013081721,1,1
2013082316,2,1
2013082318,1,1
2013082423,1,1
2013082802,1,1
2013090320,1,1
2013091720,3,1
2013091721,4,2
2013091722,3,3
2013091800,2,1
2013092119,2,1
2013092120,3,2
2013092121,3,3
2013092122,3,4
2013092123,1,5
2013092200,1,6
2013092201,1,7
2013092205,1,1
2013092206,1,2
2013092415,1,1
2013092423,3,1
2013092502,1,1
2013092917,3,1
2013092918,1,2
2013093005,1,1
2013093008,1,1
2013093009,1,2
2013093012,1,1
2013093013,1,2
2013100923,2,1
2013102716,3,1
2013102814,1,1
2013102815,1,2
2013102820,1,1
2013102821,2,2
2013102822,1,3
2013110216,3,1
2013110217,3,2
2013110219,3,1
2013110220,2,2
2013110309,2,1
2013110717,1,1
2013110718,2,2
2013110803,1,1
2013110805,1,1
2013110806,1,2
2013110807,1,3
2013120214,1,1
2013120215,3,2
2013120216,4,3
2013120217,1,4
2013120707,1,1
2013120708,1,2
2013121901,1,1
2013121902,1,2
2013121903,4,3
2013121904,1,4
2013122410,1,1
2014011116,1,1
2014011118,1,1
2014011119,2,2
2014011122,4,1
2014011123,4,2
2014011212,1,1
2014012919,1,1
2014012920,1,2
2014012921,3,3
2014012922,2,4
2014012923,4,5
2014013000,4,6
2014013001,4,7
2014013002,4,8
2014013003,1,9
2014020712,1,1
2014020805,1,1
2014020806,1,2
2014020807,1,3
2014020808,4,4
2014020809,2,5
2014020810,3,6
2014020811,2,7
2014020901,1,1
2014020902,1,2
2014020903,1,3
2014020905,4,1
2014020906,2,2
2014020912,1,1
2014021219,1,1
2014021220,2,2
2014021222,1,1
2014021223,1,2
2014021300,1,3
2014021713,1,1
2014021714,1,2
2014021717,2,1
2014021718,1,2
2014021719,1,3
2014021914,1,1
2014030110,1,1
2014030113,1,1
2014030114,3,2
2014030115,4,3
2014030116,1,4
2014030119,2,1
2014030611,1,1
2014030613,2,1
2014030614,3,2
2014030615,4,3
2014030616,3,4
2014030617,1,5
2014030917,3,1
2014030918,3,2
2014031012,3,1
2014031013,2,2
2014031015,2,1
2014031016,2,2
2014031106,1,1
2014031503,1,1
2014031515,1,1
2014031706,1,1
2014031707,3,2
2014031711,1,1
2014031713,1,1
2014031717,1,1
2014031718,2,2
2014031722,2,1
2014031723,3,2
2014031801,1,1
2014031802,2,2
2014031803,2,3
2014032912,1,1
2014032913,1,2
2014033015,2,1
2014033017,2,1
2014040117,1,1
2014041307,2,1
2014041323,1,1
2014042218,2,1
2014042219,1,2
2014042221,2,1
2014042222,4,2
2014042223,4,3
2014042300,2,4
2014042521,2,1
2014042600,1,1
2014042601,1,2
2014042602,2,3
2014042920,1,1
2014042921,1,2
2014051115,2,1
2014052319,1,1
2014052819,2,1
2014052820,1,2
2014052822,1,1
2014052823,1,2
2014052901,1,1
2014060821,1,1
2014061222,1,1
2014070511,1,1
2014070513,1,1
2014071101,1,1
2014071102,4,2
2014071103,2,3
2014071104,1,4
2014071501,2,1
2014071604,3,1
2014071605,4,2
2014071606,3,3
2014071607,1,4
2014072115,1,1
2014072123,1,1
2014081905,1,1
2014081909,1,1
2014081910,2,2
2014081911,2,3
2014081912,1,4
2014083010,1,1
2014090307,2,1
2014090308,1,2
2014090310,1,1
2014090311,1,2
2014090807,2,1
2014090808,1,2
2014090809,2,3
2014092623,1,1
2014101212,1,1
2014101213,2,2
2014101518,2,1
2014101519,3,2
2014102316,1,1
2014102519,1,1
2014102520,1,2
2014102521,1,3
