MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,23,0.00
0102,2,23,8.70
0103,1,23,4.35
0104,0,23,0.00
0105,0,23,0.00
0106,0,24,0.00
0107,1,24,4.17
0108,0,24,0.00
0109,2,24,8.33
0110,2,24,8.33
0111,2,24,8.33
0112,1,24,4.17
0113,0,24,0.00
0114,1,24,4.17
0115,0,24,0.00
0116,1,24,4.17
0117,2,24,8.33
0118,0,24,0.00
0119,2,24,8.33
0120,0,24,0.00
0121,3,24,12.50
0122,2,24,8.33
0123,2,24,8.33
0124,3,24,12.50
0125,1,24,4.17
0126,0,24,0.00
0127,1,23,4.35
0128,1,24,4.17
0129,0,24,0.00
0130,0,24,0.00
0131,0,24,0.00
0201,1,24,4.17
0202,3,24,12.50
0203,4,24,16.67
0204,1,24,4.17
0205,1,24,4.17
0206,2,24,8.33
0207,1,24,4.17
0208,3,24,12.50
0209,3,24,12.50
0210,3,24,12.50
0211,2,24,8.33
0212,1,24,4.17
0213,1,24,4.17
0214,2,24,8.33
0215,3,24,12.50
0216,3,24,12.50
0217,3,24,12.50
0218,3,24,12.50
0219,3,24,12.50
0220,2,24,8.33
0221,1,24,4.17
0222,2,24,8.33
0223,1,24,4.17
0224,2,24,8.33
0225,3,24,12.50
0226,1,24,4.17
0227,4,24,16.67
0228,0,23,0.00
0229,1,5,20.00
0301,5,24,20.83
0302,3,24,12.50
0303,4,24,16.67
0304,4,24,16.67
0305,2,24,8.33
0306,4,24,16.67
0307,3,24,12.50
0308,2,24,8.33
0309,2,24,8.33
0310,2,24,8.33
0311,3,24,12.50
0312,2,24,8.33
0313,4,24,16.67
0314,4,24,16.67
0315,2,24,8.33
0316,5,24,20.83
0317,5,24,20.83
0318,5,24,20.83
0319,4,23,17.39
0320,3,24,12.50
0321,4,24,16.67
0322,7,24,29.17
0323,2,24,8.33
0324,2,24,8.33
0325,5,24,20.83
0326,4,24,16.67
0327,3,24,12.50
0328,2,24,8.33
0329,3,24,12.50
0330,5,24,20.83
0331,7,24,29.17
0401,4,24,16.67
0402,5,24,20.83
0403,3,24,12.50
0404,2,24,8.33
0405,6,24,25.00
0406,4,24,16.67
0407,4,24,16.67
0408,7,24,29.17
0409,4,24,16.67
0410,3,24,12.50
0411,5,24,20.83
0412,4,24,16.67
0413,5,23,21.74
0414,9,24,37.50
0415,7,24,29.17
0416,6,24,25.00
0417,4,24,16.67
0418,3,24,12.50
0419,4,24,16.67
0420,3,24,12.50
0421,2,23,8.70
0422,3,24,12.50
0423,6,24,25.00
0424,4,24,16.67
0425,4,24,16.67
0426,3,24,12.50
0427,2,24,8.33
0428,5,24,20.83
0429,8,24,33.33
0430,4,24,16.67
0501,4,24,16.67
0502,4,24,16.67
0503,3,24,12.50
0504,3,24,12.50
0505,7,24,29.17
0506,6,24,25.00
0507,6,24,25.00
0508,2,24,8.33
0509,4,24,16.67
0510,6,24,25.00
0511,5,24,20.83
0512,5,24,20.83
0513,5,24,20.83
0514,3,24,12.50
0515,5,24,20.83
0516,8,24,33.33
0517,8,24,33.33
0518,6,24,25.00
0519,4,24,16.67
0520,4,24,16.67
0521,4,24,16.67
0522,5,24,20.83
0523,4,24,16.67
0524,5,24,20.83
0525,4,24,16.67
0526,6,24,25.00
0527,6,24,25.00
0528,3,24,12.50
0529,4,24,16.67
0530,5,24,20.83
0531,4,24,16.67
0601,5,24,20.83
0602,4,23,17.39
0603,2,24,8.33
0604,5,24,20.83
0605,7,24,29.17
0606,6,24,25.00
0607,5,24,20.83
0608,6,24,25.00
0609,5,24,20.83
0610,7,24,29.17
0611,4,24,16.67
0612,3,24,12.50
0613,4,24,16.67
0614,5,24,20.83
0615,4,24,16.67
0616,9,23,39.13
0617,9,24,37.50
0618,4,24,16.67
0619,2,24,8.33
0620,4,24,16.67
0621,4,24,16.67
0622,2,24,8.33
0623,2,24,8.33
0624,2,24,8.33
0625,1,24,4.17
0626,4,24,16.67
0627,4,24,16.67
0628,5,24,20.83
0629,5,24,20.83
0630,3,24,12.50
0701,2,24,8.33
0702,4,24,16.67
0703,4,24,16.67
0704,4,24,16.67
0705,1,24,4.17
0706,2,24,8.33
0707,4,24,16.67
0708,3,24,12.50
0709,3,24,12.50
0710,2,24,8.33
0711,3,24,12.50
0712,0,24,0.00
0713,1,24,4.17
0714,1,24,4.17
0715,1,24,4.17
0716,2,24,8.33
0717,4,24,16.67
0718,2,24,8.33
0719,2,24,8.33
0720,0,24,0.00
0721,1,24,4.17
0722,1,24,4.17
0723,0,24,0.00
0724,1,24,4.17
0725,1,24,4.17
0726,0,24,0.00
0727,0,24,0.00
0728,0,24,0.00
0729,0,24,0.00
0730,0,24,0.00
0731,0,24,0.00
0801,0,24,0.00
0802,0,24,0.00
0803,0,24,0.00
0804,0,24,0.00
0805,2,24,8.33
0806,2,24,8.33
0807,3,24,12.50
0808,2,24,8.33
0809,2,24,8.33
0810,2,24,8.33
0811,3,24,12.50
0812,1,24,4.17
0813,0,24,0.00
0814,1,24,4.17
0815,0,24,0.00
0816,0,24,0.00
