MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,22,4.55
0102,2,22,9.09
0103,1,23,4.35
0104,1,23,4.35
0105,1,23,4.35
0106,0,24,0.00
0107,1,24,4.17
0108,1,24,4.17
0109,2,24,8.33
0110,2,24,8.33
0111,4,24,16.67
0112,1,24,4.17
0113,0,24,0.00
0114,1,24,4.17
0115,1,24,4.17
0116,3,24,12.50
0117,2,24,8.33
0118,1,24,4.17
0119,3,24,12.50
0120,0,24,0.00
0121,3,24,12.50
0122,2,24,8.33
0123,3,24,12.50
0124,4,24,16.67
0125,1,24,4.17
0126,1,24,4.17
0127,1,23,4.35
0128,3,24,12.50
0129,0,24,0.00
0130,2,24,8.33
0131,0,24,0.00
0201,1,24,4.17
0202,3,24,12.50
0203,4,24,16.67
0204,1,24,4.17
0205,1,24,4.17
0206,3,24,12.50
0207,3,24,12.50
0208,3,24,12.50
0209,4,24,16.67
0210,3,24,12.50
0211,2,24,8.33
0212,1,24,4.17
0213,2,24,8.33
0214,3,24,12.50
0215,4,24,16.67
0216,4,24,16.67
0217,5,24,20.83
0218,4,24,16.67
0219,4,24,16.67
0220,2,24,8.33
0221,2,24,8.33
0222,3,24,12.50
0223,3,24,12.50
0224,4,24,16.67
0225,4,24,16.67
0226,2,24,8.33
0227,5,24,20.83
0228,0,23,0.00
0229,1,5,20.00
0301,5,24,20.83
0302,4,24,16.67
0303,4,24,16.67
0304,5,24,20.83
0305,3,24,12.50
0306,4,24,16.67
0307,5,24,20.83
0308,3,24,12.50
0309,2,24,8.33
0310,2,24,8.33
0311,3,24,12.50
0312,2,24,8.33
0313,5,24,20.83
0314,5,24,20.83
0315,4,24,16.67
0316,6,24,25.00
0317,5,24,20.83
0318,5,24,20.83
0319,4,23,17.39
0320,6,24,25.00
0321,5,24,20.83
0322,7,24,29.17
0323,5,24,20.83
0324,5,24,20.83
0325,6,24,25.00
0326,7,24,29.17
0327,4,24,16.67
0328,3,24,12.50
0329,5,24,20.83
0330,7,24,29.17
0331,7,24,29.17
0401,8,24,33.33
0402,8,24,33.33
0403,7,24,29.17
0404,5,24,20.83
0405,7,24,29.17
0406,6,24,25.00
0407,6,24,25.00
0408,9,24,37.50
0409,6,24,25.00
0410,5,24,20.83
0411,6,24,25.00
0412,5,24,20.83
0413,8,23,34.78
0414,13,24,54.17
0415,10,24,41.67
0416,9,24,37.50
0417,5,24,20.83
0418,5,24,20.83
0419,5,24,20.83
0420,6,24,25.00
0421,5,23,21.74
0422,3,24,12.50
0423,8,24,33.33
0424,4,24,16.67
0425,6,24,25.00
0426,3,24,12.50
0427,6,24,25.00
0428,9,24,37.50
0429,11,24,45.83
0430,8,24,33.33
0501,6,24,25.00
0502,7,24,29.17
0503,6,24,25.00
0504,5,24,20.83
0505,9,24,37.50
0506,10,24,41.67
0507,7,24,29.17
0508,6,24,25.00
0509,4,24,16.67
0510,8,24,33.33
0511,7,24,29.17
0512,7,24,29.17
0513,7,24,29.17
0514,6,24,25.00
0515,5,24,20.83
0516,10,24,41.67
0517,10,24,41.67
0518,9,24,37.50
