MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,23,0.00
0102,0,23,0.00
0103,3,23,13.04
0104,1,23,4.35
0105,3,23,13.04
0106,1,24,4.17
0107,3,24,12.50
0108,0,24,0.00
0109,0,24,0.00
0110,1,24,4.17
0111,1,24,4.17
0112,1,24,4.17
0113,1,24,4.17
0114,4,24,16.67
0115,5,24,20.83
0116,5,24,20.83
0117,1,24,4.17
0118,1,24,4.17
0119,2,24,8.33
0120,3,24,12.50
0121,3,24,12.50
0122,1,24,4.17
0123,3,24,12.50
0124,1,24,4.17
0125,2,24,8.33
0126,3,24,12.50
0127,5,23,21.74
0128,4,24,16.67
0129,1,24,4.17
0130,2,24,8.33
0131,3,24,12.50
0201,1,24,4.17
0202,3,24,12.50
0203,1,24,4.17
0204,1,24,4.17
0205,3,24,12.50
0206,3,24,12.50
0207,3,24,12.50
0208,5,24,20.83
0209,2,24,8.33
0210,2,24,8.33
0211,4,24,16.67
0212,6,24,25.00
0213,5,24,20.83
0214,5,24,20.83
0215,5,24,20.83
0216,4,24,16.67
0217,9,24,37.50
0218,10,24,41.67
0219,4,24,16.67
0220,2,24,8.33
0221,5,24,20.83
0222,6,24,25.00
0223,3,24,12.50
0224,6,24,25.00
0225,6,24,25.00
0226,6,24,25.00
0227,7,24,29.17
0228,6,23,26.09
0229,2,5,40.00
0301,7,24,29.17
0302,6,24,25.00
0303,8,24,33.33
0304,7,24,29.17
0305,10,24,41.67
0306,15,24,62.50
0307,12,24,50.00
0308,6,24,25.00
0309,7,24,29.17
0310,12,24,50.00
0311,13,24,54.17
0312,14,24,58.33
0313,11,24,45.83
0314,15,24,62.50
0315,16,24,66.67
0316,15,24,62.50
0317,13,24,54.17
0318,14,24,58.33
0319,13,23,56.52
0320,16,24,66.67
0321,15,24,62.50
0322,12,24,50.00
0323,12,24,50.00
0324,11,24,45.83
0325,17,24,70.83
0326,19,24,79.17
0327,11,24,45.83
0328,13,24,54.17
0329,14,24,58.33
0330,16,24,66.67
0331,17,24,70.83
0401,15,24,62.50
0402,15,24,62.50
0403,14,24,58.33
0404,15,24,62.50
0405,15,24,62.50
0406,13,24,54.17
0407,14,24,58.33
0408,17,24,70.83
0409,14,24,58.33
0410,13,24,54.17
0411,14,24,58.33
0412,15,24,62.50
0413,16,23,69.57
0414,18,24,75.00
0415,15,24,62.50
0416,18,24,75.00
0417,16,24,66.67
0418,18,24,75.00
0419,18,24,75.00
0420,18,24,75.00
0421,17,23,73.91
0422,14,24,58.33
0423,15,24,62.50
0424,15,24,62.50
0425,16,24,66.67
0426,15,24,62.50
0427,17,24,70.83
0428,17,24,70.83
0429,19,24,79.17
0430,18,24,75.00
0501,14,24,58.33
0502,17,24,70.83
0503,18,24,75.00
0504,19,24,79.17
0505,18,24,75.00
0506,21,24,87.50
0507,19,24,79.17
0508,14,24,58.33
0509,16,24,66.67
0510,14,24,58.33
0511,20,24,83.33
0512,18,24,75.00
0513,20,24,83.33
0514,21,24,87.50
0515,20,24,83.33
0516,23,24,95.83
0517,20,24,83.33
0518,18,24,75.00
0519,15,24,62.50
0520,20,24,83.33
0521,20,24,83.33
0522,20,24,83.33
0523,17,24,70.83
0524,16,24,66.67
0525,16,24,66.67
0526,21,24,87.50
0527,24,24,100.00
0528,22,24,91.67
0529,23,24,95.83
0530,21,24,87.50
0531,22,24,91.67
0601,23,24,95.83
0602,22,23,95.65
0603,21,24,87.50
0604,21,24,87.50
0605,21,24,87.50
0606,22,24,91.67
0607,21,24,87.50
0608,21,24,87.50
0609,22,24,91.67
0610,21,24,87.50
0611,20,24,83.33
0612,21,24,87.50
0613,20,24,83.33
0614,21,24,87.50
0615,22,24,91.67
0616,22,23,95.65
0617,20,24,83.33
0618,22,24,91.67
0619,23,24,95.83
0620,22,24,91.67
0621,24,24,100.00
0622,24,24,100.00
0623,22,24,91.67
0624,23,24,95.83
0625,20,24,83.33
0626,22,24,91.67
0627,24,24,100.00
0628,23,24,95.83
0629,24,24,100.00
0630,23,24,95.83
0701,22,24,91.67
0702,23,24,95.83
0703,21,24,87.50
0704,22,24,91.67
0705,19,24,79.17
0706,19,24,79.17
0707,18,24,75.00
0708,19,24,79.17
0709,19,24,79.17
0710,19,24,79.17
0711,20,24,83.33
0712,21,24,87.50
0713,21,24,87.50
0714,20,24,83.33
0715,20,24,83.33
0716,18,24,75.00
0717,22,24,91.67
0718,22,24,91.67
0719,18,24,75.00
0720,17,24,70.83
0721,17,24,70.83
0722,16,24,66.67
0723,17,24,70.83
0724,18,24,75.00
0725,13,24,54.17
0726,18,24,75.00
0727,12,24,50.00
0728,15,24,62.50
0729,18,24,75.00
0730,16,24,66.67
0731,15,24,62.50
0801,14,24,58.33
0802,15,24,62.50
0803,17,24,70.83
0804,19,24,79.17
0805,17,24,70.83
0806,18,24,75.00
0807,21,24,87.50
0808,18,24,75.00
0809,17,24,70.83
0810,21,24,87.50
0811,19,24,79.17
0812,19,24,79.17
0813,18,24,75.00
0814,19,24,79.17
0815,18,24,75.00
0816,16,24,66.67
0817,19,24,79.17
0818,18,24,75.00
0819,20,24,83.33
0820,18,24,75.00
0821,16,24,66.67
0822,17,24,70.83
0823,16,24,66.67
0824,19,24,79.17
0825,18,24,75.00
0826,17,24,70.83
0827,14,24,58.33
0828,20,24,83.33
0829,18,24,75.00
0830,19,24,79.17
0831,17,24,70.83
0901,18,24,75.00
0902,19,24,79.17
0903,21,24,87.50
0904,18,24,75.00
0905,20,24,83.33
0906,18,24,75.00
0907,18,23,78.26
0908,18,24,75.00
0909,17,24,70.83
0910,17,24,70.83
0911,15,24,62.50
0912,16,24,66.67
0913,17,24,70.83
0914,18,24,75.00
0915,16,24,66.67
0916,16,24,66.67
0917,21,24,87.50
0918,21,24,87.50
0919,21,24,87.50
0920,22,24,91.67
0921,18,24,75.00
0922,19,24,79.17
0923,16,24,66.67
0924,17,24,70.83
0925,18,24,75.00
0926,21,24,87.50
0927,17,24,70.83
0928,19,24,79.17
0929,17,24,70.83
0930,17,24,70.83
1001,16,24,66.67
1002,19,24,79.17
1003,20,24,83.33
1004,16,24,66.67
1005,13,24,54.17
1006,13,24,54.17
1007,15,24,62.50
1008,15,24,62.50
1009,15,24,62.50
1010,18,24,75.00
1011,16,24,66.67
1012,15,24,62.50
1013,15,24,62.50
1014,14,24,58.33
1015,16,24,66.67
1016,20,24,83.33
1017,17,24,70.83
1018,15,24,62.50
1019,15,24,62.50
1020,17,24,70.83
1021,14,24,58.33
1022,12,24,50.00
1023,14,24,58.33
1024,14,24,58.33
1025,12,24,50.00
1026,11,24,45.83
1027,14,24,58.33
1028,13,24,54.17
1029,13,24,54.17
1030,12,24,50.00
1031,10,24,41.67
1101,9,24,37.50
1102,11,24,45.83
1103,12,24,50.00
1104,12,24,50.00
1105,9,24,37.50
1106,10,24,41.67
1107,11,24,45.83
1108,14,24,58.33
1109,9,24,37.50
1110,10,24,41.67
1111,10,24,41.67
1112,6,24,25.00
1113,6,24,25.00
1114,10,24,41.67
1115,12,24,50.00
1116,11,24,45.83
1117,12,24,50.00
1118,9,24,37.50
1119,10,24,41.67
1120,12,24,50.00
1121,8,24,33.33
1122,6,24,25.00
1123,8,24,33.33
1124,7,24,29.17
1125,11,24,45.83
1126,8,24,33.33
1127,8,24,33.33
1128,7,24,29.17
1129,4,24,16.67
1130,5,24,20.83
1201,5,24,20.83
1202,2,24,8.33
1203,1,24,4.17
1204,4,24,16.67
1205,2,23,8.70
1206,7,23,30.43
1207,4,23,17.39
1208,3,23,13.04
1209,2,23,8.70
1210,2,23,8.70
1211,2,23,8.70
1212,2,23,8.70
1213,2,23,8.70
1214,2,23,8.70
1215,4,22,18.18
1216,1,23,4.35
1217,2,23,8.70
1218,0,23,0.00
1219,1,23,4.35
1220,2,23,8.70
1221,1,23,4.35
1222,2,22,9.09
1223,1,22,4.55
1224,2,22,9.09
1225,1,22,4.55
1226,2,22,9.09
1227,1,22,4.55
1228,1,22,4.55
1229,1,22,4.55
1230,1,22,4.55
1231,1,22,4.55
