OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010222,1,1
1997010307,1,1
1997010308,1,2
1997010310,1,1
1997010602,1,1
1997010603,1,2
1997010605,1,1
1997010607,1,1
1997010608,1,2
1997010610,1,1
1997010612,1,1
1997010613,1,2
1997010617,1,1
1997010619,1,1
1997010622,1,1
1997010700,1,1
1997010701,1,2
1997010922,1,1
1997011217,1,1
1997011219,1,1
1997011221,1,1
1997012009,1,1
1997012010,1,2
1997012011,1,3
1997012012,1,4
1997012013,1,5
1997012018,1,1
1997012019,1,2
1997012022,1,1
1997012219,1,1
1997012300,1,1
1997012307,1,1
1997012308,1,2
1997012312,1,1
1997012313,1,2
1997012314,1,3
1997012515,1,1
1997012516,1,2
1997012518,1,1
1997012522,1,1
1997012917,1,1
1997013118,1,1
1997013121,1,1
1997021202,1,1
1997021223,1,1
1997021301,1,1
1997021314,1,1
1997021315,1,2
1997021316,1,3
1997021317,1,4
1997021320,1,1
1997021322,1,1
1997021519,1,1
1997021713,1,1
1997021717,1,1
1997021718,1,2
1997021816,1,1
1997022014,1,1
1997022018,1,1
1997022019,1,2
1997022021,1,1
1997022418,1,1
1997022420,1,1
1997022421,1,2
1997022422,1,3
1997022500,1,1
1997022503,1,1
1997022709,1,1
1997022710,1,2
1997022711,1,3
1997022715,1,1
1997022717,1,1
1997022718,1,2
1997022719,1,3
1997030218,1,1
1997030219,1,2
1997030220,1,3
1997030221,1,4
1997030300,1,1
1997030302,1,1
1997030318,1,1
1997030320,1,1
1997030321,1,2
1997030322,1,3
1997030620,1,1
1997031120,1,1
1997031121,1,2
1997031122,1,3
1997031521,1,1
1997031522,1,2
1997031615,1,1
1997031617,1,1
1997031618,1,2
1997031619,1,3
1997031620,1,4
1997031621,1,5
1997031622,1,6
1997032417,1,1
1997032420,1,1
1997032421,1,2
1997032422,1,3
1997032500,1,1
1997032716,1,1
1997032818,1,1
1997032900,1,1
1997033018,1,1
1997033109,1,1
1997033114,1,1
1997040100,1,1
1997040102,1,1
1997040200,1,1
1997040203,1,1
1997040220,1,1
1997040417,1,1
1997040419,1,1
1997040420,1,2
1997040421,1,3
1997040500,2,1
1997040800,1,1
1997040822,1,1
1997041720,1,1
1997042418,1,1
1997042422,1,1
1997042717,1,1
1997042719,1,1
1997042721,1,1
1997042722,1,2
1997042900,1,1
1997042905,1,1
1997050319,1,1
1997050322,1,1
1997050323,1,2
1997050522,1,1
1997050920,1,1
1997051120,1,1
1997051121,1,2
1997051420,1,1
1997051500,1,1
1997051721,1,1
1997051920,1,1
1997052019,1,1
1997052020,1,2
1997052119,2,1
1997052223,1,1
1997052319,1,1
1997052323,1,1
1997052400,1,2
1997052414,1,1
1997053120,1,1
1997053122,1,1
1997060120,1,1
1997060323,1,1
1997060418,1,1
1997060419,1,2
1997060423,1,1
1997060521,1,1
1997060522,1,2
1997061119,1,1
1997061122,1,1
1997061219,1,1
1997061300,1,1
1997061315,1,1
1997061500,1,1
1997061820,1,1
1997061821,1,2
1997061918,1,1
1997061919,1,2
1997062119,1,1
1997062223,1,1
1997062300,1,2
1997062618,1,1
1997062619,1,2
1997062620,1,3
1997062622,1,1
1997062623,1,2
1997062718,1,1
1997062719,1,2
1997062722,1,1
1997062723,1,2
1997062819,1,1
1997062820,1,2
1997062821,1,3
1997062822,2,4
1997062823,1,5
1997062922,1,1
1997062923,2,2
1997063000,2,3
1997063001,2,4
1997063002,1,5
1997063016,1,1
1997063017,2,2
1997063018,2,3
1997063019,2,4
1997063020,2,5
1997063021,2,6
1997063022,2,7
