OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010306,1,1
1997010308,1,1
1997010310,1,1
1997010621,1,1
1997010922,1,1
1997012021,1,1
1997012300,1,1
1997012314,1,1
1997012515,1,1
1997012516,1,2
1997012517,1,3
1997012518,1,4
1997012522,1,1
1997021223,1,1
1997021314,1,1
1997021713,1,1
1997022420,1,1
1997022710,1,1
1997022716,1,1
1997022717,1,2
1997022718,1,3
1997030218,1,1
1997030220,1,1
1997030221,1,2
1997030318,1,1
1997030319,1,2
1997030401,1,1
1997031616,1,1
1997031617,1,2
1997031618,1,3
1997031619,1,4
1997031620,1,5
1997031621,1,6
1997032417,1,1
1997032420,1,1
1997032421,1,2
1997032422,1,3
1997032500,1,1
1997032501,1,2
1997032818,1,1
1997033100,1,1
1997033109,1,1
1997033114,1,1
1997040201,1,1
1997040203,1,1
1997040419,1,1
1997040420,1,2
1997040421,1,3
1997040822,1,1
1997041720,1,1
1997042317,1,1
1997042422,1,1
1997042823,1,1
1997042900,1,2
1997050319,1,1
1997050521,1,1
1997050920,1,1
1997050922,1,1
1997051021,1,1
1997051420,1,1
1997051920,1,1
1997052018,1,1
1997052019,1,2
1997052020,1,3
1997052021,1,4
1997052121,1,1
1997052122,1,2
1997052319,1,1
1997052323,1,1
1997052414,1,1
1997053119,1,1
1997060317,1,1
1997060321,1,1
1997060419,1,1
1997060423,1,1
1997060518,1,1
1997060622,1,1
1997061217,1,1
1997061218,1,2
1997061219,1,3
1997061220,1,4
1997061221,1,5
1997061222,1,6
1997061300,1,1
1997061315,1,1
1997061917,1,1
1997061919,1,1
1997062119,1,1
1997062120,1,2
1997062219,1,1
1997062220,1,2
1997062221,1,3
1997062222,1,4
1997062223,1,5
1997062716,1,1
1997062718,1,1
1997062719,1,2
1997062722,1,1
1997062817,1,1
1997062821,1,1
1997062822,1,2
1997062900,1,1
1997062901,1,2
1997062919,1,1
1997062920,1,2
1997062921,1,3
1997063014,1,1
1997063015,1,2
1997063016,1,3
1997063017,1,4
1997063018,1,5
1997063019,1,6
1997063020,1,7
1997063021,1,8
1997063022,1,9
1997070100,1,1
1997070101,1,2
1997070102,1,3
1997070216,1,1
1997071018,1,1
1997071019,1,2
1997071020,1,3
1997071101,1,1
1997071117,1,1
1997071118,1,2
1997071119,1,3
1997071120,1,4
1997071123,1,1
1997071200,1,2
1997071201,1,3
1997071521,1,1
1997071717,1,1
1997071718,1,2
1997071719,1,3
1997071720,1,4
1997071722,1,1
1997071800,1,1
1997071815,1,1
1997071816,1,2
1997071817,1,3
1997071818,1,4
1997071819,1,5
1997071820,1,6
1997071823,1,1
1997072420,1,1
1997072719,1,1
1997072822,1,1
1997080118,1,1
1997080920,1,1
1997080921,1,2
1997081219,1,1
1997081220,1,2
1997082122,2,1
1997082221,1,1
1997082222,1,2
1997082419,1,1
1997082721,1,1
1997082722,1,2
1997090201,1,1
1997091120,1,1
1997091121,1,2
1997091122,1,3
1997091418,1,1
1997091500,1,1
1997091517,1,1
1997091521,1,1
1997091522,1,2
1997091722,1,1
1997091800,1,1
1997091801,1,2
1997091816,1,1
1997091817,1,2
1997091818,1,3
1997091819,1,4
1997091820,1,5
1997091822,1,1
1997100216,1,1
1997100218,1,1
1997100219,1,2
1997100220,1,3
1997100222,1,1
1997100616,1,1
1997100618,1,1
1997100619,1,2
1997100620,1,3
1997100622,1,1
1997100704,1,1
1997100710,1,1
1997100711,1,2
1997100713,1,1
1997100719,1,1
1997100918,1,1
1997100919,1,2
1997100920,1,3
1997100922,1,1
1997101018,1,1
1997101019,1,2
1997101020,1,3
1997101021,1,4
1997101022,1,5
1997101100,1,1
1997101102,1,1
1997101104,1,1
1997101105,1,2
1997101106,1,3
1997101108,1,1
1997101110,1,1
1997101218,1,1
1997102515,1,1
1997111020,1,1
1997111111,1,1
1997111116,1,1
1997111920,1,1
1997112421,1,1
1997112422,1,2
1997112612,1,1
1997112613,1,2
1997112617,1,1
1997112618,1,2
1997112619,1,3
1997112620,1,4
1997112621,1,5
1997112622,1,6
1997112701,1,1
1997112702,1,2
1997112707,1,1
1997112709,1,1
1997120809,1,1
1997120811,1,1
1997120821,1,1
1997121001,1,1
1997121418,1,1
1997122820,1,1
1998010207,1,1
1998010208,1,2
1998010215,1,1
1998010218,1,1
1998010219,1,2
1998010220,1,3
1998010422,1,1
1998011021,1,1
1998011205,1,1
1998011222,1,1
1998012920,1,1
1998012922,1,1
1998020119,1,1
1998020120,1,2
1998020320,1,1
1998020321,1,2
1998020322,1,3
1998020401,1,1
1998020404,1,1
1998020405,1,2
1998020406,1,3
1998020409,1,1
1998020703,1,1
1998020803,1,1
1998020804,1,2
1998020806,1,1
1998021419,1,1
1998021421,1,1
1998022200,1,1
1998022219,1,1
1998022220,1,2
1998022301,1,1
1998022316,1,1
1998022404,1,1
1998022405,1,2
1998022407,1,1
1998022408,1,2
1998022409,1,3
1998022410,1,4
1998022411,1,5
1998022412,1,6
1998022413,1,7
1998030319,1,1
1998030320,1,2
1998030321,1,3
1998030322,1,4
1998030520,1,1
1998030521,1,2
1998030522,1,3
1998030612,1,1
1998030613,1,2
1998030702,1,1
1998030712,1,1
1998031319,1,1
1998031320,1,2
1998031802,1,1
1998031803,1,2
1998031900,1,1
1998032420,1,1
1998032422,1,1
1998032500,1,1
1998032504,1,1
1998032516,1,1
1998032517,1,2
1998032518,1,3
1998032519,1,4
1998032520,1,5
1998032601,1,1
1998032717,1,1
1998032718,1,2
1998032719,1,3
1998032720,1,4
1998032721,1,5
1998032722,1,6
1998032807,1,1
1998032815,1,1
1998032816,1,2
1998032818,1,1
1998033118,1,1
1998041022,1,1
1998041115,1,1
1998041116,1,2
1998041117,1,3
1998041118,1,4
1998041119,1,5
1998041314,1,1
1998041315,1,2
1998041316,1,3
1998041317,1,4
1998041318,1,5
1998041400,1,1
1998041422,1,1
1998042317,1,1
1998042318,1,2
1998042319,1,3
1998042320,1,4
1998042321,1,5
1998042322,1,6
1998042400,1,1
1998042401,1,2
1998042403,1,1
1998042404,1,2
1998050121,1,1
1998050217,1,1
1998050222,1,1
1998050416,1,1
1998050417,1,2
1998050418,1,3
1998050421,1,1
1998050422,1,2
1998050917,1,1
1998050920,1,1
1998050921,1,2
1998051002,1,1
1998051004,1,1
1998051005,1,2
1998051009,1,1
1998051011,1,1
1998051013,1,1
1998051014,1,2
1998051015,1,3
1998051016,1,4
1998051017,1,5
1998051018,1,6
1998051022,1,1
1998051213,1,1
1998051216,1,1
1998051217,1,2
1998051221,1,1
1998051310,1,1
1998051317,1,1
1998051318,1,2
1998051319,1,3
1998051321,1,1
1998051322,1,2
1998051618,1,1
1998051619,1,2
1998051620,1,3
1998051621,1,4
1998051622,1,5
1998051700,1,1
1998051701,1,2
1998051702,1,3
1998051703,1,4
1998051706,1,1
1998051709,1,1
1998051710,1,2
1998051711,1,3
1998051712,1,4
1998051713,1,5
1998051714,1,6
1998051715,1,7
1998051716,1,8
1998051717,1,9
1998051718,1,10
1998051719,1,11
1998051721,1,1
1998051722,1,2
1998051800,1,1
1998051821,1,1
1998051918,1,1
1998051919,1,2
1998051921,1,1
1998051922,1,2
1998052000,1,1
1998052014,1,1
1998052017,1,1
1998052021,1,1
1998052103,1,1
1998052116,1,1
1998052117,1,2
1998052118,1,3
1998052120,1,1
1998052517,1,1
1998052520,1,1
1998052609,1,1
1998052610,1,2
1998052611,1,3
1998052612,1,4
1998052613,1,5
1998052614,1,6
1998052615,1,7
1998052616,1,8
1998052617,1,9
1998052618,1,10
1998052619,1,11
1998052620,1,12
1998052621,1,13
1998052622,1,14
1998052700,1,1
1998052701,1,2
1998052716,1,1
1998052717,1,2
1998052719,1,1
1998052722,1,1
1998052817,1,1
1998052819,2,1
1998052821,1,1
1998052822,1,2
1998052916,1,1
1998052917,1,2
1998052918,1,3
