MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,16,0.00
0102,0,16,0.00
0103,0,16,0.00
0104,0,15,0.00
0105,1,16,6.25
0106,0,16,0.00
0107,1,16,6.25
0108,0,16,0.00
0109,1,16,6.25
0110,0,16,0.00
0111,0,15,0.00
0112,0,16,0.00
0113,0,16,0.00
0114,1,16,6.25
0115,0,16,0.00
0116,0,16,0.00
0117,1,16,6.25
0118,0,16,0.00
0119,1,16,6.25
0120,1,15,6.67
0121,0,14,0.00
0122,0,15,0.00
0123,0,16,0.00
0124,0,16,0.00
0125,0,16,0.00
0126,0,16,0.00
0127,0,17,0.00
0128,1,17,5.88
0129,0,17,0.00
0130,0,17,0.00
0131,0,17,0.00
0201,1,17,5.88
0202,1,17,5.88
0203,1,17,5.88
0204,0,16,0.00
0205,0,17,0.00
0206,0,17,0.00
0207,1,17,5.88
0208,1,18,5.56
0209,0,18,0.00
0210,0,18,0.00
0211,0,18,0.00
0212,0,18,0.00
0213,0,18,0.00
0214,0,18,0.00
0215,0,18,0.00
0216,1,18,5.56
0217,1,18,5.56
0218,1,18,5.56
0219,0,18,0.00
0220,0,18,0.00
0221,0,18,0.00
0222,1,18,5.56
0223,0,18,0.00
0224,1,18,5.56
0225,1,18,5.56
0226,1,17,5.88
0227,0,16,0.00
0228,0,17,0.00
0229,0,5,0.00
0301,1,17,5.88
0302,1,17,5.88
0303,1,17,5.88
0304,0,17,0.00
0305,0,17,0.00
0306,1,17,5.88
0307,0,17,0.00
0308,0,17,0.00
0309,0,17,0.00
0310,0,17,0.00
0311,0,17,0.00
0312,0,17,0.00
0313,0,17,0.00
0314,1,17,5.88
0315,0,17,0.00
0316,0,17,0.00
0317,2,17,11.76
0318,1,17,5.88
0319,1,17,5.88
0320,0,17,0.00
0321,2,16,12.50
0322,0,17,0.00
0323,1,17,5.88
0324,1,17,5.88
0325,2,17,11.76
0326,0,17,0.00
0327,0,17,0.00
0328,0,17,0.00
0329,0,17,0.00
0330,1,17,5.88
0331,1,17,5.88
0401,1,17,5.88
0402,3,17,17.65
0403,3,17,17.65
0404,0,17,0.00
0405,2,17,11.76
0406,1,17,5.88
0407,0,17,0.00
0408,2,17,11.76
0409,1,17,5.88
0410,1,17,5.88
0411,1,17,5.88
0412,2,16,12.50
0413,1,17,5.88
0414,2,17,11.76
0415,1,17,5.88
0416,2,17,11.76
0417,4,17,23.53
0418,0,17,0.00
0419,0,16,0.00
0420,0,17,0.00
0421,0,17,0.00
0422,0,17,0.00
0423,1,17,5.88
0424,1,17,5.88
0425,0,17,0.00
0426,0,17,0.00
0427,0,17,0.00
0428,1,17,5.88
0429,1,17,5.88
0430,1,16,6.25
0501,1,16,6.25
0502,0,17,0.00
0503,1,17,5.88
0504,2,17,11.76
0505,1,17,5.88
0506,0,17,0.00
0507,0,17,0.00
0508,1,16,6.25
0509,0,15,0.00
0510,0,15,0.00
0511,1,16,6.25
0512,1,17,5.88
0513,2,17,11.76
0514,0,17,0.00
0515,1,17,5.88
0516,1,17,5.88
0517,0,16,0.00
0518,0,17,0.00
0519,1,17,5.88
0520,1,15,6.67
0521,0,16,0.00
0522,0,16,0.00
0523,0,16,0.00
0524,1,16,6.25
0525,0,16,0.00
0526,1,17,5.88
0527,2,17,11.76
0528,1,17,5.88
0529,0,17,0.00
0530,0,16,0.00
0531,0,17,0.00
0601,2,17,11.76
0602,0,17,0.00
0603,1,17,5.88
0604,0,17,0.00
0605,1,16,6.25
0606,2,17,11.76
0607,2,17,11.76
0608,2,17,11.76
0609,2,17,11.76
0610,1,16,6.25
0611,0,17,0.00
0612,1,16,6.25
0613,1,17,5.88
0614,0,17,0.00
0615,0,17,0.00
0616,3,17,17.65
0617,1,17,5.88
