MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,17,0.00
0102,0,17,0.00
0103,0,17,0.00
0104,1,16,6.25
0105,0,16,0.00
0106,0,16,0.00
0107,0,16,0.00
0108,0,16,0.00
0109,0,16,0.00
0110,0,16,0.00
0111,0,15,0.00
0112,0,16,0.00
0113,0,16,0.00
0114,1,16,6.25
0115,1,16,6.25
0116,1,16,6.25
0117,0,16,0.00
0118,1,16,6.25
0119,0,16,0.00
0120,0,15,0.00
0121,0,14,0.00
0122,0,15,0.00
0123,0,16,0.00
0124,0,16,0.00
0125,1,16,6.25
0126,0,16,0.00
0127,0,17,0.00
0128,0,17,0.00
0129,0,17,0.00
0130,0,17,0.00
0131,1,17,5.88
0201,0,17,0.00
0202,0,17,0.00
0203,1,17,5.88
0204,0,16,0.00
0205,0,17,0.00
0206,1,17,5.88
0207,1,18,5.56
0208,1,18,5.56
0209,0,18,0.00
0210,0,18,0.00
0211,0,18,0.00
0212,0,18,0.00
0213,0,18,0.00
0214,0,18,0.00
0215,2,18,11.11
0216,1,18,5.56
0217,1,18,5.56
0218,2,18,11.11
0219,1,18,5.56
0220,1,18,5.56
0221,0,18,0.00
0222,0,18,0.00
0223,0,18,0.00
0224,0,18,0.00
0225,1,18,5.56
0226,1,17,5.88
0227,0,16,0.00
0228,0,17,0.00
0229,0,5,0.00
0301,1,17,5.88
0302,1,17,5.88
0303,4,17,23.53
0304,4,17,23.53
0305,3,17,17.65
0306,4,17,23.53
0307,2,17,11.76
0308,1,17,5.88
0309,3,17,17.65
0310,4,17,23.53
0311,5,17,29.41
0312,6,17,35.29
0313,6,17,35.29
0314,6,17,35.29
0315,6,17,35.29
0316,9,17,52.94
0317,7,17,41.18
0318,6,17,35.29
0319,7,17,41.18
0320,7,17,41.18
0321,6,16,37.50
0322,7,17,41.18
0323,3,17,17.65
0324,2,17,11.76
0325,3,17,17.65
0326,8,17,47.06
0327,4,17,23.53
0328,7,17,41.18
0329,2,17,11.76
0330,3,17,17.65
0331,5,17,29.41
0401,8,17,47.06
0402,5,17,29.41
0403,8,17,47.06
0404,11,17,64.71
0405,9,17,52.94
0406,5,17,29.41
0407,6,17,35.29
0408,9,17,52.94
0409,6,17,35.29
0410,7,17,41.18
0411,10,17,58.82
0412,10,16,62.50
0413,7,17,41.18
0414,8,17,47.06
0415,9,17,52.94
