OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2002022400,1,1
2004022623,1,1
2004032222,1,1
2004032521,1,1
2004032612,1,1
2004033119,1,1
2004040220,1,1
2004040221,1,2
2004040301,1,1
2004041020,1,1
2004041021,1,2
2004041022,1,3
2004041100,1,1
2004041101,1,2
2004041622,1,1
2004041700,1,1
2004041717,1,1
2004041721,1,1
2004042214,1,1
2004042215,1,2
2004042217,1,1
2004042218,1,2
2004042219,1,3
2004042220,1,4
2004042223,1,1
2004042300,1,2
2004042818,1,1
2004042820,1,1
2004042822,1,1
2004050520,1,1
2004050522,1,1
2004050616,1,1
2004050619,1,1
2004051222,1,1
2004051720,1,1
2004051817,1,1
2004051822,1,1
2004052118,1,1
2004052120,1,1
2004052316,1,1
2004052317,1,2
2004052318,1,3
2004052400,1,1
2004052401,1,2
2004052520,1,1
2004052819,1,1
2004060718,1,1
2004072221,1,1
2004072302,1,1
2004082220,1,1
2004082223,1,1
2004082321,1,1
2004082519,1,1
2004082601,1,1
2004091218,1,1
2004091221,1,1
2004091718,1,1
2004091720,1,1
2004091721,1,2
2004091722,1,3
2004091817,1,1
2004091818,1,2
2004091823,1,1
2004091922,1,1
2004091923,1,2
2004092000,1,3
2004092001,1,4
2004092002,1,5
2004092122,1,1
2004092822,1,1
2004112822,1,1
2004120906,1,1
2004120908,1,1
2005010821,1,1
2005010822,1,2
2005010905,1,1
2005010906,1,2
2005010907,1,3
2005010908,1,4
2005010911,1,1
2005010912,1,2
2005021919,1,1
2005032523,1,1
2005032600,1,2
2005040317,1,1
2005040411,1,1
2005040412,1,2
2005040720,1,1
2005040722,1,1
2005041400,1,1
2005041404,1,1
2005041405,1,2
2005041718,1,1
2005041815,1,1
2005041816,1,2
2005041817,1,3
2005041818,1,4
2005041819,1,5
2005041822,1,1
2005041920,1,1
2005041921,1,2
2005042322,1,1
2005042719,1,1
2005042813,1,1
2005042814,1,2
2005042817,1,1
2005042820,1,1
2005050919,1,1
2005051120,1,1
2005053000,1,1
2005060607,1,1
2005060619,1,1
2005060717,1,1
2005061720,1,1
2005061721,1,2
2005061722,1,3
2005061723,1,4
2005061801,1,1
2005061802,1,2
2005061803,1,3
2005061805,1,1
2005061819,1,1
2005061821,1,1
2005061823,1,1
2005062322,1,1
2005062600,1,1
2005062622,1,1
2005062822,1,1
2005072922,1,1
2005073123,1,1
2005081700,1,1
2005081819,1,1
2005082719,1,1
2005082919,1,1
2005090823,1,1
2005091120,1,1
2005091618,1,1
2005092418,1,1
2005092419,1,2
2005092420,1,3
2005100120,1,1
2005100217,1,1
2005100720,1,1
2005110306,1,1
2005110307,1,2
2005110309,1,1
2005110310,1,2
2005110716,1,1
2005111220,1,1
2006010307,1,1
2006022822,1,1
2006030102,1,1
2006030404,1,1
2006030405,1,2
2006030623,1,1
2006030700,1,2
2006032605,1,1
2006040518,1,1
2006041015,1,1
2006041017,1,1
2006041018,1,2
2006041314,1,1
2006041623,1,1
2006041702,1,1
2006041703,1,2
2006041708,1,1
2006042219,1,1
2006042220,1,2
2006050321,1,1
2006050322,1,2
2006052620,1,1
2006052623,1,1
2006052703,1,1
2006052708,1,1
2006052716,1,1
2006061416,1,1
2006061916,1,1
2006061919,1,1
2006070102,1,1
2006071121,1,1
2006071223,1,1
2006071823,1,1
2006072000,1,1
2006080322,1,1
2006080620,1,1
2006080722,1,1
2006080818,1,1
2006082507,1,1
2006091422,1,1
2006092008,1,1
2006111118,1,1
2006112316,1,1
2006112711,1,1
2006112723,1,1
2006122817,1,1
2006122822,1,1
2007010410,1,1
2007010519,1,1
2007021821,1,1
2007021901,1,1
2007022309,1,1
2007022310,1,2
2007022713,1,1
2007022714,1,2
2007022715,1,3
2007032020,1,1
2007032103,1,1
2007032104,1,2
2007032111,1,1
2007032717,1,1
2007032720,1,1
2007032722,1,1
2007032723,1,2
2007040222,1,1
2007041816,1,1
2007042218,1,1
2007042919,1,1
2007050221,1,1
2007050308,1,1
2007050521,1,1
2007051219,1,1
2007052019,1,1
2007052021,1,1
2007052319,1,1
2007052820,1,1
2007060523,1,1
2007060601,1,1
2007060602,1,2
2007060603,1,3
2007060606,1,1
2007060608,1,1
2007060609,1,2
2007060820,1,1
2007060822,1,1
2007060920,1,1
2007061118,1,1
2007061619,1,1
2007061622,1,1
2007071522,1,1
2007071621,1,1
2007071820,1,1
2007073121,1,1
2007081017,1,1
2007081021,1,1
2007081920,1,1
2007081921,1,2
2007081922,1,3
2007090300,1,1
2007091520,1,1
2007091619,1,1
2007091620,1,2
2007091819,1,1
2007092000,1,1
2007092021,1,1
2007092023,1,1
2007092219,1,1
2007092313,1,1
2007092316,1,1
2007092318,1,1
2007092908,1,1
2007092911,1,1
2007092913,1,1
2007092914,1,2
2007100318,1,1
2007100420,1,1
2007100421,1,2
2007100500,1,1
2007100501,1,2
2007100515,1,1
2007100516,1,2
2007100517,1,3
2007101023,1,1
2007101101,1,1
2007102009,1,1
2007102920,1,1
2007111403,1,1
2007112002,1,1
2007112003,1,2
2007112717,1,1
2007112718,1,2
2007113019,1,1
2007123023,1,1
2008010512,1,1
2008010513,1,2
2008011521,1,1
2008011522,1,2
2008012722,1,1
2008012800,1,1
2008012808,1,1
2008012810,1,1
2008012811,1,2
2008012812,1,3
2008012813,1,4
2008012815,1,1
2008012817,1,1
2008012818,1,2
2008022418,1,1
2008022420,1,1
2008022421,1,2
2008030205,1,1
2008030212,1,1
2008031617,1,1
2008032919,1,1
2008032921,1,1
2008032922,1,2
2008040506,1,1
2008041420,1,1
2008041500,1,1
2008041501,1,2
2008041508,1,1
2008041509,1,2
2008041510,1,3
2008041511,1,4
2008041512,1,5
2008041513,1,6
2008041514,1,7
2008041516,1,1
2008041517,1,2
2008041919,1,1
2008041920,1,2
2008042004,1,1
2008042005,1,2
2008042010,1,1
2008042011,1,2
2008042012,1,3
2008042013,1,4
2008042014,1,5
2008042017,1,1
2008042023,1,1
2008042319,1,1
2008042918,1,1
2008050421,1,1
2008051118,1,1
2008051121,1,1
2008052104,1,1
2008052109,1,1
2008052116,1,1
2008052618,1,1
2008052907,1,1
2008060300,1,1
2008060618,1,1
2008061100,1,1
2008081021,1,1
2008083104,1,1
2008091121,1,1
2008092018,1,1
2008092120,1,1
2008092520,1,1
2008092521,1,2
2008100917,1,1
2008100918,1,2
2008101120,1,1
2008121315,1,1
2008122602,1,1
2009010301,1,1
2009020611,1,1
2009022521,1,1
2009030310,1,1
2009030317,1,1
2009030321,1,1
2009030401,1,1
2009030402,1,2
2009030412,1,1
2009030418,1,1
2009030421,1,1
2009030422,1,2
2009031518,1,1
2009032205,1,1
2009032220,1,1
2009032221,1,2
2009032617,1,1
2009032618,1,2
2009032915,1,1
2009032917,1,1
2009040821,1,1
2009041716,1,1
2009041717,1,2
2009041718,1,3
2009041720,1,1
2009041722,1,1
2009042816,1,1
2009042900,1,1
2009042918,1,1
2009042920,1,1
2009051221,1,1
2009051222,1,2
2009051916,1,1
2009053120,1,1
2009060602,1,1
2009061420,1,1
2009061421,1,2
2009062017,1,1
2009062600,1,1
2009070621,1,1
2009080620,1,1
2009080702,1,1
2009080717,1,1
2009081514,1,1
2009092322,1,1
2009093003,1,1
2009093004,1,2
2009093005,1,3
2009093008,1,1
2009100416,1,1
2009102816,1,1
2009102818,1,1
2009102820,1,1
2009102821,1,2
2009102822,1,3
2009110608,1,1
2009110616,1,1
2009111211,1,1
2009111212,1,2
2009111213,1,3
2009111215,1,1
2009111217,1,1
2009111218,1,2
2009112220,1,1
2009122305,1,1
2010011915,1,1
2010031418,1,1
