OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2002020817,1,1
2002021418,1,1
2002021419,1,2
2002022400,1,1
2002022401,1,2
2002022402,1,3
2004021823,1,1
2004022620,1,1
2004022623,1,1
2004032222,1,1
2004032521,1,1
2004032607,1,1
2004032609,1,1
2004032610,1,2
2004032612,1,1
2004032613,1,2
2004033119,1,1
2004040100,1,1
2004040101,1,2
2004040116,1,1
2004040120,1,1
2004040220,1,1
2004040302,1,1
2004040701,1,1
2004040920,1,1
2004041020,1,1
2004041021,1,2
2004041022,1,3
2004041100,1,1
2004041101,1,2
2004041400,1,1
2004041417,1,1
2004041420,1,1
2004041622,1,1
2004041623,1,2
2004041700,1,3
2004041721,1,1
2004042214,1,1
2004042215,1,2
2004042217,1,1
2004042218,1,2
2004042219,1,3
2004042220,1,4
2004042223,1,1
2004042300,1,2
2004042419,1,1
2004042818,1,1
2004042820,1,1
2004042822,1,1
2004042922,1,1
2004043014,1,1
2004043015,1,2
2004050500,1,1
2004050520,1,1
2004050522,1,1
2004050600,1,1
2004050601,1,2
2004050616,1,1
2004050620,1,1
2004050621,1,2
2004051222,1,1
2004051721,1,1
2004051815,1,1
2004051817,1,1
2004051819,1,1
2004051821,1,1
2004051822,1,2
2004052120,1,1
2004052316,1,1
2004052317,1,2
2004052318,1,3
2004052319,1,4
2004052322,1,1
2004052400,1,1
2004052401,1,2
2004052520,1,1
2004052819,1,1
2004052820,1,2
2004060719,1,1
2004060722,1,1
2004060920,1,1
2004061018,1,1
2004062602,1,1
2004070519,1,1
2004070520,1,2
2004070923,1,1
2004071118,1,1
2004072221,1,1
2004072302,1,1
2004072701,1,1
2004073121,1,1
2004080222,1,1
2004081823,1,1
2004082219,1,1
2004082220,1,2
2004082221,1,3
2004082223,1,1
2004082321,1,1
2004082516,1,1
2004082518,1,1
2004082519,1,2
2004082520,1,3
2004082601,1,1
2004090121,1,1
2004090820,1,1
2004091218,1,1
2004091220,1,1
2004091221,1,2
2004091621,1,1
2004091718,1,1
2004091719,1,2
2004091720,1,3
2004091721,1,4
2004091722,1,5
2004091817,1,1
2004091818,1,2
2004091820,1,1
2004091823,1,1
2004091904,1,1
2004091908,1,1
2004091920,1,1
2004091921,1,2
2004091922,1,3
2004091923,1,4
2004092000,1,5
2004092001,1,6
2004092002,1,7
