OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2002021720,1,1
2002021721,1,2
2002021722,1,3
2002022318,1,1
2002022322,1,1
2003123119,1,1
2004021823,1,1
2004031120,1,1
2004031121,1,2
2004031122,1,3
2004031123,1,4
2004031221,1,1
2004031222,1,2
2004031320,1,1
2004031321,1,2
2004031420,1,1
2004031421,1,2
2004031422,1,3
2004031519,1,1
2004031520,1,2
2004031521,1,3
2004031522,1,4
2004031523,1,5
2004031600,1,6
2004031616,1,1
2004031618,1,1
2004031619,1,2
2004031621,1,1
2004031622,1,2
2004031623,1,3
2004031719,1,1
2004031720,1,2
2004031721,1,3
2004031722,1,4
2004031723,1,5
2004031800,1,6
2004031818,1,1
2004031819,1,2
2004031820,1,3
2004031822,1,1
2004031823,1,2
2004031900,1,3
2004031916,1,1
2004031917,1,2
2004031918,1,3
2004031919,1,4
2004031920,1,5
2004031922,1,1
2004031923,1,2
2004032000,1,3
2004032001,1,4
2004032017,1,1
2004032018,1,2
2004032019,1,3
2004032022,1,1
2004032023,1,2
2004032100,1,3
2004032101,1,4
2004032117,1,1
2004032118,1,2
2004032119,1,3
2004032120,1,4
2004032121,1,5
2004032122,1,6
2004032123,1,7
2004032200,1,8
2004032217,1,1
2004032218,1,2
2004032219,1,3
2004032220,1,4
2004032222,1,1
2004032223,1,2
2004032300,1,3
2004032318,1,1
2004032319,1,2
2004032320,1,3
2004032322,1,1
2004032323,1,2
2004032418,1,1
2004032419,1,2
2004032420,1,3
2004032422,1,1
2004032518,1,1
2004032520,1,1
2004032521,1,2
2004032523,1,1
2004032600,1,2
2004032601,1,3
2004032606,1,1
2004032607,1,2
2004032608,1,3
2004032609,1,4
2004032610,1,5
2004032611,1,6
2004032819,1,1
2004032820,1,2
2004032823,1,1
2004032919,1,1
2004032921,1,1
2004032922,1,2
2004032923,1,3
2004033000,1,4
2004033016,1,1
2004033017,1,2
2004033018,1,3
2004033020,1,1
2004033021,1,2
2004033022,1,3
2004033023,1,4
2004033101,1,1
2004033102,1,2
2004033104,1,1
2004033105,1,2
2004033107,1,1
2004033117,1,1
2004033118,1,2
2004033119,1,3
2004033120,1,4
2004033121,1,5
2004033122,1,6
2004040100,1,1
2004040101,1,2
2004040102,1,3
2004040103,1,4
2004040104,1,5
2004040105,1,6
2004040106,1,7
2004040107,1,8
2004040108,1,9
2004040109,1,10
2004040110,1,11
2004040111,1,12
2004040112,1,13
2004040113,1,14
2004040115,1,1
2004040116,1,2
2004040118,1,1
2004040223,1,1
2004040321,1,1
2004040322,1,2
2004040323,1,3
2004040400,1,4
2004040418,1,1
2004040420,1,1
2004040422,1,1
2004040423,1,2
2004040519,1,1
2004040520,1,2
2004040619,1,1
2004040620,1,2
2004041018,1,1
2004041019,1,2
2004041020,1,3
2004041021,1,4
2004041022,1,5
2004041100,1,1
2004041103,1,1
2004041117,1,1
2004041118,1,2
2004041119,1,3
2004041120,1,4
2004041121,1,5
2004041122,1,6
2004041123,1,7
2004041201,1,1
2004041218,1,1
2004041219,1,2
2004041220,1,3
2004041221,1,4
2004041222,1,5
2004041223,1,6
2004041300,1,7
2004041317,1,1
2004041318,1,2
2004041319,1,3
2004041320,1,4
2004041321,1,5
2004041323,1,1
2004041409,1,1
2004041410,1,2
2004041411,1,3
2004041415,1,1
2004041416,1,2
2004041417,1,3
2004041419,1,1
2004041420,1,2
2004041421,1,3
2004041423,1,1
2004041500,1,2
2004041501,1,3
2004041518,1,1
2004041519,1,2
2004041520,1,3
2004041521,1,4
2004041522,1,5
2004041523,1,6
2004041600,1,7
2004041601,1,8
2004041602,1,9
2004041618,1,1
2004041619,1,2
2004041620,1,3
2004041622,1,1
2004041623,1,2
2004041700,1,3
2004041701,1,4
2004041702,1,5
2004041704,1,1
2004041706,1,1
2004041707,1,2
2004041708,1,3
2004041709,1,4
2004041710,1,5
2004041714,1,1
2004041715,1,2
2004041717,1,1
2004042223,1,1
2004042316,1,1
2004042317,1,2
2004042318,1,3
2004042319,1,4
2004042320,1,5
2004042322,1,1
2004042323,1,2
2004042400,1,3
2004042417,1,1
2004042418,1,2
2004042419,1,3
2004042420,1,4
2004042421,1,5
2004042422,1,6
2004042423,1,7
2004042500,1,8
2004042517,1,1
2004042518,1,2
2004042519,1,3
2004042520,1,4
2004042521,1,5
2004042522,1,6
2004042600,1,1
2004042601,1,2
2004042617,1,1
2004042618,1,2
2004042619,1,3
2004042620,1,4
2004042622,1,1
2004042623,1,2
2004042700,1,3
2004042701,1,4
2004042717,1,1
2004042718,1,2
2004042719,1,3
2004042720,1,4
2004042721,1,5
2004042722,1,6
2004042723,1,7
2004042800,1,8
2004042801,1,9
2004042813,1,1
2004042817,1,1
2004042818,1,2
2004042819,1,3
2004043020,1,1
2004043022,1,1
2004050100,1,1
2004050118,1,1
2004050119,1,2
2004050120,1,3
2004050122,1,1
2004050123,1,2
2004050200,1,3
2004050201,1,4
2004050216,1,1
2004050217,1,2
2004050218,1,3
2004050220,1,1
2004050221,1,2
2004050300,1,1
2004050301,1,2
2004050317,1,1
2004050318,1,2
2004050319,1,3
2004050320,1,4
2004050321,1,5
2004050322,1,6
2004050323,1,7
2004050401,1,1
2004050402,1,2
2004050416,1,1
2004050417,1,2
2004050418,1,3
2004050419,1,4
2004050420,1,5
2004050421,1,6
2004050422,1,7
2004050423,1,8
2004050500,1,9
2004050501,1,10
2004050506,1,1
2004050507,1,2
2004050508,1,3
2004050509,1,4
2004050510,1,5
