MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,22,4.55
0102,3,23,13.04
0103,0,25,0.00
0104,1,25,4.00
0105,1,24,4.17
0106,1,24,4.17
0107,0,24,0.00
0108,1,24,4.17
0109,1,24,4.17
0110,0,24,0.00
0111,1,23,4.35
0112,1,23,4.35
0113,1,23,4.35
0114,0,23,0.00
0115,0,23,0.00
0116,1,23,4.35
0117,1,23,4.35
0118,0,23,0.00
0119,0,24,0.00
0120,0,24,0.00
0121,0,24,0.00
0122,1,24,4.17
0123,2,23,8.70
0124,0,24,0.00
0125,1,24,4.17
0126,1,24,4.17
0127,1,23,4.35
0128,2,24,8.33
0129,0,24,0.00
0130,0,24,0.00
0131,0,24,0.00
0201,1,23,4.35
0202,0,23,0.00
0203,1,24,4.17
0204,0,23,0.00
0205,1,23,4.35
0206,0,23,0.00
0207,2,23,8.70
0208,0,23,0.00
0209,0,24,0.00
0210,1,24,4.17
0211,1,24,4.17
0212,0,24,0.00
0213,0,24,0.00
0214,0,24,0.00
0215,1,24,4.17
0216,1,24,4.17
0217,1,24,4.17
0218,1,24,4.17
0219,0,24,0.00
0220,0,24,0.00
0221,2,24,8.33
0222,3,24,12.50
0223,2,24,8.33
0224,1,24,4.17
0225,1,24,4.17
0226,1,24,4.17
0227,0,24,0.00
0228,2,23,8.70
0229,1,5,20.00
0301,1,23,4.35
0302,1,23,4.35
0303,0,23,0.00
0304,1,23,4.35
0305,1,23,4.35
0306,1,23,4.35
0307,1,23,4.35
0308,0,23,0.00
0309,0,23,0.00
0310,0,23,0.00
0311,0,23,0.00
0312,1,23,4.35
0313,2,23,8.70
0314,1,23,4.35
0315,1,24,4.17
0316,0,24,0.00
0317,2,24,8.33
0318,1,24,4.17
0319,0,23,0.00
0320,1,24,4.17
0321,1,24,4.17
0322,0,24,0.00
0323,0,24,0.00
0324,0,24,0.00
0325,1,24,4.17
0326,1,24,4.17
0327,0,24,0.00
0328,0,24,0.00
0329,1,24,4.17
0330,1,24,4.17
0331,1,24,4.17
0401,1,24,4.17
0402,1,24,4.17
0403,1,24,4.17
0404,1,24,4.17
0405,1,24,4.17
0406,0,24,0.00
0407,1,24,4.17
0408,1,24,4.17
0409,1,24,4.17
0410,2,24,8.33
0411,1,24,4.17
0412,0,24,0.00
0413,1,23,4.35
0414,2,24,8.33
0415,1,24,4.17
0416,2,24,8.33
0417,2,24,8.33
0418,0,24,0.00
0419,2,24,8.33
0420,0,24,0.00
0421,0,23,0.00
0422,1,24,4.17
0423,2,24,8.33
0424,0,24,0.00
0425,0,24,0.00
0426,0,24,0.00
0427,1,24,4.17
0428,1,23,4.35
0429,0,24,0.00
0430,0,24,0.00
0501,1,24,4.17
0502,1,24,4.17
0503,0,24,0.00
0504,0,24,0.00
0505,2,23,8.70
0506,1,23,4.35
0507,0,23,0.00
0508,0,23,0.00
0509,0,23,0.00
0510,0,24,0.00
0511,0,24,0.00
0512,1,24,4.17
0513,1,24,4.17
0514,0,24,0.00
0515,1,24,4.17
0516,1,24,4.17
0517,1,24,4.17
0518,1,24,4.17
0519,0,24,0.00
0520,1,24,4.17
0521,1,24,4.17
0522,0,24,0.00
0523,1,24,4.17
0524,0,24,0.00
0525,0,24,0.00
0526,0,23,0.00
0527,0,24,0.00
0528,1,24,4.17
0529,0,24,0.00
0530,0,24,0.00
0531,0,23,0.00
0601,0,24,0.00
0602,0,23,0.00
0603,0,24,0.00
0604,0,24,0.00
0605,1,24,4.17
0606,1,24,4.17
0607,1,24,4.17
0608,1,24,4.17
0609,0,24,0.00
0610,0,24,0.00
0611,0,24,0.00
0612,1,24,4.17
0613,0,24,0.00
0614,0,24,0.00
0615,0,24,0.00
0616,3,23,13.04
0617,1,24,4.17
0618,0,24,0.00
0619,0,24,0.00
0620,0,24,0.00
0621,0,24,0.00
0622,0,24,0.00
0623,0,24,0.00
0624,0,24,0.00
0625,0,24,0.00
0626,0,24,0.00
0627,0,24,0.00
0628,0,24,0.00
0629,0,24,0.00
0630,0,24,0.00
0701,0,24,0.00
0702,0,24,0.00
0703,0,24,0.00
