MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,2,21,9.52
0102,2,23,8.70
0103,0,25,0.00
0104,1,25,4.00
0105,2,25,8.00
0106,0,25,0.00
0107,0,25,0.00
0108,1,25,4.00
0109,1,25,4.00
0110,0,25,0.00
0111,0,24,0.00
0112,1,24,4.17
0113,3,24,12.50
0114,0,24,0.00
0115,0,24,0.00
0116,2,24,8.33
0117,2,24,8.33
0118,0,24,0.00
0119,1,25,4.00
0120,0,25,0.00
0121,1,24,4.17
0122,0,24,0.00
0123,0,23,0.00
0124,0,25,0.00
0125,0,25,0.00
0126,1,25,4.00
0127,2,24,8.33
0128,2,25,8.00
0129,0,25,0.00
0130,0,25,0.00
0131,1,25,4.00
0201,2,24,8.33
0202,0,24,0.00
0203,2,25,8.00
0204,2,24,8.33
0205,1,24,4.17
0206,0,24,0.00
0207,1,24,4.17
0208,1,24,4.17
0209,0,25,0.00
0210,0,25,0.00
0211,0,25,0.00
0212,0,25,0.00
0213,0,25,0.00
0214,1,25,4.00
0215,1,25,4.00
0216,1,25,4.00
0217,1,25,4.00
0218,2,25,8.00
0219,0,25,0.00
0220,1,24,4.17
0221,2,25,8.00
0222,3,25,12.00
0223,3,25,12.00
0224,2,25,8.00
0225,3,25,12.00
0226,2,25,8.00
0227,1,25,4.00
0228,3,24,12.50
0229,1,5,20.00
0301,2,24,8.33
0302,1,24,4.17
0303,0,24,0.00
0304,2,24,8.33
0305,1,23,4.35
0306,3,23,13.04
0307,3,23,13.04
0308,0,23,0.00
0309,0,23,0.00
0310,0,23,0.00
0311,1,23,4.35
0312,0,23,0.00
0313,1,23,4.35
0314,1,23,4.35
0315,2,24,8.33
0316,0,24,0.00
0317,2,24,8.33
0318,1,24,4.17
0319,0,23,0.00
0320,2,24,8.33
0321,1,24,4.17
0322,1,24,4.17
0323,1,24,4.17
0324,0,24,0.00
0325,1,24,4.17
0326,2,24,8.33
0327,1,24,4.17
0328,0,24,0.00
0329,0,24,0.00
0330,2,24,8.33
0331,1,24,4.17
0401,2,24,8.33
0402,1,24,4.17
0403,1,24,4.17
0404,1,24,4.17
0405,1,24,4.17
0406,0,24,0.00
0407,0,24,0.00
0408,2,24,8.33
0409,3,24,12.50
0410,3,24,12.50
0411,2,24,8.33
0412,2,24,8.33
0413,2,23,8.70
0414,4,24,16.67
0415,1,24,4.17
0416,3,24,12.50
0417,3,24,12.50
0418,1,24,4.17
0419,1,24,4.17
0420,1,24,4.17
0421,0,23,0.00
0422,3,24,12.50
0423,3,24,12.50
0424,2,24,8.33
0425,0,24,0.00
0426,0,24,0.00
0427,1,24,4.17
0428,3,23,13.04
0429,1,24,4.17
0430,0,24,0.00
0501,1,24,4.17
0502,1,24,4.17
0503,2,24,8.33
0504,0,24,0.00
0505,2,23,8.70
0506,1,23,4.35
0507,2,23,8.70
0508,0,23,0.00
0509,1,23,4.35
0510,0,24,0.00
0511,1,24,4.17
0512,3,24,12.50
0513,1,24,4.17
0514,1,24,4.17
0515,2,24,8.33
0516,2,24,8.33
0517,3,24,12.50
0518,1,24,4.17
0519,1,24,4.17
0520,1,24,4.17
0521,3,24,12.50
0522,1,24,4.17
0523,2,24,8.33
0524,0,24,0.00
0525,0,24,0.00
0526,0,23,0.00
0527,0,24,0.00
0528,1,24,4.17
0529,0,24,0.00
0530,0,24,0.00
0531,1,23,4.35
0601,2,24,8.33
0602,1,23,4.35
0603,1,24,4.17
0604,0,24,0.00
0605,1,24,4.17
0606,2,24,8.33
0607,2,24,8.33
0608,1,24,4.17
0609,2,24,8.33
0610,1,24,4.17
0611,0,24,0.00
0612,3,24,12.50
0613,0,24,0.00
0614,0,24,0.00
0615,1,24,4.17
0616,2,23,8.70
0617,3,24,12.50
0618,0,24,0.00
0619,0,24,0.00
0620,1,24,4.17
0621,1,24,4.17
0622,0,24,0.00
0623,0,24,0.00
0624,0,24,0.00
0625,0,24,0.00
0626,0,24,0.00
0627,2,24,8.33
0628,1,24,4.17
0629,1,24,4.17
0630,2,24,8.33
0701,1,24,4.17
0702,0,24,0.00
0703,0,24,0.00
0704,0,24,0.00
0705,0,23,0.00
0706,0,24,0.00
0707,0,24,0.00
0708,0,24,0.00
0709,1,24,4.17
0710,1,24,4.17
0711,0,24,0.00
0712,0,24,0.00
0713,1,24,4.17
0714,0,24,0.00
0715,0,24,0.00
0716,0,24,0.00
0717,0,24,0.00
0718,1,24,4.17
0719,0,24,0.00
0720,0,24,0.00
0721,1,24,4.17
0722,0,24,0.00
0723,0,24,0.00
0724,1,24,4.17
0725,0,24,0.00
0726,0,24,0.00
0727,0,24,0.00
0728,0,24,0.00
0729,0,24,0.00
0730,0,23,0.00
0731,0,23,0.00
0801,1,24,4.17
0802,0,24,0.00
0803,0,24,0.00
0804,0,24,0.00
0805,1,24,4.17
0806,1,23,4.35
0807,2,23,8.70
0808,0,24,0.00
0809,0,24,0.00
0810,0,24,0.00
0811,2,24,8.33
0812,0,24,0.00
0813,0,23,0.00
0814,0,23,0.00
0815,0,24,0.00
0816,1,24,4.17
0817,0,24,0.00
0818,0,24,0.00
0819,0,24,0.00
0820,0,23,0.00
