MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,22,0.00
0102,0,23,0.00
0103,0,25,0.00
0104,0,25,0.00
0105,0,25,0.00
0106,0,25,0.00
0107,0,25,0.00
0108,0,25,0.00
0109,0,25,0.00
0110,0,25,0.00
0111,0,24,0.00
0112,0,24,0.00
0113,0,24,0.00
0114,0,24,0.00
0115,1,24,4.17
0116,1,24,4.17
0117,0,24,0.00
0118,0,24,0.00
0119,0,25,0.00
0120,0,25,0.00
0121,0,24,0.00
0122,0,24,0.00
0123,0,23,0.00
0124,0,25,0.00
0125,0,25,0.00
0126,1,25,4.00
0127,1,24,4.17
0128,0,25,0.00
0129,0,25,0.00
0130,0,25,0.00
0131,0,25,0.00
0201,0,24,0.00
0202,0,24,0.00
0203,0,25,0.00
0204,0,24,0.00
0205,1,24,4.17
0206,1,24,4.17
0207,1,24,4.17
0208,2,24,8.33
0209,1,25,4.00
0210,0,25,0.00
0211,0,25,0.00
0212,1,25,4.00
0213,2,25,8.00
0214,2,25,8.00
0215,1,25,4.00
0216,3,25,12.00
0217,2,25,8.00
0218,3,25,12.00
0219,2,25,8.00
0220,1,24,4.17
0221,1,25,4.00
0222,1,25,4.00
0223,2,25,8.00
0224,2,25,8.00
0225,2,25,8.00
0226,1,25,4.00
0227,3,25,12.00
0228,1,24,4.17
0229,1,5,20.00
0301,0,24,0.00
0302,1,24,4.17
0303,4,24,16.67
0304,4,24,16.67
0305,3,23,13.04
0306,4,23,17.39
0307,2,23,8.70
0308,1,23,4.35
0309,2,23,8.70
0310,3,23,13.04
0311,4,23,17.39
0312,6,23,26.09
0313,7,23,30.43
0314,6,23,26.09
0315,7,24,29.17
0316,8,24,33.33
0317,7,24,29.17
0318,5,24,20.83
0319,4,23,17.39
0320,7,24,29.17
0321,5,24,20.83
0322,7,24,29.17
0323,6,24,25.00
0324,4,24,16.67
0325,7,24,29.17
0326,4,24,16.67
0327,5,24,20.83
0328,6,24,25.00
0329,5,24,20.83
0330,6,24,25.00
0331,6,24,25.00
0401,8,24,33.33
0402,5,24,20.83
0403,5,24,20.83
0404,10,24,41.67
0405,9,24,37.50
0406,4,24,16.67
0407,6,24,25.00
0408,7,24,29.17
0409,6,24,25.00
0410,4,24,16.67
0411,6,24,25.00
0412,11,24,45.83
0413,11,23,47.83
0414,12,24,50.00
0415,9,24,37.50
0416,4,24,16.67
0417,8,24,33.33
0418,11,24,45.83
0419,5,24,20.83
0420,6,24,25.00
0421,8,23,34.78
0422,10,24,41.67
0423,9,24,37.50
0424,5,24,20.83
0425,6,24,25.00
0426,8,24,33.33
0427,9,24,37.50
0428,10,23,43.48
0429,9,24,37.50
0430,7,24,29.17
0501,4,24,16.67
0502,10,24,41.67
0503,11,24,45.83
0504,11,24,45.83
0505,13,23,56.52
0506,12,23,52.17
0507,10,23,43.48
0508,7,23,30.43
0509,10,23,43.48
0510,12,24,50.00
0511,12,24,50.00
0512,13,24,54.17
0513,13,24,54.17
0514,13,24,54.17
0515,14,24,58.33
0516,15,24,62.50
0517,11,24,45.83
0518,11,24,45.83
0519,10,24,41.67
0520,10,24,41.67
0521,10,24,41.67
0522,7,24,29.17
0523,6,24,25.00
0524,8,24,33.33
0525,9,24,37.50
0526,12,23,52.17
0527,11,24,45.83
0528,10,24,41.67
0529,11,24,45.83
0530,11,24,45.83
0531,13,23,56.52
0601,15,24,62.50
0602,15,23,65.22
0603,14,24,58.33
0604,12,24,50.00
0605,17,24,70.83
0606,15,24,62.50
0607,12,24,50.00
0608,13,24,54.17
0609,14,24,58.33
0610,14,24,58.33
0611,15,24,62.50
0612,12,24,50.00
0613,14,24,58.33
0614,14,24,58.33
0615,17,24,70.83
0616,17,23,73.91
0617,15,24,62.50
0618,14,24,58.33
0619,18,24,75.00
0620,19,24,79.17
0621,19,24,79.17
0622,19,24,79.17
0623,21,24,87.50
0624,20,24,83.33
0625,21,24,87.50
0626,18,24,75.00
0627,19,24,79.17
0628,20,24,83.33
0629,20,24,83.33
0630,18,24,75.00
0701,19,24,79.17
0702,21,24,87.50
0703,21,24,87.50
0704,20,24,83.33
0705,18,23,78.26
0706,17,24,70.83
0707,16,24,66.67
0708,18,24,75.00
0709,19,24,79.17
0710,19,24,79.17
0711,19,24,79.17
0712,17,24,70.83
0713,19,24,79.17
0714,18,24,75.00
0715,20,24,83.33
0716,20,24,83.33
0717,19,24,79.17
0718,19,24,79.17
0719,19,24,79.17
0720,21,24,87.50
0721,20,24,83.33
0722,19,24,79.17
0723,20,24,83.33
0724,20,24,83.33
0725,20,24,83.33
0726,16,24,66.67
0727,17,24,70.83
0728,20,24,83.33
0729,17,24,70.83
0730,17,23,73.91
0731,17,23,73.91
0801,16,24,66.67
0802,17,24,70.83
0803,16,24,66.67
0804,14,24,58.33
0805,18,24,75.00
0806,18,23,78.26
0807,18,23,78.26
0808,17,24,70.83
0809,14,24,58.33
0810,21,24,87.50
0811,20,24,83.33
0812,20,24,83.33
0813,18,23,78.26
0814,18,23,78.26
0815,21,24,87.50
0816,19,24,79.17
0817,20,24,83.33
0818,19,24,79.17
0819,22,24,91.67
0820,20,23,86.96
0821,15,23,65.22
0822,18,24,75.00
0823,15,24,62.50
0824,15,24,62.50
0825,16,24,66.67
0826,14,24,58.33
0827,12,23,52.17
0828,14,23,60.87
0829,20,24,83.33
0830,19,24,79.17
0831,16,23,69.57
0901,15,23,65.22
0902,16,24,66.67
0903,16,23,69.57
0904,18,23,78.26
0905,15,23,65.22
0906,16,24,66.67
0907,16,23,69.57
0908,16,24,66.67
0909,12,24,50.00
0910,11,23,47.83
0911,10,24,41.67
0912,12,24,50.00
0913,17,24,70.83
0914,15,24,62.50
0915,14,24,58.33
0916,14,24,58.33
0917,15,24,62.50
0918,14,24,58.33
0919,14,23,60.87
0920,14,23,60.87
0921,14,23,60.87
0922,11,24,45.83
0923,10,23,43.48
0924,15,24,62.50
0925,14,24,58.33
0926,13,24,54.17
0927,11,24,45.83
0928,11,24,45.83
0929,12,24,50.00
0930,12,24,50.00
1001,11,24,45.83
1002,11,24,45.83
1003,9,24,37.50
1004,6,24,25.00
1005,5,24,20.83
1006,5,24,20.83
1007,8,24,33.33
1008,8,24,33.33
1009,9,24,37.50
1010,8,24,33.33
1011,7,24,29.17
1012,7,24,29.17
1013,8,24,33.33
1014,11,24,45.83
1015,11,24,45.83
1016,7,24,29.17
1017,9,24,37.50
1018,7,24,29.17
1019,7,24,29.17
1020,6,24,25.00
1021,5,24,20.83
1022,3,24,12.50
1023,4,24,16.67
1024,6,24,25.00
1025,6,24,25.00
1026,5,24,20.83
1027,4,24,16.67
1028,3,24,12.50
1029,3,24,12.50
1030,5,24,20.83
1031,3,24,12.50
1101,3,24,12.50
1102,3,24,12.50
1103,4,24,16.67
1104,2,24,8.33
1105,3,24,12.50
1106,3,24,12.50
1107,4,24,16.67
1108,2,24,8.33
1109,1,24,4.17
1110,0,24,0.00
1111,1,24,4.17
1112,1,24,4.17
1113,0,24,0.00
1114,1,24,4.17
1115,3,24,12.50
1116,3,24,12.50
1117,1,24,4.17
1118,2,24,8.33
1119,2,24,8.33
1120,2,24,8.33
1121,1,24,4.17
1122,2,24,8.33
1123,1,24,4.17
1124,2,22,9.09
1125,0,22,0.00
1126,1,22,4.55
1127,2,23,8.70
1128,1,22,4.55
1129,1,24,4.17
1130,0,24,0.00
1201,1,24,4.17
1202,0,24,0.00
1203,1,24,4.17
1204,1,24,4.17
1205,0,24,0.00
1206,0,24,0.00
1207,0,24,0.00
1208,0,24,0.00
1209,0,24,0.00
1210,0,24,0.00
1211,0,24,0.00
1212,0,24,0.00
1213,0,24,0.00
1214,0,24,0.00
1215,0,23,0.00
1216,0,24,0.00
1217,0,24,0.00
1218,0,24,0.00
1219,0,24,0.00
1220,0,24,0.00
1221,0,24,0.00
1222,0,24,0.00
1223,0,24,0.00
1224,0,24,0.00
1225,0,20,0.00
1226,0,21,0.00
1227,0,24,0.00
1228,0,24,0.00
1229,0,24,0.00
1230,1,24,4.17
1231,0,23,0.00
