OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010123,1,1
1997010202,1,1
1997010205,1,1
1997010213,1,1
1997010221,2,1
1997010320,1,1
1997010609,1,1
1997010612,1,1
1997011202,2,1
1997011203,1,2
1997011204,3,3
1997011206,1,1
1997011207,1,2
1997011208,1,3
1997011209,1,4
1997011211,1,1
1997011212,1,2
1997011213,1,3
1997011214,1,4
1997011215,1,5
1997011216,2,6
1997011217,1,7
1997011218,1,8
1997011219,2,9
1997011220,2,10
1997011221,1,11
1997011222,1,12
1997011223,1,13
1997011301,1,1
1997011302,3,2
1997011303,1,3
1997011304,1,4
1997011305,1,5
1997011306,1,6
1997011307,1,7
1997011308,1,8
1997011309,1,9
1997011310,1,10
1997011312,1,1
1997011313,1,2
1997011314,1,3
1997011315,1,4
1997011316,1,5
1997011317,1,6
1997011319,1,1
1997011320,1,2
1997011321,1,3
1997011322,1,4
1997011400,1,1
1997011402,1,1
1997011403,1,2
1997011407,1,1
1997011408,1,2
1997011409,1,3
1997011410,1,4
1997011717,1,1
1997012210,1,1
1997012211,1,2
1997012212,1,3
1997012217,1,1
1997012220,1,1
1997012221,1,2
1997012222,1,3
1997012300,1,1
1997012301,1,2
1997012302,1,3
1997012303,2,4
1997012304,1,5
1997012305,1,6
1997012306,1,7
1997012516,1,1
1997012517,1,2
1997012518,1,3
1997012519,1,4
1997012520,1,5
1997012521,2,6
1997012522,2,7
1997012523,1,8
1997012600,2,9
1997012601,1,10
1997012607,1,1
1997020412,1,1
1997020415,1,1
1997020418,1,1
1997020805,1,1
1997020806,1,2
1997020809,1,1
1997020810,1,2
1997020811,1,3
1997020812,1,4
1997020813,1,5
1997020815,1,1
1997020816,1,2
1997020909,1,1
1997020910,1,2
1997020911,1,3
1997020913,1,1
1997020915,1,1
1997020917,1,1
1997021011,1,1
1997021012,1,2
1997021013,1,3
1997021014,1,4
1997021016,1,1
1997021615,1,1
1997021712,1,1
1997021806,1,1
1997022003,1,1
1997022005,1,1
1997022007,1,1
1997022114,1,1
1997022115,1,2
1997022212,1,1
1997022214,1,1
1997022308,1,1
1997022313,1,1
1997022317,1,1
1997022318,1,2
1997022401,1,1
1997022407,1,1
1997022409,1,1
1997022410,1,2
1997022411,1,3
1997022412,1,4
1997022413,1,5
1997022414,1,6
1997022415,1,7
1997022416,1,8
1997022420,1,1
1997022421,1,2
1997022422,1,3
1997022500,1,1
1997022501,1,2
1997022502,1,3
1997022504,1,1
1997022505,1,2
1997022507,1,1
1997022508,1,2
1997022509,1,3
1997022510,1,4
1997022512,1,1
1997022513,2,2
1997022815,1,1
1997022818,1,1
1997022819,1,2
1997022820,1,3
1997030122,1,1
1997030205,1,1
1997030207,1,1
1997030208,1,2
1997030216,1,1
1997030221,1,1
1997030222,1,2
1997030609,1,1
1997030611,1,1
1997030817,1,1
1997031120,1,1
1997031714,3,1
1997032008,1,1
1997032010,1,1
1997032011,1,2
1997032215,1,1
1997032411,2,1
1997032412,1,2
1997032416,1,1
1997032419,1,1
1997032420,1,2
1997032614,1,1
1997032713,1,1
1997032714,1,2
1997033015,1,1
1997033107,1,1
1997033108,1,2
1997033112,1,1
1997033113,1,2
1997033114,1,3
1997033115,1,4
1997040208,1,1
1997040209,1,2
1997040210,1,3
1997040211,2,4
1997040215,1,1
1997040216,1,2
1997040217,1,3
1997040218,1,4
1997040219,1,5
1997040220,1,6
1997040221,1,7
1997040222,1,8
1997040302,1,1
1997040303,1,2
1997040500,1,1
1997040820,1,1
1997041005,1,1
1997041006,1,2
1997041007,1,3
1997041008,1,4
1997041009,1,5
1997041011,1,1
1997041012,1,2
1997041013,1,3
1997041014,1,4
1997041015,1,5
1997041016,1,6
1997041017,1,7
1997041100,1,1
1997041101,1,2
1997041103,1,1
1997041104,1,2
1997041107,1,1
1997041108,1,2
1997041109,1,3
1997041111,1,1
1997041112,1,2
1997041113,1,3
1997041118,1,1
1997041612,1,1
1997041613,1,2
1997041710,1,1
1997041711,1,2
1997041712,1,3
1997041718,1,1
1997042113,1,1
1997042314,1,1
1997042319,1,1
1997042320,1,2
1997042421,1,1
1997042423,1,1
1997042501,1,1
1997042506,1,1
1997042510,1,1
1997050103,1,1
1997050104,1,2
1997050105,1,3
1997050122,1,1
1997050311,1,1
1997050312,1,2
1997050313,1,3
1997050510,1,1
1997050813,1,1
1997051008,1,1
1997051013,1,1
1997051111,1,1
1997051112,1,2
1997051113,1,3
1997051114,1,4
1997051613,1,1
1997051722,1,1
1997052023,2,1
1997052202,1,1
1997052318,1,1
1997052319,1,2
1997052321,1,1
1997052401,1,1
1997060309,1,1
1997060310,1,2
1997060312,1,1
1997060313,1,2
1997060415,1,1
1997060419,1,1
1997061100,3,1
1997061205,1,1
1997061208,1,1
1997061317,1,1
1997061321,1,1
1997062214,1,1
1997062510,1,1
1997062511,1,2
1997062512,1,3
1997062609,1,1
1997062610,1,2
1997062611,1,3
1997062612,1,4
1997062613,1,5
1997062718,1,1
1997062816,1,1
1997062817,1,2
1997062915,1,1
1997062916,1,2
1997062917,1,3
1997063015,2,1
1997063016,1,2
1997063017,1,3
1997063018,1,4
1997063019,1,5
1997063021,1,1
1997063022,1,2
1997070101,2,1
1997070209,1,1
1997070210,1,2
1997070212,1,1
