OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010221,2,1
1997010320,1,1
1997010609,1,1
1997010612,1,1
1997010614,1,1
1997010615,1,2
1997010616,1,3
1997011202,2,1
1997011203,1,2
1997011204,3,3
1997011206,1,1
1997011207,1,2
1997011208,1,3
1997011209,1,4
1997011211,1,1
1997011212,1,2
1997011213,1,3
1997011214,1,4
1997011215,1,5
1997011216,2,6
1997011217,1,7
1997011218,1,8
1997011219,2,9
1997011220,2,10
1997011221,1,11
1997011222,1,12
1997011223,1,13
1997011301,1,1
1997011302,3,2
1997011303,1,3
1997011304,1,4
1997011305,1,5
1997011306,1,6
1997011307,1,7
1997011308,1,8
1997011309,1,9
1997011310,1,10
1997011312,1,1
1997011313,1,2
1997011314,1,3
1997011315,1,4
1997011316,1,5
1997011317,1,6
1997011319,1,1
1997011320,1,2
1997011321,1,3
1997011322,1,4
1997011400,1,1
1997011402,1,1
1997011403,1,2
1997011406,1,1
1997011407,1,2
1997011408,1,3
1997011409,1,4
1997011410,1,5
1997011713,1,1
1997011717,1,1
1997012203,1,1
1997012211,1,1
1997012300,1,1
1997012301,1,2
1997012302,1,3
1997012303,2,4
1997012304,1,5
1997012306,1,1
1997012521,1,1
1997012522,1,2
1997012523,1,3
1997012600,1,4
1997020412,1,1
1997020415,1,1
1997020418,1,1
1997020500,1,1
1997020809,1,1
1997020815,1,1
1997021216,1,1
1997021712,1,1
1997021806,1,1
1997022005,1,1
1997022006,1,2
1997022007,1,3
1997022021,1,1
1997022115,1,1
1997022308,1,1
1997022310,1,1
1997022315,1,1
1997022316,1,2
1997022317,1,3
1997022318,1,4
1997022321,1,1
1997022401,1,1
1997022402,1,2
1997022406,1,1
1997022407,1,2
1997022409,1,1
1997022410,1,2
1997022411,1,3
1997022412,1,4
1997022413,1,5
1997022414,1,6
1997022415,1,7
1997022416,1,8
1997022418,1,1
1997022420,1,1
1997022421,1,2
1997022422,1,3
1997022500,1,1
1997022501,1,2
1997022502,1,3
1997022504,1,1
1997022505,1,2
1997022506,1,3
1997022507,1,4
1997022508,1,5
1997022509,1,6
1997022510,1,7
1997022513,1,1
1997030215,1,1
1997030611,1,1
1997031714,2,1
1997032010,1,1
1997032411,2,1
1997032412,1,2
1997032416,1,1
1997032418,1,1
1997032419,1,2
1997032420,1,3
1997032422,1,1
1997032713,1,1
1997033106,1,1
1997033107,1,2
1997033108,1,3
1997033113,1,1
1997040208,1,1
1997040209,1,2
1997040210,1,3
1997040211,2,4
1997040215,1,1
1997040216,1,2
1997040217,1,3
1997040218,1,4
1997040220,1,1
1997040221,1,2
1997040222,1,3
1997040302,1,1
1997040303,1,2
1997040314,1,1
1997040415,1,1
1997041004,1,1
1997041005,2,2
1997041006,1,3
1997041007,1,4
1997041008,1,5
1997041009,1,6
1997041011,1,1
1997041012,1,2
1997041013,1,3
1997041014,1,4
1997041015,1,5
1997041016,1,6
1997041017,1,7
1997041101,1,1
1997041103,1,1
1997041104,1,2
1997041107,1,1
1997041108,1,2
1997041109,1,3
1997041111,1,1
1997041112,1,2
1997041113,1,3
1997041217,1,1
1997041719,1,1
1997041810,1,1
1997042312,1,1
1997042314,1,1
1997042319,2,1
1997042421,2,1
1997042423,1,1
1997042501,1,1
1997042512,1,1
1997050103,1,1
1997050104,1,2
1997050105,1,3
1997050118,1,1
1997050121,1,1
1997050313,1,1
1997050509,1,1
1997050913,1,1
1997050914,1,2
1997051113,1,1
1997051114,1,2
1997051209,1,1
1997051722,1,1
1997052019,1,1
1997052023,2,1
1997052317,1,1
1997052318,1,2
1997052319,1,3
1997052321,1,1
1997052323,1,1
1997052401,1,1
1997052402,1,2
1997052403,1,3
1997053112,1,1
1997060306,1,1
1997060307,1,2
1997060309,1,1
1997060310,1,2
1997060311,1,3
1997060312,1,4
1997060313,1,5
1997060419,1,1
1997061009,1,1
1997061100,3,1
1997061205,1,1
1997061208,1,1
1997061312,1,1
1997061316,1,1
1997061317,1,2
1997061318,1,3
1997061320,1,1
1997061321,2,2
1997062214,1,1
1997062310,1,1
1997062510,1,1
1997062511,1,2
1997062512,1,3
1997062609,1,1
1997062610,1,2
1997062611,1,3
1997062613,1,1
1997062718,1,1
1997062816,1,1
1997062818,1,1
1997062915,1,1
1997062916,1,2
1997062917,1,3
1997063014,1,1
1997063015,1,2
1997063016,1,3
1997063020,1,1
1997063022,1,1
1997070101,2,1
1997070102,1,2
1997070107,1,1
1997070209,1,1
1997070210,1,2
1997070212,1,1
1997070213,1,2
1997070214,1,3
1997070222,1,1
1997070411,1,1
1997070412,1,2
1997070413,1,3
1997070510,1,1
1997070513,1,1
1997070514,1,2
1997070515,1,3
1997070814,1,1
1997070910,1,1
1997070912,1,1
1997070921,1,1
1997071006,1,1
1997071101,1,1
1997071102,1,2
1997071103,1,3
1997071109,1,1
1997071201,1,1
1997071202,2,2
1997071212,2,1
1997071313,1,1
1997071413,1,1
1997071513,1,1
1997072809,1,1
1997072813,1,1
1997080114,1,1
1997080322,1,1
1997080400,2,1
1997080402,1,1
1997080403,1,2
1997080404,1,3
1997080405,3,4
1997080609,1,1
1997080615,1,1
1997080617,1,1
1997080618,1,2
1997080619,1,3
1997080620,1,4
1997080702,1,1
1997080706,1,1
1997080709,1,1
1997081102,1,1
1997081103,1,2
1997081105,1,1
1997081106,1,2
1997081108,1,1
1997081200,1,1
1997081202,1,1
1997081203,1,2
1997081212,1,1
1997081302,1,1
1997081800,1,1
1997081801,3,2
1997081802,1,3
1997081816,1,1
1997082012,1,1
1997082203,1,1
1997082204,1,2
1997082314,1,1
1997082417,1,1
1997082617,1,1
1997082716,1,1
1997082717,1,2
1997082816,1,1
1997083121,1,1
1997090109,1,1
1997091116,1,1
1997091117,1,2
1997091119,1,1
1997091120,2,2
1997091122,1,1
1997091317,1,1
1997091323,1,1
1997091401,1,1
1997091415,1,1
1997091416,1,2
1997091417,1,3
1997091418,1,4
1997091420,1,1
1997091422,1,1
1997091503,1,1
1997091505,1,1
1997091512,1,1
1997091517,1,1
1997091709,1,1
1997091806,1,1
1997091910,1,1
1997092006,1,1
1997092012,1,1
1997092014,2,1
1997092015,2,2
1997092016,1,3
1997092017,1,4
1997092018,1,5
1997092312,1,1
1997092315,1,1
1997092317,1,1
1997092318,1,2
1997092404,1,1
1997092407,1,1
1997092914,1,1
1997100114,1,1
1997100120,1,1
1997100216,1,1
1997100218,1,1
1997100220,1,1
1997100221,1,2
1997100222,1,3
1997100418,1,1
1997100421,1,1
1997100613,1,1
1997100615,1,1
1997100711,1,1
1997100916,1,1
1997101018,1,1
1997101020,1,1
1997101021,1,2
1997101101,1,1
1997101104,1,1
1997101106,1,1
1997101216,1,1
1997101217,1,2
1997101219,1,1
1997101415,1,1
1997101511,1,1
1997101512,1,2
1997101614,1,1
1997101912,1,1
1997101913,1,2
1997101915,1,1
1997102114,1,1
1997102402,2,1
1997102515,1,1
1997102516,1,2
1997103111,1,1
1997110513,1,1
1997110906,1,1
1997110907,2,2
1997110909,1,1
1997110911,1,1
1997110912,1,2
1997110913,1,3
1997110914,1,4
1997110915,1,5
1997110916,1,6
1997110917,1,7
1997110919,1,1
1997110920,1,2
1997110921,1,3
1997110922,1,4
1997111000,1,1
1997111003,1,1
1997111004,1,2
1997111005,1,3
1997111006,1,4
1997111008,1,1
1997111015,1,1
1997111018,1,1
1997111107,1,1
1997111108,1,2
1997111109,2,3
1997111110,1,4
1997111111,1,5
1997111112,1,6
1997111113,1,7
1997111114,2,8
1997111115,1,9
1997111116,1,10
1997111117,1,11
1997111118,2,12
1997111120,1,1
1997111121,1,2
1997111122,1,3
1997111200,3,1
1997111201,1,2
1997111202,1,3
1997111203,2,4
1997111204,2,5
1997111208,1,1
1997111211,1,1
1997111417,2,1
1997111418,2,2
1997111419,1,3
1997111420,1,4
1997111421,1,5
1997111422,1,6
1997111500,1,1
1997111501,1,2
1997111502,1,3
1997111503,1,4
1997111504,1,5
1997111506,1,1
1997111508,1,1
1997111509,1,2
1997111514,1,1
1997111515,1,2
1997112608,1,1
1997112610,1,1
1997112613,1,1
1997112615,1,1
1997112617,1,1
1997120303,1,1
1997120305,1,1
1997120512,1,1
1997121109,1,1
1997121110,1,2
1997121215,1,1
1997121412,1,1
1997122009,1,1
1997122013,1,1
1997122504,1,1
1997122505,1,2
1997122506,1,3
1997122507,1,4
1997122508,1,5
1997122509,3,6
1997122514,1,1
1997122515,1,2
1997122607,1,1
1997123112,1,1
1998010500,1,1
1998010501,1,2
1998010507,1,1
1998010508,3,2
1998010509,4,3
1998010510,1,4
1998010511,2,5
1998011116,1,1
1998011119,1,1
1998011122,1,1
1998011204,3,1
1998011310,3,1
1998011721,1,1
1998011815,1,1
1998020115,1,1
1998020319,1,1
1998020404,1,1
1998020407,1,1
1998020409,1,1
1998020411,1,1
1998020412,1,2
1998020414,1,1
1998020415,1,2
1998020416,1,3
1998020417,1,4
1998020418,1,5
1998020613,1,1
1998020622,1,1
1998020708,1,1
1998020808,1,1
1998021420,1,1
1998021421,3,2
1998021422,2,3
1998021501,1,1
1998021503,1,1
1998021520,1,1
1998021521,1,2
1998021522,2,3
1998021523,1,4
1998021601,1,1
1998021603,1,1
1998022206,1,1
1998022208,1,1
1998022413,1,1
1998030209,1,1
1998030323,1,1
1998030401,1,1
1998030515,1,1
1998030602,1,1
1998030603,2,2
1998030604,2,3
1998030605,1,4
1998030606,1,5
1998030607,1,6
1998030609,2,1
1998030612,1,1
1998030613,2,2
1998030614,2,3
1998030615,2,4
1998030620,2,1
1998030622,1,1
1998031310,1,1
1998031316,1,1
1998031414,1,1
1998031415,1,2
1998031818,1,1
1998032506,1,1
1998032518,2,1
1998032519,1,2
1998032913,1,1
1998032917,1,1
1998040407,1,1
1998040408,1,2
1998040420,3,1
1998041017,1,1
1998041019,1,1
1998041620,1,1
1998042110,1,1
1998042112,1,1
1998042613,1,1
1998043013,1,1
1998050419,1,1
1998051021,1,1
1998051213,1,1
1998051214,1,2
1998051220,1,1
1998051317,2,1
1998051922,1,1
1998052119,1,1
1998052518,1,1
1998052601,1,1
1998052617,1,1
1998052619,1,1
1998052620,3,2
1998060400,2,1
1998060401,2,2
1998060721,1,1
1998062809,1,1
1998062812,1,1
1998063006,1,1
1998063009,1,1
1998063011,1,1
1998063012,1,2
1998063013,1,3
1998063014,1,4
1998063015,1,5
1998070313,1,1
1998070521,1,1
1998071513,1,1
1998071514,1,2
1998071611,1,1
1998071912,1,1
1998072701,1,1
1998072702,1,2
1998073000,1,1
1998073002,1,1
1998073023,1,1
1998073116,1,1
1998073117,1,2
1998073118,1,3
1998073120,1,1
1998073121,1,2
1998073122,1,3
1998080609,1,1
1998080713,1,1
1998080801,1,1
1998080901,2,1
1998080902,1,2
1998080905,1,1
1998080906,2,2
1998081005,2,1
1998081006,2,2
1998081008,1,1
1998081101,1,1
1998081309,1,1
1998081310,1,2
1998081801,2,1
1998081802,1,2
1998081803,3,3
1998081814,1,1
1998081816,2,1
1998082017,1,1
1998082100,1,1
1998082107,1,1
1998082108,1,2
1998082110,1,1
1998082114,1,1
1998082600,1,1
1998082604,2,1
1998082622,5,1
1998082700,1,1
1998082703,1,1
1998090500,1,1
1998090919,1,1
1998091714,1,1
1998092712,1,1
1998092713,1,2
1998092906,1,1
1998092909,1,1
1998092910,1,2
1998092911,1,3
1998092913,1,1
1998093018,1,1
1998100310,1,1
1998100913,1,1
1998101110,1,1
1998101112,1,1
1998101212,1,1
1998101213,1,2
1998101215,1,1
1998101216,1,2
1998101515,1,1
1998101516,2,2
1998101814,1,1
1998101815,1,2
1998102010,1,1
1998102012,1,1
1998102013,1,2
1998102015,1,1
1998102017,1,1
1998102018,1,2
1998102019,1,3
1998102101,1,1
1998102102,1,2
1998102104,1,1
1998102105,1,2
1998102106,1,3
1998102107,1,4
1998102108,1,5
1998102109,1,6
1998102110,1,7
1998102112,1,1
1998102114,1,1
1998102411,1,1
1998102514,1,1
1998102515,1,2
1998110603,1,1
1998110807,1,1
1998110809,1,1
1998110810,1,2
1998110921,2,1
1998110922,1,2
1998111723,1,1
1998111800,1,2
1998112314,1,1
1998112407,1,1
1998112408,1,2
1998112817,1,1
1998122000,1,1
1998122001,1,2
1998122003,1,1
1998122014,1,1
1998122016,1,1
1998122018,1,1
1998122019,1,2
1998122020,1,3
