OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997011104,1,1
1997012100,1,1
1997030622,1,1
1997031019,1,1
1997031020,1,2
1997031022,1,1
1997031117,1,1
1997031118,1,2
1997031120,1,1
1997031121,1,2
1997031122,1,3
1997031217,1,1
1997031218,1,2
1997031219,1,3
1997031220,1,4
1997031221,1,5
1997031222,1,6
1997031300,1,1
1997031301,1,2
1997031302,1,3
1997031322,1,1
1997032018,1,1
1997032019,1,2
1997032020,1,3
1997032021,1,4
1997032022,1,5
1997032101,1,1
1997032319,1,1
1997032320,1,2
1997032420,1,1
1997032421,1,2
1997032422,1,3
1997032500,1,1
1997032501,1,2
1997032502,1,3
1997032503,1,4
1997032520,1,1
1997032521,1,2
1997032522,1,3
1997032600,1,1
1997032619,1,1
1997032620,1,2
1997032621,1,3
1997032622,1,4
1997032623,1,5
1997032722,1,1
1997033016,1,1
1997033017,1,2
1997033018,1,3
1997033019,1,4
1997033020,1,5
1997033021,1,6
1997033022,1,7
1997033100,1,1
1997033101,1,2
1997033102,1,3
1997033103,1,4
1997033104,1,5
1997033105,1,6
1997033106,1,7
1997033107,1,8
1997033108,1,9
1997033109,1,10
1997033110,1,11
1997033111,1,12
1997033112,1,13
1997040718,1,1
1997040719,1,2
1997040720,1,3
1997040721,1,4
1997040722,1,5
1997040800,1,1
1997040801,1,2
1997041618,1,1
1997041619,1,2
1997041620,1,3
1997041621,1,4
1997041622,1,5
1997041623,1,6
1997041700,1,7
1997041701,1,8
1997041717,1,1
1997041718,1,2
1997041719,1,3
1997041720,1,4
1997041721,1,5
1997041722,1,6
1997041723,1,7
1997041801,1,1
1997041802,1,2
1997041805,1,1
1997041817,1,1
1997041821,1,1
1997041822,1,2
1997041823,1,3
1997041900,1,4
1997042819,1,1
1997050318,1,1
1997050319,1,2
1997050320,1,3
1997050321,1,4
1997050322,1,5
1997050323,1,6
1997050400,1,7
1997050415,1,1
1997050418,1,1
1997050420,1,1
1997050421,1,2
1997050422,1,3
1997050423,1,4
1997050500,1,5
1997050501,1,6
1997050521,1,1
1997050523,1,1
1997050600,1,2
1997050602,1,1
1997050618,1,1
1997050619,1,2
1997050620,1,3
1997050622,1,1
1997050623,1,2
1997050700,1,3
1997050701,1,4
1997050702,1,5
1997050717,1,1
1997050718,1,2
1997050719,1,3
1997050720,1,4
1997050721,1,5
1997050722,1,6
1997050723,1,7
1997050801,1,1
1997050802,1,2
1997050818,1,1
1997050819,1,2
1997050820,1,3
1997050822,1,1
1997050823,1,2
1997050900,1,3
1997050901,1,4
1997050902,1,5
1997050904,1,1
1997050916,1,1
1997050917,1,2
1997050919,1,1
1997050920,1,2
1997050921,1,3
1997050922,1,4
1997050923,1,5
1997051000,1,6
1997051001,1,7
1997051003,1,1
1997051017,1,1
1997051019,1,1
1997051021,1,1
1997051022,1,2
1997051023,1,3
1997051100,1,4
1997051101,1,5
1997051102,1,6
1997051103,1,7
1997051115,1,1
1997051117,1,1
