MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,14,0.00
0102,0,13,0.00
0103,0,14,0.00
0104,0,14,0.00
0105,0,14,0.00
0106,0,14,0.00
0107,0,14,0.00
0108,0,13,0.00
0109,0,12,0.00
0110,0,13,0.00
0111,0,13,0.00
0112,1,13,7.69
0113,1,13,7.69
0114,0,13,0.00
0115,0,14,0.00
0116,0,15,0.00
0117,1,15,6.67
0118,0,15,0.00
0119,0,15,0.00
0120,0,16,0.00
0121,1,15,6.67
0122,1,15,6.67
0123,0,16,0.00
0124,0,16,0.00
0125,0,16,0.00
0126,0,16,0.00
0127,0,17,0.00
0128,0,17,0.00
0129,0,17,0.00
0130,0,17,0.00
0131,1,17,5.88
0201,0,17,0.00
0202,0,17,0.00
0203,0,17,0.00
0204,0,17,0.00
0205,1,17,5.88
0206,0,17,0.00
0207,0,16,0.00
0208,0,16,0.00
0209,0,16,0.00
0210,0,16,0.00
0211,0,16,0.00
0212,0,16,0.00
0213,0,16,0.00
0214,0,16,0.00
0215,0,16,0.00
0216,0,16,0.00
0217,2,16,12.50
0218,0,16,0.00
0219,1,16,6.25
0220,0,16,0.00
0221,0,16,0.00
0222,0,16,0.00
0223,1,15,6.67
0224,0,16,0.00
0225,0,16,0.00
0226,0,16,0.00
0227,0,16,0.00
0228,0,16,0.00
0229,0,4,0.00
0301,0,16,0.00
0302,0,17,0.00
0303,0,17,0.00
0304,0,17,0.00
0305,0,16,0.00
0306,0,16,0.00
0307,0,16,0.00
0308,0,16,0.00
0309,0,16,0.00
0310,0,15,0.00
0311,1,15,6.67
0312,0,15,0.00
0313,0,15,0.00
0314,0,15,0.00
0315,0,15,0.00
0316,0,15,0.00
0317,4,15,26.67
0318,2,15,13.33
0319,0,16,0.00
0320,0,16,0.00
0321,1,16,6.25
0322,0,17,0.00
0323,0,17,0.00
0324,0,17,0.00
0325,0,17,0.00
0326,0,17,0.00
0327,1,17,5.88
0328,1,17,5.88
0329,0,17,0.00
0330,0,17,0.00
0331,1,17,5.88
0401,0,16,0.00
0402,0,17,0.00
0403,1,17,5.88
0404,0,16,0.00
0405,0,16,0.00
0406,1,16,6.25
0407,0,16,0.00
0408,0,15,0.00
0409,0,15,0.00
0410,0,15,0.00
0411,0,16,0.00
0412,0,16,0.00
0413,0,17,0.00
0414,0,17,0.00
0415,0,17,0.00
0416,0,17,0.00
0417,0,16,0.00
0418,0,16,0.00
0419,0,16,0.00
0420,0,16,0.00
0421,1,16,6.25
0422,0,16,0.00
0423,0,16,0.00
0424,0,15,0.00
0425,1,15,6.67
0426,0,16,0.00
0427,2,16,12.50
0428,2,17,11.76
0429,1,17,5.88
0430,1,17,5.88
0501,0,18,0.00
0502,0,18,0.00
0503,0,18,0.00
0504,1,18,5.56
0505,1,17,5.88
0506,0,17,0.00
0507,0,17,0.00
0508,0,17,0.00
0509,0,16,0.00
0510,0,16,0.00
0511,0,16,0.00
0512,1,16,6.25
0513,2,16,12.50
0514,0,16,0.00
0515,1,16,6.25
0516,0,16,0.00
0517,0,16,0.00
0518,0,16,0.00
0519,0,15,0.00
0520,0,15,0.00
0521,0,15,0.00
0522,0,14,0.00
0523,0,16,0.00
