MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,15,0.00
0102,0,14,0.00
0103,0,15,0.00
0104,0,15,0.00
0105,0,14,0.00
0106,0,14,0.00
0107,0,14,0.00
0108,0,13,0.00
0109,1,12,8.33
0110,2,13,15.38
0111,1,13,7.69
0112,1,13,7.69
0113,1,13,7.69
0114,0,13,0.00
0115,0,14,0.00
0116,0,15,0.00
0117,2,15,13.33
0118,1,15,6.67
0119,0,15,0.00
0120,1,16,6.25
0121,2,15,13.33
0122,3,15,20.00
0123,1,16,6.25
0124,0,16,0.00
0125,1,16,6.25
0126,0,16,0.00
0127,0,17,0.00
0128,0,17,0.00
0129,0,17,0.00
0130,0,17,0.00
0131,1,17,5.88
0201,0,17,0.00
0202,0,17,0.00
0203,1,17,5.88
0204,1,17,5.88
0205,1,17,5.88
0206,0,17,0.00
0207,1,16,6.25
0208,0,16,0.00
0209,0,16,0.00
0210,1,16,6.25
0211,0,16,0.00
0212,0,16,0.00
0213,0,16,0.00
0214,0,16,0.00
0215,1,16,6.25
0216,1,16,6.25
0217,2,16,12.50
0218,2,16,12.50
0219,1,16,6.25
0220,1,16,6.25
0221,0,16,0.00
0222,0,16,0.00
0223,1,15,6.67
0224,0,16,0.00
0225,1,16,6.25
0226,0,16,0.00
0227,2,16,12.50
0228,0,16,0.00
0229,0,4,0.00
0301,0,16,0.00
0302,2,17,11.76
0303,2,17,11.76
0304,1,17,5.88
0305,3,16,18.75
0306,1,16,6.25
0307,0,16,0.00
0308,1,16,6.25
0309,0,16,0.00
0310,0,15,0.00
0311,2,15,13.33
0312,1,15,6.67
0313,0,15,0.00
0314,0,15,0.00
0315,0,15,0.00
0316,0,15,0.00
0317,5,15,33.33
0318,3,15,20.00
0319,1,16,6.25
0320,0,16,0.00
0321,1,16,6.25
0322,1,17,5.88
0323,1,17,5.88
0324,0,17,0.00
0325,1,17,5.88
0326,1,17,5.88
0327,1,17,5.88
0328,1,17,5.88
0329,1,17,5.88
0330,0,17,0.00
0331,3,17,17.65
0401,2,16,12.50
0402,0,17,0.00
0403,1,17,5.88
0404,0,16,0.00
0405,3,16,18.75
0406,2,16,12.50
0407,0,16,0.00
0408,1,15,6.67
0409,0,15,0.00
0410,0,15,0.00
0411,2,16,12.50
0412,0,16,0.00
0413,2,17,11.76
0414,2,17,11.76
0415,2,17,11.76
0416,1,17,5.88
0417,1,16,6.25
0418,0,16,0.00
0419,1,16,6.25
0420,0,16,0.00
0421,1,16,6.25
0422,0,16,0.00
0423,1,16,6.25
