OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008082021,1,1
2008082221,1,1
2008082619,1,1
2008082717,1,1
2008082718,4,2
2008082720,1,1
2008083113,1,1
2008083117,1,1
2008083123,1,1
2008090100,1,2
2008090101,1,3
2008090116,2,1
2008090117,1,2
2008090318,1,1
2008090322,1,1
2008090323,1,2
2008090419,2,1
2008090420,1,2
2008090422,1,1
2008090520,4,1
2008090521,2,2
2008091121,3,1
2008100304,4,1
2008100305,1,2
2008100920,3,1
2008100922,3,1
2008100923,1,2
2008102117,3,1
2008102118,4,2
2008102119,4,3
2008102120,5,4
2008102121,6,5
2008102122,1,6
2008102521,1,1
2008102919,1,1
2008102920,2,2
2008110218,3,1
2008110219,3,2
2008110220,1,3
2008110417,1,1
2008111319,1,1
2008111320,1,2
2008111323,1,1
2008111403,2,1
2008111404,3,2
2008112109,1,1
2008112118,2,1
2008112120,2,1
2008112922,1,1
2008112923,2,2
2008113000,1,3
2008113001,1,4
2008113005,1,1
2008113006,1,2
2008113007,2,3
2008113008,1,4
2008113009,3,5
2008113010,3,6
2008113017,1,1
2008120219,1,1
2008120220,2,2
2008120221,2,3
2008120300,4,1
2008120301,1,2
2008121315,3,1
2008121316,2,2
2008121317,2,3
2008121319,1,1
2008121516,3,1
2008121518,2,1
2008121520,3,1
2008121521,6,2
2008121522,4,3
2008121523,1,4
2008121619,1,1
2008121920,3,1
2008121921,1,2
2008122003,1,1
2008122019,3,1
2008122020,3,2
2008122021,4,3
2008122213,2,1
2008122214,3,2
2008122221,1,1
2008122222,1,2
2008122223,6,3
2008122300,6,4
2008122321,1,1
2008122323,1,1
2008122505,2,1
2008122506,5,2
2008122507,6,3
2008122508,4,4
2008122509,6,5
2008122510,6,6
2008122511,6,7
2008122512,6,8
2008122513,6,9
2008122514,6,10
2008122515,5,11
2008122516,5,12
2008122517,6,13
2008122518,5,14
2008122519,3,15
2008122523,1,1
2008122600,4,2
2008122601,4,3
2008122603,3,1
2008122604,2,2
2008122607,2,1
2008122608,2,2
2008122609,1,3
2009010311,1,1
2009010313,1,1
2009010708,1,1
2009010902,2,1
2009010904,1,1
2009011115,1,1
2009011209,1,1
2009011213,2,1
2009011214,1,2
2009011317,1,1
2009012818,1,1
2009012819,1,2
2009012820,2,3
2009012821,2,4
2009012822,2,5
2009012905,1,1
2009012907,1,1
2009020519,1,1
2009020520,5,2
2009020521,1,3
2009021518,5,1
2009021519,5,2
2009021520,1,3
2009021521,4,4
2009021617,2,1
2009021619,2,1
2009021620,1,2
2009021622,1,1
2009021703,1,1
2009022705,1,1
2009022707,1,1
2009022708,2,2
2009030301,1,1
2009030307,1,1
2009030308,1,2
2009030408,2,1
2009030417,1,1
2009030422,1,1
2009030423,1,2
2009030500,3,3
2009030501,1,4
2009030720,3,1
2009030908,1,1
2009030922,3,1
2009031005,1,1
2009031517,1,1
2009032204,3,1
2009032205,1,2
2009032220,2,1
2009032221,1,2
2009032302,2,1
2009032303,2,2
2009032309,1,1
2009032310,1,2
2009032316,1,1
2009032318,1,1
2009032319,4,2
2009032320,5,3
2009032321,5,4
2009032420,1,1
2009032421,1,2
2009032511,1,1
2009032516,1,1
2009032517,1,2
2009032518,3,3
2009032519,2,4
2009032606,2,1
