OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008081522,1,1
2008082118,2,1
2008082120,2,1
2008082122,1,1
2008082619,1,1
2008082717,2,1
2008082718,2,2
2008082719,1,3
2008082722,1,1
2008082723,1,2
2008083105,3,1
2008083106,1,2
2008083117,2,1
2008083118,3,2
2008083119,1,3
2008083121,2,1
2008083123,2,1
2008090100,4,2
2008090101,2,3
2008090116,4,1
2008090117,1,2
2008090418,1,1
2008090422,1,1
2008090518,1,1
2008090519,2,2
2008090520,1,3
2008090720,1,1
2008090721,1,2
2008090923,1,1
2008091121,3,1
2008092020,2,1
2008092022,1,1
2008092517,1,1
2008092519,1,1
2008092521,1,1
2008100304,4,1
2008100305,2,2
2008100918,1,1
2008100919,1,2
2008100920,3,3
2008100921,4,4
2008100922,4,5
2008100923,2,6
2008102117,4,1
2008102118,4,2
2008102119,5,3
2008102120,6,4
2008102121,6,5
2008102122,4,6
2008102123,1,7
2008102521,1,1
2008110218,3,1
2008110219,5,2
2008110220,1,3
2008110417,1,1
2008110418,1,2
2008110501,1,1
2008110502,2,2
2008111318,1,1
2008111319,4,2
2008111320,5,3
2008111321,3,4
2008111322,2,5
2008111323,4,6
2008111400,1,7
2008111401,2,8
2008111403,2,1
2008111404,4,2
2008111411,1,1
2008112120,1,1
2008112923,1,1
2008113001,2,1
2008113005,1,1
2008113006,1,2
2008113007,5,3
2008113008,4,4
2008113009,3,5
2008113010,2,6
2008113012,1,1
2008113013,1,2
2008113015,1,1
2008120219,1,1
2008120220,3,2
2008120221,3,3
2008120223,3,1
2008120300,4,2
2008120301,1,3
2008120821,1,1
2008121307,1,1
2008121315,4,1
2008121316,2,2
2008121317,5,3
2008121318,2,4
2008121319,3,5
2008121320,2,6
2008121321,1,7
2008121518,3,1
2008121520,2,1
2008121521,6,2
2008121522,5,3
2008121523,1,4
2008121600,2,5
2008121619,3,1
2008121620,1,2
2008121915,1,1
2008121917,3,1
2008121918,3,2
2008121919,1,3
2008121920,3,4
2008122006,1,1
2008122019,3,1
2008122020,6,2
2008122021,5,3
2008122214,4,1
2008122222,4,1
2008122223,6,2
2008122300,6,3
2008122322,1,1
2008122323,1,2
2008122504,1,1
2008122505,4,2
2008122506,6,3
2008122507,6,4
2008122508,6,5
2008122509,6,6
2008122510,6,7
2008122511,6,8
2008122512,6,9
2008122513,6,10
2008122514,6,11
2008122515,5,12
2008122516,6,13
2008122517,6,14
2008122518,6,15
2008122519,6,16
2008122520,2,17
2008122600,5,1
2008122603,5,1
2008122604,6,2
2008122605,1,3
2008122606,1,4
2008122607,2,5
2008122608,6,6
2008122609,3,7
2008122610,1,8
2009010122,2,1
2009010311,1,1
2009010313,1,1
2009010621,4,1
2009010622,2,2
2009010701,1,1
2009010708,6,1
2009010709,1,2
2009010902,3,1
2009010903,1,2
2009010904,5,3
2009010909,1,1
2009010912,2,1
2009011114,1,1
2009011115,3,2
2009011121,1,1
2009011207,1,1
2009011208,2,2
2009011209,1,3
2009011210,1,4
2009011213,4,1
2009011214,2,2
2009011317,1,1
2009012423,1,1
2009012818,1,1
2009012819,4,2
2009012820,5,3
2009012821,1,4
2009012822,6,5
2009012901,2,1
2009012904,1,1
2009012905,3,2
2009012907,1,1
2009020519,1,1
2009020520,5,2
2009020521,2,3
2009021019,1,1
2009021422,1,1
2009021423,1,2
2009021518,4,1
2009021519,4,2
2009021520,6,3
2009021521,5,4
2009021620,1,1
2009021621,1,2
2009022418,1,1
2009022419,1,2
2009022420,1,3
2009022421,2,4
2009022519,4,1
2009022521,1,1
2009022620,2,1
2009022621,1,2
2009022623,1,1
2009022704,1,1
2009022705,1,2
2009022706,2,3
2009022708,2,1
2009022713,1,1
2009030223,1,1
2009030301,3,1
2009030303,3,1
2009030304,5,2
2009030305,6,3
2009030306,4,4
2009030307,6,5
2009030308,4,6
2009030310,1,1
2009030311,2,2
2009030312,1,3
2009030318,1,1
2009030322,2,1
2009030323,1,2
2009030400,2,3
2009030405,1,1
2009030406,2,2
2009030407,2,3
2009030408,3,4
2009030409,3,5
2009030410,4,6
2009030411,4,7
2009030412,5,8
2009030413,2,9
2009030416,2,1
2009030417,1,2
2009030418,4,3
2009030419,4,4
2009030420,2,5
2009030421,1,6
2009030422,3,7
2009030423,5,8
2009030500,4,9
2009030501,3,10
2009030821,2,1
2009030905,1,1
2009030908,1,1
2009030909,1,2
