OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2002012607,1,1
2002012611,1,1
2002012612,4,2
2002012613,4,3
2002012614,2,4
2002012615,4,5
2002012616,3,6
2002012617,4,7
2002012618,3,8
2002012619,4,9
2002012620,3,10
2002012621,3,11
2002012622,4,12
2002012623,2,13
2002012700,3,14
2002012701,4,15
2002012702,4,16
2002012703,4,17
2002012704,2,18
2002012705,1,19
2002012706,3,20
2002012707,4,21
2002012708,4,22
2002012709,3,23
2002012710,4,24
2002012711,3,25
2002012712,1,26
2002020722,1,1
2002021120,1,1
2002022317,2,1
2002022318,4,2
2002022319,4,3
2002022320,4,4
2002022321,1,5
2002030520,1,1
2002030522,1,1
2002030523,2,2
2002030703,4,1
2002031918,1,1
2002032220,2,1
2002032221,3,2
2002032222,3,3
2002032223,3,4
2002032300,4,5
2002032307,3,1
2002032308,4,2
2002032309,4,3
2002032310,4,4
2002032311,4,5
2002032312,4,6
2002032313,4,7
2002032314,4,8
2002032315,4,9
2002032316,3,10
2002032317,1,11
2002032318,3,12
2002032319,4,13
2002032320,2,14
2002032321,2,15
2002040321,2,1
2002040322,3,2
2002040323,2,3
2002040400,1,4
2002040418,2,1
2002040419,1,2
2002040518,2,1
2002040519,4,2
2002040520,3,3
2002040521,3,4
2002040522,4,5
2002040523,2,6
2002040600,4,7
2002040601,2,8
2002041318,4,1
2002041319,4,2
2002041320,4,3
2002041321,4,4
2002041322,4,5
2002041323,4,6
2002041400,4,7
2002041401,4,8
2002041418,3,1
2002041419,4,2
2002041420,4,3
2002041421,4,4
2002041422,4,5
2002041423,4,6
2002041500,4,7
2002041501,4,8
2002041502,4,9
2002041503,2,10
2002041507,1,1
2002041508,3,2
2002041509,4,3
2002041510,4,4
2002041511,3,5
2002042316,2,1
2002042317,3,2
2002042318,4,3
2002042319,4,4
2002042320,4,5
2002042321,4,6
2002042322,4,7
2002042323,1,8
2002042403,1,1
2002042416,3,1
2002042417,4,2
2002042418,3,3
2002042419,4,4
2002042420,4,5
2002042421,2,6
2002042422,4,7
2002042423,2,8
2002042500,3,9
2002042501,4,10
2002042502,3,11
2002042617,1,1
2002042618,4,2
2002042619,3,3
2002042620,4,4
2002042621,4,5
2002042622,3,6
2002042623,4,7
2002042917,4,1
2002042918,4,2
2002042919,4,3
2002042920,4,4
2002042921,4,5
2002042922,4,6
2002042923,3,7
2002043000,4,8
2002043001,4,9
2002043002,3,10
2002043008,2,1
2002043015,2,1
2002043016,4,2
2002043017,4,3
2002043018,4,4
2002043019,2,5
2002043020,2,6
2002043021,2,7
2002043022,4,8
2002043023,2,9
2002050100,3,10
2002050101,4,11
2002050102,4,12
2002050103,3,13
2002050104,3,14
2002050105,3,15
2002050106,3,16
2002050107,3,17
2002050108,3,18
2002050109,4,19
2002050110,2,20
2002050111,1,21
2002050617,2,1
2002050618,2,2
2002050619,3,3
2002050620,3,4
2002050621,3,5
2002050622,4,6
2002050623,3,7
2002050700,4,8
2002050701,3,9
2002050702,1,10
2002050704,1,1
2002052517,1,1
2002052518,4,2
2002052519,4,3
2002052520,4,4
2002052521,3,5
2002052522,4,6
2002052523,3,7
2002052600,4,8
2002052601,4,9
2002052602,2,10
2002052617,4,1
2002052618,3,2
2002052619,4,3
2002052620,4,4
2002052621,2,5
2002052622,4,6
2002052623,3,7
2002052700,4,8
2002052701,4,9
2002052702,3,10
2002052719,2,1
2002052720,3,2
2002052721,4,3
2002052722,4,4
2002052723,4,5
2002052800,4,6
2002052801,4,7
2002052802,2,8
2002052817,3,1
2002052818,4,2
2002052819,4,3
2002052820,2,4
2002052821,4,5
2002052822,4,6
2002052823,4,7
2002052900,4,8
2002052901,2,9
2002052917,1,1
2002052918,4,2
2002052919,4,3
2002052920,4,4
2002052921,3,5
2002052922,4,6
2002052923,3,7
2002053000,4,8
2002053001,4,9
2002053002,1,10
2002053017,2,1
2002053018,4,2
2002053019,2,3
2002053020,4,4
2002053021,3,5
2002053022,4,6
2002053023,4,7
2002053100,4,8
2002053101,4,9
2002053102,2,10
2002053117,4,1
2002053118,4,2
2002053119,4,3
2002053120,4,4
2002053121,4,5
2002053122,4,6
2002053123,3,7
2002060100,4,8
2002060101,4,9
2002060102,1,10
2002060112,1,1
2002060113,4,2
2002060114,2,3
2002060418,2,1
2002060419,2,2
2002060420,3,3
2002060422,4,1
2002060423,4,2
2002060500,4,3
2002060501,4,4
2002060502,2,5
2002060521,3,1
2002060522,4,2
2002060523,1,3
2002060604,1,1
2002060617,1,1
2002060618,3,2
2002060619,3,3
2002060620,4,4
2002060621,3,5
2002060622,3,6
2002060623,2,7
2002060700,4,8
2002060701,4,9
2002061317,2,1
2002061318,4,2
2002061319,4,3
2002061320,3,4
2002061321,2,5
2002061322,3,6
2002061323,3,7
2002061400,4,8
2002061401,4,9
2002061402,2,10
2002061419,3,1
2002061420,2,2
2002061421,2,3
2002061422,4,4
2002061423,3,5
2002061500,4,6
2002061501,4,7
2002061502,3,8
2002061716,2,1
2002061717,4,2
2002061718,4,3
2002061719,4,4
2002061720,4,5
2002061721,3,6
2002061722,4,7
2002061723,4,8
2002061800,4,9
2002061801,4,10
2002061802,1,11
2002061918,1,1
2002061919,4,2
2002061920,3,3
2002061921,3,4
2002061922,4,5
2002061923,4,6
2002062000,4,7
2002062001,3,8
2002062118,4,1
2002062119,3,2
2002062120,3,3
2002062121,2,4
2002062122,3,5
2002062123,2,6
2002062200,3,7
2002062218,2,1
2002062219,3,2
2002062220,4,3
2002062221,4,4
2002062222,4,5
2002062223,3,6
2002062300,3,7
2002062321,2,1
2002062417,4,1
2002062418,4,2
2002062419,4,3
2002062420,4,4
2002062421,4,5
2002062422,4,6
2002062423,4,7
2002062500,4,8
2002062501,4,9
2002062502,4,10
2002062503,1,11
2002062517,3,1
2002062518,3,2
2002062519,3,3
2002062520,4,4
2002062521,3,5
2002062522,4,6
2002062523,3,7
2002062600,4,8
2002062601,4,9
2002062602,1,10
2002062619,1,1
2002062620,4,2
2002062621,2,3
2002062622,3,4
2002062623,2,5
2002062700,4,6
2002062701,3,7
2002062702,2,8
2002062704,1,1
2002062705,3,2
2002062718,1,1
2002062719,4,2
2002062720,2,3
2002062721,2,4
2002062722,4,5
2002062723,4,6
2002062800,4,7
2002062801,3,8
2002062817,1,1
2002062818,4,2
2002062819,4,3
2002062820,4,4
2002062821,3,5
2002062822,3,6
2002062823,3,7
2002062900,4,8
2002062901,3,9
2002062902,3,10
2002062903,3,11
2002062916,4,1
2002062917,4,2
2002062918,4,3
2002062919,4,4
2002062920,4,5
2002062921,4,6
2002062922,4,7
2002062923,3,8
2002063000,3,9
2002063001,4,10
2002063002,1,11
2002063017,1,1
2002063018,3,2
2002063019,3,3
2002063020,3,4
2002063021,3,5
2002063022,3,6
2002063023,1,7
2002070100,3,8
2002070101,4,9
2002070102,2,10
2002070121,1,1
2002070219,2,1
2002070421,2,1
2002070422,3,2
2002070423,3,3
2002070500,4,4
2002070501,4,5
2002070622,4,1
2002070623,2,2
2002070718,4,1
2002070719,4,2
2002070720,3,3
2002070721,2,4
2002070722,2,5
2002070723,2,6
2002070800,3,7
2002070801,4,8
2002070802,2,9
2002070817,2,1
2002070819,1,1
2002070820,3,2
2002070821,2,3
2002070822,3,4
2002070823,2,5
2002070900,4,6
2002070901,3,7
2002070902,2,8
2002070918,1,1
2002070919,2,2
2002070920,2,3
2002071121,4,1
2002071122,3,2
2002071123,2,3
2002071200,4,4
2002071201,3,5
2002071202,2,6
2002071218,1,1
2002071219,3,2
2002071220,4,3
2002071221,2,4
2002071222,4,5
2002071223,2,6
2002071300,4,7
2002071301,3,8
2002071317,2,1
2002071318,3,2
2002071319,3,3
2002071320,3,4
2002071321,2,5
2002071322,3,6
2002071323,3,7
2002071400,4,8
2002071401,4,9
2002071402,3,10
2002071417,1,1
2002071418,2,2
2002071420,4,1
2002071421,3,2
2002071923,1,1
2002072000,4,2
2002072001,1,3
2002072020,1,1
2002072021,1,2
2002072023,1,1
2002072119,1,1
2002072120,2,2
2002072121,2,3
2002072122,2,4
2002072123,2,5
2002072200,2,6
2002072201,2,7
2002072202,2,8
2002072203,1,9
2002072219,1,1
2002072220,2,2
2002072221,2,3
2002072222,2,4
2002072320,3,1
2002072321,1,2
2002072322,3,3
2002072323,2,4
2002072400,2,5
2002072401,3,6
2002072402,1,7
2002072418,2,1
2002072419,2,2
2002072420,2,3
2002072421,1,4
2002072422,3,5
2002072423,2,6
2002072500,2,7
2002072620,2,1
2002072621,2,2
2002072622,3,3
2002072700,2,1
2002072701,2,2
2002072702,2,3
2002072723,2,1
2002072800,3,2
2002072801,2,3
2002072802,1,4
2002072821,2,1
2002072822,2,2
2002072823,2,3
2002072900,3,4
2002072901,3,5
2002072902,2,6
2002072915,1,1
2002072920,3,1
2002072921,1,2
2002072922,3,3
2002072923,2,4
2002073000,2,5
2002073001,3,6
2002073002,1,7
2002073017,1,1
2002073018,2,2
2002073019,2,3
2002073020,3,4
2002073021,2,5
2002073022,3,6
2002073023,2,7
2002073100,2,8
2002073101,2,9
2002073102,1,10
2002080118,3,1
2002080119,2,2
2002080120,2,3
2002080121,2,4
2002080122,3,5
2002080123,2,6
2002080200,2,7
2002080201,2,8
2002080320,1,1
2002080321,2,2
2002080322,2,3
2002080323,2,4
2002080400,2,5
2002080401,2,6
2002080402,1,7
2002080501,1,1
2002080502,2,2
2002080503,2,3
2002080504,1,4
2002080517,2,1
2002080518,2,2
2002080519,2,3
2002080520,1,4
2002080521,2,5
