MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,24,4.17
0102,3,24,12.50
0103,1,24,4.17
0104,1,24,4.17
0105,0,24,0.00
0106,0,24,0.00
0107,1,24,4.17
0108,1,24,4.17
0109,3,24,12.50
0110,1,24,4.17
0111,3,24,12.50
0112,1,24,4.17
0113,0,24,0.00
0114,2,24,8.33
0115,1,24,4.17
0116,1,24,4.17
0117,1,24,4.17
0118,0,24,0.00
0119,0,24,0.00
0120,0,24,0.00
0121,1,24,4.17
0122,1,24,4.17
0123,3,24,12.50
0124,0,24,0.00
0125,2,24,8.33
0126,0,24,0.00
0127,2,23,8.70
0128,1,24,4.17
0129,1,24,4.17
0130,1,24,4.17
0131,1,24,4.17
0201,3,24,12.50
0202,1,24,4.17
0203,3,24,12.50
0204,2,24,8.33
0205,1,24,4.17
0206,4,24,16.67
0207,4,24,16.67
0208,1,24,4.17
0209,1,24,4.17
0210,5,24,20.83
0211,2,24,8.33
0212,0,24,0.00
0213,1,24,4.17
0214,3,24,12.50
0215,3,24,12.50
0216,3,24,12.50
0217,1,24,4.17
0218,3,24,12.50
0219,2,24,8.33
0220,2,24,8.33
0221,1,24,4.17
0222,2,24,8.33
0223,1,24,4.17
0224,3,24,12.50
0225,3,24,12.50
0226,4,24,16.67
0227,1,24,4.17
0228,2,23,8.70
0229,1,5,20.00
0301,4,24,16.67
0302,2,24,8.33
0303,2,24,8.33
0304,2,24,8.33
0305,2,24,8.33
0306,4,24,16.67
0307,3,24,12.50
0308,1,23,4.35
0309,1,24,4.17
0310,2,24,8.33
0311,2,24,8.33
0312,1,24,4.17
0313,2,24,8.33
0314,4,24,16.67
0315,1,24,4.17
0316,5,24,20.83
0317,4,24,16.67
0318,2,24,8.33
0319,2,23,8.70
0320,0,24,0.00
0321,4,24,16.67
0322,4,23,17.39
0323,2,24,8.33
0324,2,24,8.33
0325,2,24,8.33
0326,4,24,16.67
0327,1,24,4.17
0328,2,24,8.33
0329,4,24,16.67
0330,2,24,8.33
0331,3,24,12.50
0401,2,24,8.33
0402,2,23,8.70
0403,3,24,12.50
0404,1,24,4.17
0405,2,24,8.33
0406,2,24,8.33
0407,2,24,8.33
0408,3,24,12.50
0409,2,24,8.33
0410,3,24,12.50
0411,2,24,8.33
0412,2,24,8.33
0413,6,23,26.09
0414,7,24,29.17
0415,4,24,16.67
0416,3,24,12.50
0417,2,24,8.33
0418,2,24,8.33
0419,1,24,4.17
0420,2,24,8.33
0421,1,23,4.35
0422,2,24,8.33
0423,2,24,8.33
0424,0,24,0.00
0425,1,24,4.17
0426,1,24,4.17
0427,3,24,12.50
0428,3,24,12.50
0429,1,24,4.17
0430,0,24,0.00
0501,0,24,0.00
0502,1,24,4.17
0503,3,24,12.50
0504,0,24,0.00
0505,1,24,4.17
0506,3,24,12.50
0507,0,24,0.00
0508,1,24,4.17
0509,0,24,0.00
0510,1,24,4.17
0511,2,24,8.33
0512,4,24,16.67
0513,4,24,16.67
0514,1,24,4.17
0515,1,24,4.17
0516,1,24,4.17
0517,3,24,12.50
0518,1,24,4.17
0519,1,24,4.17
0520,0,24,0.00
0521,1,24,4.17
0522,1,24,4.17
0523,1,24,4.17
0524,1,24,4.17
0525,1,24,4.17
0526,1,24,4.17
0527,0,24,0.00
0528,3,24,12.50
0529,2,24,8.33
0530,0,24,0.00
0531,1,24,4.17
0601,3,24,12.50
0602,2,23,8.70
0603,0,24,0.00
0604,0,24,0.00
0605,2,24,8.33
0606,3,24,12.50
0607,4,24,16.67
0608,2,24,8.33
0609,4,24,16.67
0610,5,24,20.83
0611,3,24,12.50
0612,2,24,8.33
0613,2,24,8.33
0614,0,24,0.00
0615,2,24,8.33
0616,2,23,8.70
0617,3,24,12.50
0618,2,24,8.33
0619,3,24,12.50
0620,3,24,12.50
0621,2,24,8.33
0622,1,24,4.17
0623,1,24,4.17
0624,3,24,12.50
0625,3,24,12.50
0626,2,24,8.33
0627,1,24,4.17
0628,4,24,16.67
0629,3,24,12.50
0630,1,24,4.17
0701,2,24,8.33
0702,1,24,4.17
0703,2,24,8.33
0704,0,24,0.00
0705,0,24,0.00
0706,0,24,0.00
0707,2,24,8.33
0708,1,24,4.17
0709,1,24,4.17
0710,2,24,8.33
0711,1,24,4.17
0712,0,24,0.00
0713,0,24,0.00
0714,0,24,0.00
0715,0,24,0.00
