MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,24,4.17
0102,3,24,12.50
0103,2,24,8.33
0104,1,24,4.17
0105,1,24,4.17
0106,0,24,0.00
0107,1,24,4.17
0108,1,24,4.17
0109,3,24,12.50
0110,1,24,4.17
0111,3,24,12.50
0112,2,24,8.33
0113,0,24,0.00
0114,2,24,8.33
0115,1,24,4.17
0116,2,24,8.33
0117,1,24,4.17
0118,0,24,0.00
0119,1,24,4.17
0120,1,24,4.17
0121,1,24,4.17
0122,2,24,8.33
0123,3,24,12.50
0124,0,24,0.00
0125,2,24,8.33
0126,0,24,0.00
0127,2,23,8.70
0128,1,24,4.17
0129,1,24,4.17
0130,2,24,8.33
0131,1,24,4.17
0201,2,24,8.33
0202,0,24,0.00
0203,3,24,12.50
0204,1,24,4.17
0205,2,24,8.33
0206,2,24,8.33
0207,4,24,16.67
0208,2,24,8.33
0209,2,24,8.33
0210,4,24,16.67
0211,1,24,4.17
0212,0,24,0.00
0213,1,24,4.17
0214,3,24,12.50
0215,4,24,16.67
0216,4,24,16.67
0217,1,24,4.17
0218,3,24,12.50
0219,1,24,4.17
0220,2,24,8.33
0221,1,24,4.17
0222,4,24,16.67
0223,2,24,8.33
0224,3,24,12.50
0225,4,24,16.67
0226,4,24,16.67
0227,3,24,12.50
0228,1,23,4.35
0229,2,5,40.00
0301,4,24,16.67
0302,1,24,4.17
0303,3,24,12.50
0304,2,24,8.33
0305,2,24,8.33
0306,5,24,20.83
0307,5,24,20.83
0308,2,23,8.70
0309,0,24,0.00
0310,3,24,12.50
0311,2,24,8.33
0312,1,24,4.17
0313,2,24,8.33
0314,4,24,16.67
0315,1,24,4.17
0316,6,24,25.00
0317,5,24,20.83
0318,2,24,8.33
0319,2,23,8.70
0320,0,24,0.00
0321,4,24,16.67
0322,4,23,17.39
0323,2,24,8.33
0324,1,24,4.17
0325,2,24,8.33
0326,6,24,25.00
0327,0,24,0.00
0328,2,24,8.33
0329,5,24,20.83
0330,2,24,8.33
0331,3,24,12.50
0401,3,24,12.50
0402,2,23,8.70
0403,2,24,8.33
0404,3,24,12.50
0405,3,24,12.50
0406,3,24,12.50
0407,4,24,16.67
0408,3,24,12.50
0409,1,24,4.17
0410,3,24,12.50
0411,2,24,8.33
0412,2,24,8.33
0413,7,23,30.43
0414,8,24,33.33
0415,2,24,8.33
0416,3,24,12.50
0417,3,24,12.50
0418,4,24,16.67
0419,1,24,4.17
0420,2,24,8.33
0421,2,23,8.70
0422,2,24,8.33
0423,2,24,8.33
0424,0,24,0.00
0425,1,24,4.17
0426,2,24,8.33
0427,3,24,12.50
0428,6,24,25.00
0429,3,24,12.50
0430,0,24,0.00
0501,1,24,4.17
0502,1,24,4.17
0503,4,24,16.67
0504,1,24,4.17
0505,1,24,4.17
0506,1,24,4.17
0507,3,24,12.50
0508,1,24,4.17
0509,1,24,4.17
0510,1,24,4.17
0511,2,24,8.33
0512,5,24,20.83
0513,4,24,16.67
0514,1,24,4.17
0515,3,24,12.50
0516,5,24,20.83
0517,4,24,16.67
0518,1,24,4.17
0519,3,24,12.50
0520,2,24,8.33
0521,1,24,4.17
0522,1,24,4.17
0523,2,24,8.33
0524,2,24,8.33
0525,3,24,12.50
0526,1,24,4.17
0527,1,24,4.17
0528,3,24,12.50
0529,2,24,8.33
0530,0,24,0.00
0531,2,24,8.33
0601,4,24,16.67
0602,2,23,8.70
0603,0,24,0.00
0604,0,24,0.00
0605,4,24,16.67
0606,4,24,16.67
0607,6,24,25.00
0608,2,24,8.33
0609,4,24,16.67
0610,6,24,25.00
0611,3,24,12.50
0612,2,24,8.33
0613,2,24,8.33
0614,1,24,4.17
0615,2,24,8.33
0616,3,23,13.04
0617,4,24,16.67
0618,4,24,16.67
0619,3,24,12.50
0620,3,24,12.50
0621,2,24,8.33
0622,1,24,4.17
0623,1,24,4.17
0624,3,24,12.50
0625,4,24,16.67
0626,2,24,8.33
0627,2,24,8.33
0628,5,24,20.83
0629,4,24,16.67
0630,3,24,12.50
0701,2,24,8.33
0702,1,24,4.17
0703,2,24,8.33
0704,3,24,12.50
0705,0,24,0.00
0706,0,24,0.00
0707,2,24,8.33
0708,2,24,8.33
0709,1,24,4.17
0710,2,24,8.33
0711,1,24,4.17
0712,0,24,0.00
0713,0,24,0.00
0714,1,24,4.17
0715,0,24,0.00
