MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,25,0.00
0102,0,25,0.00
0103,0,25,0.00
0104,0,25,0.00
0105,0,25,0.00
0106,0,25,0.00
0107,0,25,0.00
0108,0,25,0.00
0109,0,25,0.00
0110,0,25,0.00
0111,0,25,0.00
0112,0,25,0.00
0113,0,25,0.00
0114,0,25,0.00
0115,1,25,4.00
0116,2,25,8.00
0117,0,25,0.00
0118,0,25,0.00
0119,1,25,4.00
0120,0,25,0.00
0121,0,25,0.00
0122,0,25,0.00
0123,0,25,0.00
0124,0,25,0.00
0125,2,25,8.00
0126,0,25,0.00
0127,1,24,4.17
0128,0,25,0.00
0129,0,25,0.00
0130,0,25,0.00
0131,0,25,0.00
0201,2,25,8.00
0202,2,25,8.00
0203,0,25,0.00
0204,0,25,0.00
0205,1,25,4.00
0206,1,25,4.00
0207,2,25,8.00
0208,2,25,8.00
0209,3,25,12.00
0210,0,25,0.00
0211,0,25,0.00
0212,1,25,4.00
0213,1,25,4.00
0214,1,25,4.00
0215,1,25,4.00
0216,2,25,8.00
0217,2,25,8.00
0218,3,25,12.00
0219,1,25,4.00
0220,2,25,8.00
0221,1,25,4.00
0222,1,25,4.00
0223,3,25,12.00
0224,3,25,12.00
0225,4,25,16.00
0226,5,25,20.00
0227,6,25,24.00
0228,3,24,12.50
0229,1,5,20.00
0301,2,25,8.00
0302,2,25,8.00
0303,6,25,24.00
0304,4,25,16.00
0305,5,24,20.83
0306,8,24,33.33
0307,3,24,12.50
0308,2,23,8.70
0309,4,24,16.67
0310,3,24,12.50
0311,6,24,25.00
0312,7,24,29.17
0313,6,24,25.00
0314,6,24,25.00
0315,9,24,37.50
0316,9,24,37.50
0317,9,24,37.50
0318,6,24,25.00
0319,6,23,26.09
0320,10,24,41.67
0321,8,24,33.33
0322,8,23,34.78
0323,8,24,33.33
0324,5,24,20.83
0325,7,24,29.17
0326,9,24,37.50
0327,5,24,20.83
0328,7,24,29.17
0329,5,24,20.83
0330,9,24,37.50
0331,8,24,33.33
0401,11,24,45.83
0402,7,23,30.43
0403,7,24,29.17
0404,13,24,54.17
0405,8,24,33.33
0406,7,24,29.17
0407,9,24,37.50
0408,10,24,41.67
0409,6,24,25.00
0410,7,24,29.17
0411,10,24,41.67
0412,13,24,54.17
0413,12,23,52.17
0414,13,24,54.17
0415,12,24,50.00
0416,7,24,29.17
0417,12,24,50.00
0418,13,24,54.17
0419,10,24,41.67
0420,10,24,41.67
0421,11,23,47.83
0422,11,24,45.83
0423,10,24,41.67
0424,6,24,25.00
0425,9,24,37.50
0426,8,24,33.33
0427,9,24,37.50
0428,13,24,54.17
0429,11,24,45.83
0430,10,24,41.67
0501,11,24,45.83
0502,15,24,62.50
0503,13,24,54.17
0504,13,24,54.17
0505,12,24,50.00
0506,15,24,62.50
0507,12,24,50.00
0508,10,24,41.67
0509,11,24,45.83
0510,12,24,50.00
0511,13,24,54.17
0512,16,24,66.67
0513,17,24,70.83
0514,17,24,70.83
0515,16,24,66.67
0516,16,24,66.67
0517,14,24,58.33
0518,13,24,54.17
0519,12,24,50.00
0520,17,24,70.83
0521,16,24,66.67
0522,10,24,41.67
0523,10,24,41.67
0524,11,24,45.83
0525,15,24,62.50
0526,16,24,66.67
0527,18,24,75.00
0528,16,24,66.67
0529,15,24,62.50
0530,14,24,58.33
0531,17,24,70.83
0601,18,24,75.00
0602,18,23,78.26
0603,17,24,70.83
0604,17,24,70.83
0605,18,24,75.00
0606,19,24,79.17
0607,14,24,58.33
0608,13,24,54.17
0609,17,24,70.83
0610,16,24,66.67
0611,16,24,66.67
0612,12,24,50.00
0613,15,24,62.50
0614,15,24,62.50
0615,18,24,75.00
0616,20,23,86.96
0617,19,24,79.17
0618,17,24,70.83
0619,21,24,87.50
0620,21,24,87.50
0621,20,24,83.33
0622,19,24,79.17
0623,22,24,91.67
0624,22,24,91.67
0625,21,24,87.50
0626,20,24,83.33
0627,20,24,83.33
0628,23,24,95.83
0629,19,24,79.17
0630,20,24,83.33
0701,22,24,91.67
0702,22,24,91.67
0703,23,24,95.83
0704,23,24,95.83
0705,20,24,83.33
0706,17,24,70.83
0707,17,24,70.83
0708,19,24,79.17
0709,20,24,83.33
0710,19,24,79.17
0711,22,24,91.67
0712,20,24,83.33
0713,22,24,91.67
0714,23,24,95.83
0715,21,24,87.50
0716,22,24,91.67
0717,22,24,91.67
0718,23,24,95.83
0719,20,24,83.33
0720,22,24,91.67
0721,22,24,91.67
0722,22,24,91.67
0723,21,24,87.50
0724,21,24,87.50
0725,20,24,83.33
0726,18,24,75.00
0727,18,24,75.00
0728,20,24,83.33
0729,19,24,79.17
0730,19,24,79.17
0731,21,24,87.50
0801,19,24,79.17
0802,19,24,79.17
0803,19,24,79.17
0804,17,24,70.83
0805,20,24,83.33
0806,21,24,87.50
0807,22,24,91.67
0808,19,24,79.17
0809,20,24,83.33
0810,20,24,83.33
0811,21,24,87.50
0812,21,24,87.50
0813,22,24,91.67
0814,20,24,83.33
0815,22,24,91.67
0816,19,24,79.17
0817,20,24,83.33
0818,23,24,95.83
0819,22,24,91.67
0820,20,24,83.33
0821,18,24,75.00
0822,21,24,87.50
0823,17,24,70.83
0824,17,24,70.83
0825,20,24,83.33
0826,19,24,79.17
0827,16,24,66.67
0828,22,24,91.67
0829,21,24,87.50
0830,21,24,87.50
0831,20,24,83.33
0901,19,24,79.17
0902,19,24,79.17
0903,18,24,75.00
0904,19,24,79.17
0905,22,24,91.67
0906,18,24,75.00
0907,18,23,78.26
0908,19,24,79.17
0909,16,24,66.67
