OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010110,1,1
1997010111,1,2
1997010114,1,1
1997010122,1,1
1997010203,1,1
1997010204,1,2
1997010207,1,1
1997010208,1,2
1997010209,1,3
1997010210,1,4
1997010211,1,5
1997010212,1,6
1997010213,1,7
1997010219,1,1
1997010220,1,2
1997010320,1,1
1997010611,1,1
1997011201,1,1
1997012021,1,1
1997012211,1,1
1997012212,1,2
1997012213,1,3
1997012214,1,4
1997012219,1,1
1997012222,1,1
1997012300,1,1
1997012302,1,1
1997012303,1,2
1997012304,1,3
1997012305,1,4
1997012306,1,5
1997012307,1,6
1997012308,1,7
1997012517,1,1
1997012518,1,2
1997012519,1,3
1997012520,1,4
1997012521,1,5
1997012522,1,6
1997012600,1,1
1997012601,1,2
1997012602,1,3
1997012608,1,1
1997022005,1,1
1997022006,3,2
1997022814,1,1
1997022817,1,1
1997022818,1,2
1997022819,1,3
1997022820,1,4
1997022821,1,5
1997022822,1,6
1997030120,1,1
1997030121,1,2
1997030122,1,3
1997030217,1,1
1997030218,1,2
1997030219,1,3
1997030220,1,4
1997030221,1,5
1997030222,1,6
1997031019,1,1
1997031118,1,1
1997031119,1,2
1997031120,1,3
1997031121,1,4
1997031714,1,1
1997032411,1,1
1997032412,1,2
1997032415,1,1
1997032416,1,2
1997032417,1,3
1997032418,1,4
1997032419,1,5
1997032420,1,6
1997032709,1,1
1997032710,1,2
1997032714,2,1
1997033020,1,1
1997033109,1,1
1997033113,1,1
1997033114,1,2
1997033115,1,3
1997040222,1,1
1997040303,1,1
1997040304,1,2
1997040501,1,1
1997041714,1,1
1997042318,2,1
1997042319,2,2
1997042320,2,3
1997042716,1,1
1997042717,1,2
1997042718,1,3
1997042721,1,1
1997050104,2,1
1997050105,1,2
1997051723,2,1
1997052022,2,1
1997052320,1,1
1997052321,1,2
1997052413,3,1
1997052414,1,2
1997053116,1,1
1997053118,1,1
1997053119,1,2
1997053120,1,3
1997060503,1,1
1997061003,1,1
1997061023,1,1
1997061301,1,1
1997061321,1,1
1997061903,1,1
1997062403,1,1
1997062714,1,1
1997062715,1,2
1997062716,1,3
1997062718,1,1
1997062720,1,1
1997062815,1,1
1997062816,1,2
1997062817,1,3
1997062818,1,4
1997062919,1,1
1997062920,1,2
1997062923,1,1
1997063014,1,1
1997063015,1,2
1997063016,1,3
1997063017,1,4
1997063018,1,5
1997063019,1,6
1997063020,1,7
1997063021,1,8
1997063022,1,9
1997070100,1,1
1997070101,2,2
1997070102,1,3
1997070104,1,1
1997070221,1,1
1997070223,1,1
1997070300,1,2
1997070920,2,1
1997071008,1,1
1997071010,1,1
1997071014,1,1
1997071015,1,2
1997071016,1,3
1997071017,1,4
1997071018,1,5
1997071019,1,6
1997071020,1,7
1997071021,1,8
1997071212,1,1
1997071714,1,1
1997071716,1,1
1997071718,1,1
1997072306,1,1
1997072319,1,1
1997081011,1,1
1997081017,1,1
1997081018,1,2
1997081103,4,1
1997081104,1,2
1997081116,1,1
1997081201,2,1
1997081220,1,1
1997081720,1,1
1997081801,1,1
1997082018,1,1
1997082021,1,1
1997082022,1,2
1997082100,1,1
1997082101,2,2
1997082203,1,1
1997082204,1,2
1997082322,1,1
1997082323,1,2
1997082416,1,1
1997082417,1,2
1997082617,1,1
1997082618,1,2
1997082621,1,1
1997082622,1,2
1997082716,1,1
1997082717,1,2
1997082721,1,1
1997082800,1,1
1997082802,1,1
1997082803,2,2
1997082804,1,3
1997082816,1,1
1997082817,1,2
1997082901,1,1
1997082902,1,2
1997082903,1,3
1997083120,1,1
1997083123,1,1
1997090117,1,1
1997091115,1,1
1997091116,1,2
1997091117,1,3
1997091119,1,1
1997091122,1,1
1997091322,1,1
1997091400,1,1
1997091407,1,1
1997091417,1,1
1997091418,1,2
1997091420,1,1
1997091500,1,1
1997091502,1,1
1997091503,1,2
1997091504,1,3
1997091505,1,4
1997091506,1,5
1997091507,1,6
1997091508,1,7
1997091510,1,1
1997091511,1,2
1997091512,1,3
1997091515,1,1
1997091516,1,2
1997091517,1,3
1997091518,1,4
1997091521,1,1
1997091716,1,1
1997091717,1,2
1997091718,1,3
1997091719,1,4
1997091720,1,5
1997091721,1,6
1997091802,1,1
1997091804,1,1
1997091807,1,1
1997091808,1,2
1997091809,1,3
1997091913,1,1
1997092605,1,1
1997100119,1,1
1997100219,1,1
1997100220,1,2
1997100221,2,3
1997100222,2,4
1997100416,1,1
1997100417,1,2
1997100418,1,3
1997100419,1,4
1997100703,1,1
1997100705,1,1
1997100708,1,1
1997100912,1,1
1997100917,1,1
1997100918,1,2
1997100919,1,3
1997100920,1,4
1997101009,1,1
1997101018,1,1
1997101020,1,1
1997101021,2,2
1997101100,1,1
1997101101,1,2
1997101110,1,1
1997101204,1,1
1997102402,1,1
1997102409,1,1
1997102510,1,1
1997111915,1,1
1997111916,1,2
1997111917,1,3
1997111918,1,4
1997111919,1,5
1997112611,1,1
1997112620,1,1
1997120813,1,1
1997120821,1,1
1997120917,2,1
1997120918,1,2
1998010212,1,1
1998010221,1,1
1998010418,1,1
1998010419,1,2
1998010510,1,1
1998011115,1,1
1998011116,1,2
1998011117,1,3
1998011118,1,4
1998011119,1,5
1998011120,1,6
1998011121,1,7
1998011122,1,8
1998011200,1,1
1998011205,4,1
1998011308,1,1
1998011506,1,1
1998011510,1,1
1998011511,1,2
1998011512,1,3
1998011515,1,1
1998011516,1,2
1998011517,1,3
1998011519,1,1
1998011520,1,2
1998011820,1,1
1998011905,1,1
1998011906,1,2
1998011907,1,3
1998011908,1,4
1998012915,1,1
1998012916,1,2
1998012917,1,3
1998012918,1,4
1998020206,1,1
1998020207,1,2
1998020209,1,1
1998020210,1,2
1998020218,1,1
1998020306,1,1
1998020312,1,1
1998020315,1,1
1998020317,1,1
1998020318,1,2
1998020319,1,3
1998020320,1,4
1998020805,1,1
1998021420,1,1
1998021421,1,2
1998021422,1,3
1998021423,1,4
