OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997010116,1,1
1997010122,1,1
1997010203,1,1
1997010204,1,2
1997010207,1,1
1997010208,1,2
1997010209,1,3
1997010210,1,4
1997010211,1,5
1997010212,1,6
1997010213,1,7
1997010214,1,8
1997010218,1,1
1997010219,1,2
1997010220,1,3
1997010222,1,1
1997010320,1,1
1997010401,1,1
1997010612,1,1
1997012211,1,1
1997012212,1,2
1997012213,1,3
1997012214,1,4
1997012215,1,5
1997012216,1,6
1997012218,1,1
1997012221,1,1
1997012300,1,1
1997012301,1,2
1997012302,1,3
1997012303,1,4
1997012304,1,5
1997012305,1,6
1997012306,1,7
1997012307,1,8
1997012308,1,9
1997012517,1,1
1997012518,1,2
1997012519,1,3
1997012520,1,4
1997012521,1,5
1997012522,1,6
1997012600,1,1
1997012601,1,2
1997021219,1,1
1997022005,1,1
1997022006,2,2
1997030218,1,1
1997030219,1,2
1997030220,1,3
1997030221,1,4
1997030222,1,5
1997031116,1,1
1997031118,1,1
1997031119,1,2
1997031120,1,3
1997031714,1,1
1997032411,1,1
1997032412,1,2
1997032415,1,1
1997032417,1,1
1997032418,1,2
1997032419,1,3
1997032420,1,4
1997032421,1,5
1997032500,1,1
1997032709,1,1
1997032710,1,2
1997032714,2,1
1997032821,1,1
1997032904,1,1
1997033022,1,1
1997033115,1,1
1997040221,1,1
1997040303,1,1
1997040304,1,2
1997040305,1,3
1997040501,1,1
1997042318,1,1
1997042320,2,1
1997042721,1,1
1997050104,2,1
1997050116,1,1
1997050117,1,2
1997050120,1,1
1997051723,2,1
1997051800,1,2
1997052016,1,1
1997052017,1,2
1997052020,1,1
1997052022,1,1
1997052319,1,1
1997052322,1,1
1997052323,1,2
1997052400,1,3
1997052413,4,1
1997052506,1,1
1997052507,1,2
1997060420,1,1
1997060503,1,1
1997060818,1,1
1997061003,1,1
1997061019,1,1
1997061023,1,1
1997061301,2,1
1997061321,1,1
1997061407,1,1
1997061903,1,1
1997062119,1,1
1997062215,1,1
1997062714,1,1
1997062718,1,1
1997062719,1,2
1997062816,1,1
1997062819,1,1
1997062915,1,1
1997062917,1,1
1997062918,1,2
1997062919,1,3
1997063015,1,1
1997063016,1,2
1997063017,1,3
1997063018,1,4
1997063019,1,5
1997063020,1,6
1997063021,1,7
1997063022,1,8
1997070100,1,1
1997070101,2,2
1997070102,1,3
1997070222,1,1
1997070920,2,1
1997070921,1,2
1997071008,1,1
1997071010,1,1
1997071013,1,1
1997071014,1,2
1997071015,1,3
1997071016,1,4
1997071017,1,5
1997071018,1,6
1997071019,1,7
1997071020,1,8
1997071021,1,9
1997071022,1,10
1997071023,1,11
1997071102,1,1
1997071202,1,1
1997071714,1,1
1997072306,1,1
1997080403,1,1
1997081002,1,1
1997081103,4,1
1997081104,1,2
1997081201,2,1
1997081301,1,1
1997081801,1,1
1997082100,1,1
1997082101,1,2
1997082203,1,1
1997082204,1,2
1997082323,1,1
1997082416,1,1
1997082417,1,2
1997082418,1,3
1997082617,1,1
1997082618,1,2
1997082619,1,3
1997082716,1,1
1997082717,1,2
1997082718,1,3
1997082801,1,1
1997082802,2,2
1997082818,1,1
1997082819,1,2
1997082901,1,1
1997082902,1,2
1997082903,1,3
1997082906,1,1
1997083019,1,1
1997083020,1,2
1997083123,1,1
1997090400,1,1
1997091117,1,1
1997091119,1,1
1997091122,2,1
1997091317,1,1
1997091319,1,1
1997091420,1,1
1997091422,1,1
1997091510,1,1
1997091511,1,2
1997091516,1,1
1997091518,1,1
1997091520,1,1
1997091719,1,1
1997091720,1,2
1997091721,1,3
1997100119,1,1
1997100218,1,1
1997100219,1,2
1997100221,2,1
