OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997022410,1,1
1997022411,1,2
1997022415,1,1
1997022416,1,2
1997022417,1,3
1997022418,1,4
1997022419,1,5
1997022420,1,6
1997022421,1,7
1997022422,1,8
1997022500,1,1
1997030620,1,1
1997030621,1,2
1997030923,1,1
1997031018,1,1
1997031019,1,2
1997031020,1,3
1997031021,1,4
1997031022,1,5
1997031100,1,1
1997031116,1,1
1997031117,1,2
1997031118,1,3
1997031119,1,4
1997031120,1,5
1997031121,1,6
1997031122,1,7
1997031123,1,8
1997031200,1,9
1997031217,1,1
1997031218,1,2
1997031219,1,3
1997031220,1,4
1997031221,1,5
1997031222,1,6
1997031300,1,1
1997031301,1,2
1997031317,1,1
1997031320,1,1
1997031321,1,2
1997031322,1,3
1997031400,1,1
1997031520,1,1
1997031521,1,2
1997031819,1,1
1997032017,1,1
1997032018,1,2
1997032019,1,3
1997032020,1,4
1997032021,1,5
1997032022,1,6
1997032223,1,1
1997032322,1,1
1997032420,1,1
1997032421,1,2
1997032422,1,3
1997032500,1,1
1997032501,1,2
1997032516,1,1
1997032517,1,2
1997032518,1,3
1997032519,1,4
1997032520,1,5
1997032521,1,6
1997032618,1,1
1997032619,1,2
1997032620,1,3
1997032621,1,4
1997032622,1,5
1997032709,1,1
1997032922,1,1
1997033000,1,1
1997033001,1,2
1997033016,1,1
1997033017,1,2
1997033018,1,3
1997033019,1,4
1997033020,1,5
1997033021,1,6
1997033022,1,7
1997033100,1,1
1997033101,1,2
1997033102,1,3
1997033103,1,4
1997033105,1,1
1997033106,1,2
1997033107,1,3
1997033108,1,4
1997033109,1,5
1997033110,1,6
1997033111,1,7
1997033112,1,8
1997033113,1,9
1997033114,1,10
1997040717,1,1
1997040718,1,2
1997040719,1,3
1997040720,1,4
1997040721,1,5
1997040722,1,6
1997040800,1,1
1997041218,1,1
1997041522,1,1
1997041523,1,2
1997041600,1,3
1997041616,1,1
1997041617,1,2
1997041618,1,3
1997041620,1,1
1997041621,1,2
1997041622,1,3
1997041623,1,4
1997041700,1,5
1997041714,1,1
1997041718,1,1
1997041719,1,2
1997041720,1,3
1997041721,1,4
1997041722,1,5
1997041723,1,6
1997041800,1,7
1997041823,1,1
1997041900,1,2
1997042718,1,1
1997050315,1,1
1997050320,1,1
1997050321,1,2
1997050322,1,3
