MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,1,23,4.35
0102,0,23,0.00
0103,0,23,0.00
0104,0,23,0.00
0105,1,23,4.35
0106,1,23,4.35
0107,0,23,0.00
0108,0,23,0.00
0109,1,23,4.35
0110,0,23,0.00
0111,0,23,0.00
0112,0,23,0.00
0113,0,23,0.00
0114,0,23,0.00
0115,0,23,0.00
0116,1,24,4.17
0117,1,25,4.00
0118,0,25,0.00
0119,0,25,0.00
0120,0,25,0.00
0121,2,25,8.00
0122,0,25,0.00
0123,0,25,0.00
0124,0,25,0.00
0125,0,25,0.00
0126,0,25,0.00
0127,0,25,0.00
0128,0,24,0.00
0129,0,24,0.00
0130,0,24,0.00
0131,0,24,0.00
0201,1,24,4.17
0202,2,24,8.33
0203,2,24,8.33
0204,0,24,0.00
0205,2,23,8.70
0206,1,24,4.17
0207,0,24,0.00
0208,0,24,0.00
0209,0,23,0.00
0210,0,23,0.00
0211,0,23,0.00
0212,0,24,0.00
0213,0,24,0.00
0214,1,23,4.35
0215,1,23,4.35
0216,0,23,0.00
0217,1,23,4.35
0218,1,23,4.35
0219,1,24,4.17
0220,1,24,4.17
0221,0,23,0.00
0222,0,24,0.00
0223,0,24,0.00
0224,1,24,4.17
0225,1,24,4.17
0226,0,24,0.00
0227,0,23,0.00
0228,0,22,0.00
0229,0,5,0.00
0301,0,23,0.00
0302,1,23,4.35
0303,0,23,0.00
0304,0,22,0.00
0305,0,21,0.00
0306,1,23,4.35
0307,0,22,0.00
0308,0,22,0.00
0309,0,22,0.00
0310,0,23,0.00
0311,0,23,0.00
0312,0,23,0.00
0313,1,21,4.76
0314,1,22,4.55
0315,1,23,4.35
0316,1,23,4.35
0317,1,23,4.35
0318,1,23,4.35
0319,1,23,4.35
0320,0,23,0.00
0321,0,23,0.00
0322,1,23,4.35
0323,0,23,0.00
0324,0,23,0.00
0325,0,23,0.00
0326,0,23,0.00
0327,0,23,0.00
0328,0,23,0.00
0329,1,22,4.55
0330,0,22,0.00
0331,1,22,4.55
0401,0,21,0.00
0402,0,22,0.00
0403,0,23,0.00
0404,1,23,4.35
0405,1,23,4.35
0406,1,23,4.35
0407,0,23,0.00
0408,0,23,0.00
0409,1,23,4.35
0410,2,23,8.70
0411,1,23,4.35
0412,0,23,0.00
0413,1,23,4.35
0414,2,22,9.09
0415,1,23,4.35
0416,2,23,8.70
0417,0,23,0.00
