MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,7,22,31.82
0102,10,22,45.45
0103,11,22,50.00
0104,8,22,36.36
0105,10,22,45.45
0106,8,22,36.36
0107,6,22,27.27
0108,6,22,27.27
0109,6,22,27.27
0110,7,22,31.82
0111,5,22,22.73
0112,3,22,13.64
0113,6,22,27.27
0114,8,23,34.78
0115,10,23,43.48
0116,9,23,39.13
0117,8,24,33.33
0118,8,24,33.33
0119,8,24,33.33
0120,9,24,37.50
0121,5,24,20.83
0122,9,24,37.50
0123,10,24,41.67
0124,9,24,37.50
0125,7,24,29.17
0126,9,24,37.50
0127,8,24,33.33
0128,9,23,39.13
0129,8,23,34.78
0130,8,23,34.78
0131,9,23,39.13
0201,7,23,30.43
0202,7,23,30.43
0203,4,23,17.39
0204,7,23,30.43
0205,4,22,18.18
0206,6,23,26.09
0207,8,23,34.78
0208,7,23,30.43
0209,9,22,40.91
0210,5,22,22.73
0211,6,22,27.27
0212,7,23,30.43
0213,6,23,26.09
0214,7,22,31.82
0215,8,22,36.36
0216,5,22,22.73
0217,8,22,36.36
0218,7,22,31.82
0219,5,23,21.74
0220,5,23,21.74
0221,8,22,36.36
0222,5,23,21.74
0223,4,23,17.39
0224,7,23,30.43
0225,7,23,30.43
0226,10,23,43.48
0227,7,22,31.82
0228,5,21,23.81
0229,2,5,40.00
0301,4,22,18.18
0302,5,22,22.73
0303,7,22,31.82
0304,11,21,52.38
0305,11,21,52.38
0306,11,23,47.83
0307,8,22,36.36
0308,6,22,27.27
0309,11,22,50.00
0310,11,23,47.83
0311,13,23,56.52
0312,9,23,39.13
0313,12,21,57.14
0314,13,22,59.09
0315,16,23,69.57
0316,17,23,73.91
0317,13,23,56.52
0318,12,23,52.17
0319,13,23,56.52
0320,9,23,39.13
0321,9,23,39.13
0322,11,23,47.83
0323,8,23,34.78
0324,8,23,34.78
0325,10,23,43.48
0326,12,23,52.17
0327,11,23,47.83
0328,9,23,39.13
0329,7,22,31.82
0330,9,22,40.91
0331,8,22,36.36
0401,8,21,38.10
0402,7,22,31.82
0403,8,23,34.78
0404,12,23,52.17
0405,15,23,65.22
0406,14,23,60.87
0407,10,23,43.48
0408,15,23,65.22
0409,11,23,47.83
0410,11,23,47.83
0411,13,23,56.52
0412,12,23,52.17
0413,13,23,56.52
0414,14,22,63.64
0415,15,23,65.22
0416,12,23,52.17
0417,9,23,39.13
0418,12,23,52.17
0419,12,22,54.55
0420,12,22,54.55
0421,15,21,71.43
0422,15,22,68.18
0423,15,22,68.18
0424,15,22,68.18
0425,12,22,54.55
0426,8,22,36.36
0427,13,22,59.09
0428,12,22,54.55
0429,14,22,63.64
0430,17,22,77.27
0501,15,22,68.18
0502,14,22,63.64
0503,14,22,63.64
0504,15,22,68.18
0505,18,22,81.82
0506,16,22,72.73
0507,13,22,59.09
0508,11,22,50.00
0509,12,22,54.55
0510,13,22,59.09
0511,15,22,68.18
0512,15,22,68.18
0513,15,22,68.18
0514,15,22,68.18
0515,16,22,72.73
0516,17,22,77.27
0517,17,22,77.27
0518,14,22,63.64
0519,12,22,54.55
0520,15,21,71.43
0521,17,22,77.27
0522,13,22,59.09
0523,13,21,61.90
0524,14,22,63.64
0525,17,22,77.27
0526,18,21,85.71
0527,16,21,76.19
0528,18,21,85.71
0529,15,21,71.43
0530,16,21,76.19
0531,17,20,85.00
0601,18,21,85.71
0602,20,21,95.24
0603,18,21,85.71
0604,19,21,90.48
0605,16,20,80.00
0606,18,20,90.00
0607,15,20,75.00
0608,18,21,85.71
0609,18,21,85.71
0610,17,21,80.95
0611,17,21,80.95
0612,18,21,85.71
0613,18,21,85.71
0614,17,21,80.95
0615,16,20,80.00
0616,17,20,85.00
0617,16,20,80.00
0618,17,20,85.00
0619,18,20,90.00
0620,19,20,95.00
0621,20,20,100.00
0622,18,20,90.00
0623,19,21,90.48
0624,19,22,86.36
0625,19,22,86.36
0626,21,22,95.45
0627,21,22,95.45
0628,20,22,90.91
0629,21,22,95.45
0630,20,22,90.91
0701,19,22,86.36
0702,20,22,90.91
0703,19,22,86.36
0704,16,22,72.73
0705,15,22,68.18
0706,13,22,59.09
0707,15,22,68.18
0708,15,22,68.18
0709,14,21,66.67
0710,14,22,63.64
0711,13,22,59.09
0712,16,22,72.73
0713,16,22,72.73
0714,17,22,77.27
0715,15,22,68.18
0716,14,22,63.64
0717,12,22,54.55
0718,16,22,72.73
0719,14,22,63.64
0720,13,22,59.09
0721,12,22,54.55
0722,10,22,45.45
0723,13,22,59.09
0724,10,22,45.45
0725,9,22,40.91
0726,7,22,31.82
0727,7,22,31.82
0728,11,22,50.00
0729,11,22,50.00
0730,9,23,39.13
0731,9,24,37.50
0801,10,24,41.67
0802,8,24,33.33
0803,7,24,29.17
0804,9,24,37.50
0805,15,24,62.50
0806,14,24,58.33
0807,16,24,66.67
0808,13,24,54.17
0809,14,24,58.33
0810,14,24,58.33
0811,15,24,62.50
0812,15,24,62.50
0813,13,24,54.17
0814,13,24,54.17
0815,13,24,54.17
0816,16,24,66.67
0817,12,24,50.00
0818,12,24,50.00
0819,11,24,45.83
0820,11,24,45.83
0821,13,24,54.17
0822,9,24,37.50
0823,10,24,41.67
0824,12,24,50.00
0825,14,24,58.33
0826,11,24,45.83
0827,12,24,50.00
0828,13,24,54.17
0829,15,24,62.50
0830,16,24,66.67
0831,14,24,58.33
0901,16,23,69.57
0902,17,24,70.83
0903,14,24,58.33
0904,15,24,62.50
0905,12,24,50.00
0906,12,24,50.00
0907,11,23,47.83
0908,13,24,54.17
0909,15,24,62.50
0910,10,24,41.67
0911,12,24,50.00
0912,15,24,62.50
0913,16,24,66.67
0914,15,24,62.50
0915,14,24,58.33
0916,13,24,54.17
0917,14,24,58.33
0918,14,24,58.33
0919,16,24,66.67
0920,18,24,75.00
0921,15,24,62.50
0922,16,24,66.67
0923,13,24,54.17
0924,16,24,66.67
0925,17,24,70.83
0926,17,24,70.83
0927,16,24,66.67
0928,15,24,62.50
0929,13,24,54.17
0930,16,24,66.67
1001,16,24,66.67
1002,13,24,54.17
1003,10,24,41.67
1004,8,24,33.33
1005,11,24,45.83
