OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1998030710,1,1
1998030711,1,2
1998030713,1,1
1998061700,1,1
2002020811,1,1
2004111316,1,1
2004111703,1,1
2004111704,1,2
2004111705,1,3
2004111706,1,4
2004111707,1,5
2004111708,1,6
2004111709,1,7
2004111711,1,1
2004111712,1,2
2004111715,1,1
2004111716,1,2
2004111717,1,3
2004111718,1,4
2006080106,1,1
2013022421,1,1
2013040907,1,1
2013040922,1,1
2013041000,1,1
2013041002,1,1
2014021923,1,1
2014031520,1,1
2014051113,1,1
2014051114,1,2
2014051115,1,3
2014051116,1,4
2014051117,1,5
2014051118,1,6
2014051119,1,7
2015041503,1,1
2015111700,1,1
2015111701,1,2
2015111702,1,3
2015111703,1,4
2015111705,1,1
2015111706,1,2
2016092300,1,1
2019031314,1,1
2019031315,1,2
2020090817,1,1
