OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1998073120,1,1
1998073122,1,1
1998080100,1,1
1998081901,1,1
1998090822,1,1
1998091821,1,1
1998092022,1,1
1998092023,1,2
1998100323,1,1
1998100508,1,1
1998100510,1,1
1998100511,1,2
1998100512,1,3
1998100513,1,4
1998101617,1,1
1998101618,1,2
1998101619,1,3
1998101620,1,4
1998101621,1,5
1998101622,1,6
1998101623,1,7
1998101700,1,8
1998101701,1,9
1998101702,1,10
1998101703,1,11
1998101705,1,1
1998101706,1,2
1998101707,1,3
1998101708,1,4
1998102515,1,1
1998110820,1,1
1998110923,1,1
1998111720,1,1
1998111722,1,1
1998120411,1,1
1998120420,1,1
1998120906,1,1
1998120907,1,2
1998120908,1,3
1998120910,1,1
1998120911,1,2
1998120912,1,3
1998120913,1,4
1998120914,1,5
1998120915,1,6
1998120916,1,7
1998120917,1,8
1998120921,1,1
1998122003,1,1
1998122004,1,2
1998122005,1,3
1998122008,1,1
1998122101,1,1
1998122102,1,2
1998122111,1,1
1998122821,1,1
1998123121,1,1
1999010102,1,1
1999010103,1,2
1999010104,1,3
1999010106,1,1
1999010107,1,2
1999010108,1,3
1999010109,1,4
1999010110,1,5
1999010111,1,6
1999010112,1,7
1999010113,1,8
1999010114,1,9
1999010115,1,10
1999010116,1,11
1999010117,1,12
1999010118,1,13
1999010122,1,1
1999010123,1,2
1999010300,1,1
1999010306,1,1
1999010307,1,2
1999010308,1,3
1999010309,1,4
1999010814,1,1
1999010816,1,1
1999011219,1,1
1999011614,1,1
1999012111,1,1
1999012113,1,1
1999012114,1,2
1999012116,1,1
1999012117,1,2
1999012118,1,3
1999012119,1,4
1999012122,1,1
1999012123,1,2
1999012207,1,1
1999012522,1,1
1999012609,1,1
1999012611,1,1
1999012613,1,1
1999012614,1,2
1999073020,1,1
1999073102,1,1
1999073108,1,1
1999073120,1,1
1999080108,1,1
1999080120,1,1
1999080208,1,1
1999080220,1,1
1999080308,1,1
1999080320,1,1
1999080408,1,1
1999080420,1,1
1999080508,1,1
1999080520,1,1
1999080608,1,1
1999080620,1,1
1999080708,1,1
1999080720,1,1
1999080808,1,1
1999080820,1,1
1999080908,1,1
1999080920,1,1
1999081008,1,1
1999081020,1,1
1999081108,1,1
1999081120,2,1
1999081121,1,2
1999081208,1,1
1999081220,1,1
1999081308,1,1
1999081320,1,1
1999081408,1,1
1999081420,1,1
1999081508,1,1
1999081520,1,1
1999081608,1,1
1999090121,1,1
1999090122,1,2
1999091818,1,1
1999100701,1,1
1999100710,1,1
1999100711,1,2
1999100805,1,1
1999101701,1,1
1999102819,1,1
1999102820,1,2
1999102912,1,1
1999102913,1,2
1999102914,1,3
1999102918,1,1
1999111717,1,1
1999111720,1,1
1999111721,1,2
1999111722,1,3
1999111723,1,4
1999112205,1,1
1999112206,1,2
1999112207,1,3
1999112208,1,4
1999112209,1,5
