OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
1997011519,1,1
1997011716,1,1
1997011717,1,2
1997011718,1,3
1997011719,1,4
1997011720,1,5
1997011721,1,6
1997011722,1,7
1997011723,1,8
1997011816,1,1
1997011817,1,2
1997011818,1,3
1997011819,1,4
1997011820,1,5
1997011821,1,6
1997011822,1,7
1997011823,1,8
1997011917,1,1
1997011918,1,2
1997011919,1,3
1997011920,1,4
1997011921,1,5
1997011922,1,6
1997012918,1,1
1997012919,1,2
1997012920,1,3
1997012921,1,4
1997013016,1,1
1997013017,1,2
1997013018,1,3
1997013019,1,4
1997013020,1,5
1997013021,1,6
1997013022,1,7
1997013116,1,1
1997013117,1,2
1997013118,1,3
1997013119,1,4
1997013120,1,5
1997013121,1,6
1997013122,1,7
1997020117,1,1
1997020118,1,2
1997020119,1,3
1997020120,1,4
1997020316,1,1
1997020317,1,2
1997020318,1,3
1997020319,1,4
1997020320,1,5
1997020323,1,1
1997020701,1,1
1997020703,1,1
1997020704,1,2
1997020705,1,3
1997020706,1,4
1997020707,1,5
1997020708,1,6
1997020709,1,7
1997020710,1,8
1997020711,1,9
1997020712,1,10
1997020713,1,11
1997020714,1,12
1997020715,1,13
1997020716,1,14
1997020717,1,15
1997020718,1,16
1997020719,1,17
1997020720,1,18
1997020721,1,19
1997020722,1,20
1997020723,1,21
1997020820,1,1
1997020821,1,2
1997020822,1,3
1997020916,1,1
1997020917,1,2
1997020918,1,3
1997020919,1,4
1997020920,1,5
1997020921,1,6
1997020922,1,7
1997020923,1,8
1997021016,1,1
1997021017,1,2
1997021018,1,3
1997021019,1,4
1997021020,1,5
1997021021,1,6
1997021022,1,7
1997021116,1,1
1997021117,1,2
1997021118,1,3
1997021119,1,4
1997021120,1,5
1997021121,1,6
1997021122,1,7
1997021402,1,1
1997021403,1,2
1997021404,1,3
1997021405,1,4
1997021414,1,1
1997021415,1,2
1997021416,1,3
1997021417,1,4
1997021418,1,5
1997021419,1,6
1997021420,1,7
1997021421,1,8
1997021423,1,1
1997021516,1,1
1997021517,1,2
1997021518,1,3
1997021519,1,4
1997021520,1,5
1997021521,1,6
1997021522,1,7
1997021523,1,8
1997021618,1,1
1997021619,1,2
1997021620,1,3
1997021621,1,4
1997021622,1,5
1997021718,1,1
1997021720,1,1
1997021721,1,2
1997021822,1,1
1997021902,1,1
1997021903,1,2
1997021904,1,3
1997021905,1,4
1997021906,1,5
1997021907,1,6
1997021908,1,7
1997021909,1,8
1997021910,1,9
1997021911,1,10
1997021912,1,11
1997021913,1,12
1997021915,1,1
1997021916,1,2
1997021917,1,3
1997021918,1,4
1997021919,1,5
1997021920,1,6
1997021921,1,7
1997021922,1,8
1997021923,1,9
1997022116,1,1
1997022117,1,2
1997022118,1,3
1997022119,1,4
1997022120,1,5
1997022121,1,6
1997022122,1,7
1997022123,1,8
1997022416,1,1
1997022417,1,2
1997022418,1,3
1997022419,1,4
1997022519,1,1
1997022520,1,2
1997022521,1,3
1997022522,1,4
1997022523,1,5
1997022600,1,6
1997022601,1,7
1997030116,1,1
1997030117,1,2
1997030118,1,3
1997030119,1,4
1997030204,1,1
1997030215,1,1
1997030216,1,2
1997030217,1,3
1997030218,1,4
1997030219,1,5
1997030417,1,1
1997030418,1,2
1997030419,1,3
1997030420,1,4
1997030421,1,5
1997030422,1,6
1997030515,1,1
1997030516,1,2
1997030517,1,3
1997030518,1,4
1997030519,1,5
1997030520,1,6
1997030521,1,7
1997030522,1,8
1997030523,1,9
1997030600,1,10
1997030615,1,1
1997030616,1,2
1997030617,1,3
1997030618,1,4
1997030619,1,5
1997030620,1,6
1997030621,1,7
1997030622,1,8
1997030623,1,9
1997030700,1,10
1997030701,1,11
1997030702,1,12
1997030703,1,13
1997030715,1,1
1997030716,1,2
1997030717,1,3
1997030718,1,4
1997030719,1,5
1997030720,1,6
1997030721,1,7
1997030722,1,8
1997030723,1,9
1997030800,1,10
1997030814,1,1
1997030815,1,2
1997030816,1,3
1997030817,1,4
1997030818,1,5
1997030819,1,6
1997030820,1,7
1997030821,1,8
1997030822,1,9
1997030823,1,10
1997030900,1,11
1997030915,1,1
1997030916,1,2
1997030917,1,3
1997030918,1,4
1997030919,1,5
1997030920,1,6
1997030921,1,7
1997030922,1,8
1997030923,1,9
1997031000,1,10
1997031015,1,1
1997031016,1,2
1997031017,1,3
1997031018,1,4
1997031019,1,5
1997031020,1,6
1997031021,1,7
1997031022,1,8
1997031023,1,9
1997031100,1,10
1997031115,1,1
1997031116,1,2
1997031117,1,3
1997031118,1,4
1997031119,1,5
1997031123,1,1
1997031200,1,2
1997031215,1,1
1997031216,1,2
1997031217,1,3
1997031218,1,4
1997031219,1,5
1997031220,1,6
1997031221,1,7
1997031222,1,8
1997031223,1,9
1997031300,1,10
1997031301,1,11
1997031302,1,12
1997031314,1,1
1997031315,1,2
1997031316,1,3
1997031317,1,4
1997031318,1,5
1997031319,1,6
1997031320,1,7
1997031321,1,8
1997031322,1,9
1997031323,1,10
1997031400,1,11
1997031411,1,1
1997031412,1,2
1997031413,1,3
1997031414,1,4
1997031415,1,5
1997031416,1,6
1997031417,1,7
1997031418,1,8
1997031419,1,9
1997031420,1,10
1997031421,1,11
1997031422,1,12
1997031423,1,13
1997031509,1,1
1997031510,1,2
1997031515,1,1
1997031516,1,2
1997031517,1,3
1997031518,1,4
1997031519,1,5
1997031520,1,6
1997031521,1,7
1997031522,1,8
1997031523,1,9
1997031600,1,10
1997031601,1,11
1997031602,1,12
1997031615,1,1
1997031616,1,2
1997031617,1,3
1997031618,1,4
1997031619,1,5
1997031620,1,6
1997031621,1,7
1997031622,1,8
1997031623,1,9
1997031700,1,10
1997031715,1,1
1997031716,1,2
1997031717,1,3
1997031718,1,4
1997031719,1,5
1997031720,1,6
1997031721,1,7
1997031722,1,8
1997031723,1,9
1997031800,1,10
1997031810,1,1
1997031811,1,2
1997031812,1,3
1997031814,1,1
1997031815,1,2
1997031816,1,3
1997031817,1,4
1997031818,1,5
1997031819,1,6
1997031820,1,7
1997031821,1,8
1997031822,1,9
1997031823,1,10
1997031900,1,11
1997031915,1,1
1997031916,1,2
1997031917,1,3
1997031918,1,4
1997031919,1,5
1997031920,1,6
1997031921,1,7
1997031922,1,8
1997031923,1,9
1997032000,1,10
1997032015,1,1
1997032016,1,2
1997032102,1,1
1997032103,1,2
1997032108,1,1
1997032109,1,2
1997032112,1,1
1997032115,1,1
1997032116,1,2
1997032120,1,1
1997032121,1,2
1997032122,1,3
1997032123,1,4
1997032200,1,5
1997032201,1,6
1997032202,1,7
1997032203,1,8
1997032215,1,1
1997032216,1,2
1997032217,1,3
1997032218,1,4
1997032219,1,5
1997032220,1,6
1997032221,1,7
1997032222,1,8
1997032223,1,9
1997032300,1,10
1997032301,1,11
1997032302,1,12
1997032315,1,1
1997032316,1,2
1997032320,1,1
1997032321,1,2
1997032322,1,3
1997032323,1,4
1997032400,1,5
1997032401,1,6
1997032406,1,1
1997032500,1,1
1997032501,1,2
1997032503,1,1
1997032506,1,1
1997032508,1,1
1997032509,1,2
1997032510,1,3
1997032511,1,4
1997032512,1,5
1997032513,1,6
1997032514,1,7
1997032515,1,8
1997032516,1,9
1997032615,1,1
1997032616,1,2
1997032617,1,3
1997032618,1,4
1997032619,1,5
1997032620,1,6
1997032621,1,7
1997032622,1,8
1997032623,1,9
1997032700,1,10
1997032701,1,11
1997032702,1,12
1997032703,1,13
1997032704,1,14
1997032705,1,15
1997032706,1,16
1997032707,1,17
1997032708,1,18
1997032709,1,19
1997032710,1,20
1997032714,1,1
1997032715,1,2
1997032716,1,3
1997032717,1,4
1997032718,1,5
1997032719,1,6
1997032720,1,7
1997032721,1,8
1997032722,1,9
1997032816,1,1
1997032817,1,2
1997032818,1,3
1997032819,1,4
1997032820,1,5
1997032821,1,6
1997032822,1,7
1997032823,1,8
1997032912,1,1
1997032913,1,2
1997032917,1,1
1997032918,1,2
1997032919,1,3
1997032920,1,4
1997032921,1,5
1997032922,1,6
1997032923,1,7
1997033000,1,8
1997033014,1,1
1997033015,1,2
1997033016,1,3
1997033017,1,4
1997033018,1,5
1997033019,1,6
1997033020,1,7
1997033021,1,8
