MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,8,0.00
0102,0,8,0.00
0103,0,8,0.00
0104,0,8,0.00
0105,0,8,0.00
0106,0,8,0.00
0107,0,8,0.00
0108,0,8,0.00
0109,0,8,0.00
0110,0,8,0.00
0111,0,8,0.00
0112,0,8,0.00
0113,0,8,0.00
0114,0,8,0.00
0115,0,8,0.00
0116,0,8,0.00
0117,0,8,0.00
0118,0,8,0.00
0119,0,8,0.00
0120,0,8,0.00
0121,0,8,0.00
0122,0,8,0.00
0123,0,8,0.00
0124,0,8,0.00
0125,0,8,0.00
0126,0,8,0.00
0127,0,8,0.00
0128,0,8,0.00
0129,0,8,0.00
0130,0,8,0.00
0131,0,8,0.00
0201,0,8,0.00
0202,0,8,0.00
0203,0,8,0.00
0204,0,8,0.00
0205,0,8,0.00
0206,0,8,0.00
0207,0,8,0.00
0208,0,8,0.00
0209,0,8,0.00
0210,0,8,0.00
0211,0,8,0.00
0212,0,8,0.00
0213,0,8,0.00
0214,0,8,0.00
0215,0,8,0.00
0216,0,8,0.00
0217,0,8,0.00
0218,0,8,0.00
0219,0,8,0.00
0220,0,8,0.00
0221,1,8,12.50
0222,2,8,25.00
0223,1,8,12.50
0224,0,8,0.00
0225,0,8,0.00
0226,0,8,0.00
0227,0,8,0.00
0228,0,8,0.00
0229,0,2,0.00
0301,0,8,0.00
0302,0,8,0.00
0303,0,8,0.00
0304,0,8,0.00
0305,0,8,0.00
0306,0,8,0.00
0307,0,8,0.00
0308,0,8,0.00
0309,0,8,0.00
0310,0,8,0.00
0311,0,8,0.00
0312,0,8,0.00
0313,0,8,0.00
0314,0,8,0.00
0315,0,8,0.00
0316,0,8,0.00
0317,0,8,0.00
0318,0,8,0.00
0319,0,8,0.00
0320,1,8,12.50
0321,1,8,12.50
0322,0,8,0.00
0323,0,8,0.00
0324,0,8,0.00
0325,0,8,0.00
0326,0,8,0.00
0327,0,8,0.00
0328,0,8,0.00
0329,0,8,0.00
0330,0,8,0.00
0331,0,8,0.00
0401,0,8,0.00
0402,0,8,0.00
0403,0,8,0.00
0404,0,8,0.00
0405,0,8,0.00
0406,0,8,0.00
0407,0,8,0.00
0408,0,8,0.00
0409,1,8,12.50
0410,0,8,0.00
0411,0,8,0.00
0412,0,8,0.00
0413,0,8,0.00
0414,0,8,0.00
0415,0,8,0.00
0416,1,8,12.50
0417,0,8,0.00
0418,0,8,0.00
0419,0,8,0.00
0420,0,8,0.00
0421,0,8,0.00
0422,0,8,0.00
0423,0,8,0.00
0424,0,8,0.00
0425,0,8,0.00
0426,0,8,0.00
0427,0,8,0.00
0428,0,8,0.00
0429,0,8,0.00
0430,0,8,0.00
0501,0,8,0.00
0502,0,8,0.00
0503,0,8,0.00
0504,0,8,0.00
0505,1,8,12.50
0506,0,8,0.00
0507,0,8,0.00
0508,0,8,0.00
0509,0,8,0.00
0510,0,8,0.00
0511,0,8,0.00
0512,0,8,0.00
0513,0,8,0.00
0514,0,8,0.00
0515,0,8,0.00
0516,0,8,0.00
0517,0,8,0.00
0518,0,8,0.00
0519,0,8,0.00
0520,0,8,0.00
0521,0,8,0.00
0522,0,8,0.00
0523,0,8,0.00
0524,0,8,0.00
0525,0,8,0.00
0526,0,8,0.00
0527,0,8,0.00
0528,0,8,0.00
0529,0,8,0.00
0530,0,8,0.00
0531,0,8,0.00
0601,0,8,0.00
0602,0,8,0.00
0603,0,8,0.00
0604,0,8,0.00
0605,0,8,0.00
0606,0,8,0.00
0607,0,9,0.00
0608,0,9,0.00
0609,0,9,0.00
0610,0,9,0.00
0611,0,9,0.00
0612,0,9,0.00
0613,0,9,0.00
0614,0,9,0.00
0615,0,9,0.00
0616,0,9,0.00
0617,0,9,0.00
0618,0,9,0.00
0619,0,9,0.00
0620,0,9,0.00
0621,0,9,0.00
0622,0,9,0.00
0623,0,9,0.00
0624,0,9,0.00
0625,0,9,0.00
0626,0,9,0.00
0627,0,9,0.00
0628,0,9,0.00
0629,0,9,0.00
0630,0,9,0.00
0701,0,9,0.00
0702,0,9,0.00
0703,0,9,0.00
0704,0,9,0.00
0705,0,9,0.00
0706,0,9,0.00
0707,0,9,0.00
0708,0,9,0.00
0709,0,9,0.00
0710,0,9,0.00
0711,0,9,0.00
0712,0,9,0.00
0713,0,9,0.00
0714,0,9,0.00
0715,0,9,0.00
0716,0,9,0.00
0717,0,9,0.00
0718,0,9,0.00
0719,0,9,0.00
0720,0,9,0.00
0721,0,9,0.00
0722,0,9,0.00
0723,0,9,0.00
0724,0,9,0.00
0725,0,9,0.00
0726,0,9,0.00
0727,0,9,0.00
0728,0,9,0.00
0729,0,9,0.00
0730,0,9,0.00
0731,0,9,0.00
0801,0,9,0.00
0802,0,9,0.00
0803,0,9,0.00
0804,0,9,0.00
0805,0,9,0.00
0806,0,9,0.00
0807,0,9,0.00
0808,0,9,0.00
0809,0,9,0.00
0810,0,9,0.00
0811,0,9,0.00
0812,0,9,0.00
0813,0,9,0.00
0814,0,9,0.00
0815,0,9,0.00
0816,0,9,0.00
0817,0,9,0.00
0818,0,9,0.00
0819,0,9,0.00
0820,0,9,0.00
0821,0,9,0.00
0822,0,9,0.00
0823,0,9,0.00
0824,0,9,0.00
0825,0,9,0.00
0826,0,9,0.00
0827,0,9,0.00
0828,0,9,0.00
0829,0,9,0.00
0830,0,9,0.00
0831,0,9,0.00
0901,0,9,0.00
0902,0,9,0.00
0903,0,9,0.00
0904,0,9,0.00
0905,0,9,0.00
0906,0,9,0.00
0907,0,9,0.00
0908,1,9,11.11
0909,0,9,0.00
0910,0,9,0.00
0911,0,9,0.00
0912,0,9,0.00
0913,0,9,0.00
0914,0,9,0.00
0915,0,9,0.00
0916,0,9,0.00
0917,0,9,0.00
0918,0,9,0.00
0919,0,9,0.00
0920,0,9,0.00
0921,0,9,0.00
0922,0,9,0.00
0923,0,9,0.00
0924,0,9,0.00
0925,0,9,0.00
0926,0,9,0.00
0927,0,9,0.00
0928,0,9,0.00
0929,0,9,0.00
0930,0,9,0.00
1001,0,9,0.00
1002,0,9,0.00
1003,0,9,0.00
1004,1,9,11.11
1005,0,9,0.00
1006,0,9,0.00
1007,0,9,0.00
1008,0,9,0.00
1009,0,9,0.00
1010,0,9,0.00
1011,0,9,0.00
1012,0,9,0.00
1013,0,9,0.00
1014,0,9,0.00
1015,0,9,0.00
1016,0,9,0.00
1017,0,9,0.00
1018,0,9,0.00
1019,0,9,0.00
1020,0,9,0.00
1021,0,9,0.00
1022,0,9,0.00
1023,0,9,0.00
1024,0,9,0.00
1025,0,9,0.00
1026,0,9,0.00
1027,0,9,0.00
1028,0,9,0.00
1029,0,9,0.00
1030,0,9,0.00
1031,0,9,0.00
1101,0,9,0.00
1102,0,9,0.00
1103,0,9,0.00
1104,0,9,0.00
1105,0,9,0.00
1106,0,9,0.00
1107,0,9,0.00
1108,0,9,0.00
1109,0,9,0.00
1110,0,9,0.00
1111,0,9,0.00
1112,0,9,0.00
1113,0,9,0.00
1114,0,9,0.00
1115,0,9,0.00
1116,0,9,0.00
1117,0,9,0.00
1118,0,9,0.00
1119,0,9,0.00
1120,0,9,0.00
1121,1,9,11.11
1122,1,9,11.11
1123,1,9,11.11
1124,1,9,11.11
1125,0,9,0.00
1126,0,9,0.00
1127,1,9,11.11
1128,0,9,0.00
1129,0,9,0.00
1130,0,9,0.00
1201,0,9,0.00
1202,0,9,0.00
1203,0,9,0.00
1204,0,9,0.00
1205,0,8,0.00
1206,0,8,0.00
1207,0,8,0.00
1208,0,8,0.00
1209,0,8,0.00
1210,0,8,0.00
1211,0,8,0.00
1212,0,8,0.00
1213,0,8,0.00
1214,0,8,0.00
1215,0,8,0.00
1216,0,8,0.00
1217,0,8,0.00
1218,0,8,0.00
1219,0,8,0.00
1220,0,8,0.00
1221,0,8,0.00
1222,0,8,0.00
1223,0,8,0.00
1224,0,8,0.00
1225,0,8,0.00
1226,0,8,0.00
1227,0,8,0.00
1228,0,8,0.00
1229,0,8,0.00
1230,1,8,12.50
1231,0,8,0.00
