MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,8,0.00
0102,0,8,0.00
0103,0,8,0.00
0104,0,8,0.00
0105,0,8,0.00
0106,0,8,0.00
0107,0,8,0.00
0108,0,8,0.00
0109,0,8,0.00
0110,0,8,0.00
0111,0,8,0.00
0112,0,8,0.00
0113,0,8,0.00
0114,0,8,0.00
0115,0,8,0.00
0116,1,8,12.50
0117,1,8,12.50
0118,0,8,0.00
0119,0,8,0.00
0120,0,8,0.00
0121,0,8,0.00
0122,0,8,0.00
0123,0,8,0.00
0124,0,8,0.00
0125,1,8,12.50
0126,0,8,0.00
0127,0,8,0.00
0128,0,8,0.00
0129,0,8,0.00
0130,1,8,12.50
0131,1,8,12.50
0201,0,8,0.00
0202,1,8,12.50
0203,0,8,0.00
0204,0,8,0.00
0205,1,8,12.50
0206,1,8,12.50
0207,1,8,12.50
0208,1,8,12.50
0209,2,8,25.00
0210,1,8,12.50
0211,0,8,0.00
0212,2,8,25.00
0213,2,8,25.00
0214,2,8,25.00
0215,0,8,0.00
0216,2,8,25.00
0217,5,8,62.50
0218,4,8,50.00
0219,2,8,25.00
0220,2,8,25.00
0221,0,8,0.00
0222,0,8,0.00
0223,2,8,25.00
0224,3,8,37.50
0225,3,8,37.50
0226,5,8,62.50
0227,4,8,50.00
0228,1,8,12.50
0229,2,2,100.00
0301,2,8,25.00
0302,3,8,37.50
0303,2,8,25.00
0304,2,8,25.00
0305,4,8,50.00
0306,7,8,87.50
0307,5,8,62.50
0308,4,8,50.00
0309,4,8,50.00
0310,5,8,62.50
0311,3,8,37.50
0312,4,8,50.00
0313,4,8,50.00
0314,5,8,62.50
0315,5,8,62.50
0316,5,8,62.50
0317,6,8,75.00
0318,5,8,62.50
0319,5,8,62.50
0320,7,8,87.50
0321,6,8,75.00
0322,4,8,50.00
0323,3,8,37.50
0324,1,8,12.50
0325,3,8,37.50
0326,4,8,50.00
0327,4,8,50.00
0328,4,8,50.00
0329,3,8,37.50
0330,4,8,50.00
0331,4,8,50.00
0401,5,8,62.50
0402,4,8,50.00
0403,5,8,62.50
0404,7,8,87.50
0405,7,8,87.50
0406,4,8,50.00
0407,4,8,50.00
0408,7,8,87.50
0409,4,8,50.00
0410,5,8,62.50
0411,5,8,62.50
0412,7,8,87.50
0413,5,8,62.50
0414,5,8,62.50
0415,5,8,62.50
0416,3,8,37.50
0417,4,8,50.00
0418,5,8,62.50
0419,5,8,62.50
0420,5,8,62.50
0421,6,8,75.00
0422,7,8,87.50
0423,6,8,75.00
0424,4,8,50.00
0425,4,8,50.00
0426,3,8,37.50
0427,4,8,50.00
0428,5,8,62.50
0429,6,8,75.00
0430,7,8,87.50
0501,7,8,87.50
0502,8,8,100.00
0503,6,8,75.00
0504,8,8,100.00
0505,7,8,87.50
0506,7,8,87.50
0507,4,8,50.00
0508,2,8,25.00
0509,3,8,37.50
0510,3,8,37.50
0511,6,8,75.00
0512,6,8,75.00
0513,8,8,100.00
0514,7,8,87.50
0515,6,8,75.00
0516,6,8,75.00
0517,4,8,50.00
0518,3,8,37.50
0519,3,8,37.50
0520,5,8,62.50
0521,3,8,37.50
0522,4,8,50.00
0523,3,8,37.50
0524,4,8,50.00
0525,5,8,62.50
0526,6,8,75.00
0527,5,8,62.50
0528,4,8,50.00
0529,5,8,62.50
0530,6,8,75.00
0531,8,8,100.00
0601,7,8,87.50
0602,8,8,100.00
0603,8,8,100.00
0604,8,8,100.00
0605,8,8,100.00
0606,8,8,100.00
0607,6,9,66.67
0608,7,9,77.78
0609,9,9,100.00
0610,9,9,100.00
0611,9,9,100.00
0612,7,9,77.78
0613,8,9,88.89
0614,9,9,100.00
0615,9,9,100.00
0616,9,9,100.00
0617,7,9,77.78
0618,6,9,66.67
0619,9,9,100.00
0620,9,9,100.00
0621,9,9,100.00
0622,9,9,100.00
0623,9,9,100.00
0624,9,9,100.00
0625,9,9,100.00
0626,9,9,100.00
0627,8,9,88.89
0628,9,9,100.00
0629,8,9,88.89
0630,8,9,88.89
0701,9,9,100.00
0702,9,9,100.00
0703,9,9,100.00
0704,9,9,100.00
0705,9,9,100.00
0706,6,9,66.67
0707,6,9,66.67
0708,8,9,88.89
0709,8,9,88.89
0710,8,9,88.89
0711,9,9,100.00
0712,7,9,77.78
0713,8,9,88.89
0714,9,9,100.00
0715,8,9,88.89
0716,9,9,100.00
0717,8,9,88.89
0718,9,9,100.00
0719,9,9,100.00
0720,8,9,88.89
0721,8,9,88.89
0722,8,9,88.89
0723,9,9,100.00
0724,8,9,88.89
0725,8,9,88.89
0726,8,9,88.89
0727,7,9,77.78
0728,8,9,88.89
0729,7,9,77.78
0730,8,9,88.89
0731,8,9,88.89
0801,7,9,77.78
0802,9,9,100.00
0803,8,9,88.89
0804,8,9,88.89
0805,8,9,88.89
0806,8,9,88.89
0807,8,9,88.89
0808,5,9,55.56
0809,7,9,77.78
0810,9,9,100.00
0811,9,9,100.00
0812,8,9,88.89
0813,8,9,88.89
0814,8,9,88.89
0815,8,9,88.89
0816,9,9,100.00
0817,9,9,100.00
0818,9,9,100.00
0819,9,9,100.00
0820,8,9,88.89
0821,7,9,77.78
0822,8,9,88.89
0823,7,9,77.78
0824,8,9,88.89
0825,8,9,88.89
0826,7,9,77.78
0827,6,9,66.67
0828,7,9,77.78
0829,8,9,88.89
0830,9,9,100.00
0831,9,9,100.00
0901,7,9,77.78
0902,7,9,77.78
0903,8,9,88.89
0904,8,9,88.89
0905,8,9,88.89
0906,9,9,100.00
0907,7,9,77.78
0908,8,9,88.89
0909,6,9,66.67
0910,6,9,66.67
0911,6,9,66.67
0912,7,9,77.78
0913,8,9,88.89
0914,8,9,88.89
0915,5,9,55.56
0916,5,9,55.56
0917,8,9,88.89
0918,8,9,88.89
0919,9,9,100.00
0920,6,9,66.67
0921,7,9,77.78
0922,6,9,66.67
0923,5,9,55.56
0924,7,9,77.78
0925,5,9,55.56
0926,5,9,55.56
0927,5,9,55.56
0928,4,9,44.44
0929,5,9,55.56
0930,5,9,55.56
1001,5,9,55.56
1002,5,9,55.56
1003,5,9,55.56
1004,6,9,66.67
1005,5,9,55.56
1006,5,9,55.56
1007,7,9,77.78
1008,7,9,77.78
1009,6,9,66.67
1010,7,9,77.78
1011,7,9,77.78
1012,7,9,77.78
1013,7,9,77.78
1014,6,9,66.67
1015,6,9,66.67
1016,7,9,77.78
1017,5,9,55.56
1018,5,9,55.56
1019,4,9,44.44
1020,6,9,66.67
1021,7,9,77.78
1022,4,9,44.44
1023,5,9,55.56
1024,5,9,55.56
1025,6,9,66.67
1026,6,9,66.67
1027,5,9,55.56
1028,8,9,88.89
1029,6,9,66.67
1030,4,9,44.44
1031,4,9,44.44
1101,5,9,55.56
1102,6,9,66.67
1103,4,9,44.44
1104,1,9,11.11
1105,3,9,33.33
1106,3,9,33.33
1107,3,9,33.33
1108,4,9,44.44
1109,4,9,44.44
1110,3,9,33.33
1111,3,9,33.33
1112,4,9,44.44
1113,4,9,44.44
1114,4,9,44.44
1115,4,9,44.44
1116,3,9,33.33
1117,1,9,11.11
1118,1,9,11.11
1119,3,9,33.33
1120,3,9,33.33
1121,3,9,33.33
1122,4,9,44.44
1123,1,9,11.11
1124,2,9,22.22
1125,2,9,22.22
1126,2,9,22.22
1127,3,9,33.33
1128,2,9,22.22
1129,2,9,22.22
1130,1,9,11.11
1201,0,9,0.00
1202,1,9,11.11
1203,1,9,11.11
1204,0,9,0.00
1205,1,8,12.50
1206,2,8,25.00
1207,1,8,12.50
1208,1,8,12.50
1209,1,8,12.50
1210,1,8,12.50
1211,0,8,0.00
1212,0,8,0.00
1213,0,8,0.00
1214,0,8,0.00
1215,0,8,0.00
1216,0,8,0.00
1217,0,8,0.00
1218,0,8,0.00
1219,0,8,0.00
1220,1,8,12.50
1221,1,8,12.50
1222,2,8,25.00
1223,2,8,25.00
1224,0,8,0.00
1225,0,8,0.00
1226,0,8,0.00
1227,0,8,0.00
1228,0,8,0.00
1229,1,8,12.50
1230,1,8,12.50
1231,1,8,12.50
