OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012070709,2,1
2012081101,1,1
2012090200,3,1
2012101622,2,1
2012120303,4,1
2013032111,7,1
2013032112,2,2
2013040908,1,1
2013050505,5,1
2013050506,10,2
2013050507,6,3
2013050508,12,4
2013050509,12,5
2013050510,8,6
2013060305,3,1
2013063009,4,1
2013063010,9,2
2013063011,9,3
2013070723,1,1
2013071404,2,1
2013071405,1,2
2013071623,2,1
2013080821,2,1
2013080822,1,2
2013080823,1,3
2013081406,5,1
2013081801,1,1
2013082306,2,1
2013091213,2,1
2013112119,8,1
2013112120,2,2
2013112200,10,1
2013112201,12,2
2013112202,12,3
2013112203,12,4
2013112204,12,5
2013112205,12,6
2013112206,12,7
2013112207,12,8
2013112208,12,9
2013112209,12,10
2013112210,4,11
2013112211,1,12
2013112212,2,13
2013112213,3,14
2013112214,8,15
2013112216,3,1
2013112218,3,1
2013112219,3,2
2013112302,2,1
2013112303,12,2
2013112304,9,3
2013112305,8,4
2013112306,3,5
2013112308,5,1
2013112309,12,2
2013112310,12,3
2013112311,2,4
2013112313,8,1
2013112314,7,2
2013112315,12,3
2013112316,12,4
2013112317,12,5
2013112318,7,6
2013112322,7,1
2013112323,9,2
2013112400,7,3
2013112401,3,4
2013112402,4,5
2013112403,8,6
2014011206,3,1
2014011207,8,2
2014013003,7,1
2014013004,1,2
2014021620,1,1
2014031100,3,1
2014031717,1,1
2014041307,4,1
2014042222,2,1
2014052010,1,1
2014071501,1,1
2014080706,1,1
2014080707,1,2
2014090712,1,1
2014090713,1,2
2014092803,6,1
2014092804,11,2
2014092805,11,3
2014092806,3,4
2014092807,4,5
2014110120,1,1
2014111010,3,1
2014111011,10,2
2014123005,4,1
2014123006,3,2
2014123007,12,3
2014123008,11,4
2014123009,10,5
2014123010,12,6
2014123011,12,7
2014123012,12,8
2014123013,12,9
2014123014,12,10
2014123015,12,11
2014123016,12,12
2014123017,12,13
2014123018,12,14
2014123019,10,15
2014123020,7,16
2014123021,9,17
2014123022,9,18
2014123100,1,1
2014123102,3,1
2014123103,2,2
2014123104,4,3
2014123105,8,4
2014123106,1,5
2015012915,1,1
2015022210,5,1
2015022211,4,2
2015022212,4,3
