OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012060904,1,1
2012060923,1,1
2012061902,1,1
2012062323,1,1
2012062618,1,1
2012070122,1,1
2012070709,6,1
2012070710,1,2
2012070909,2,1
2012071102,1,1
2012071103,2,2
2012071104,2,3
2012071203,1,1
2012071400,5,1
2012071702,1,1
2012071703,4,2
2012072200,1,1
2012072306,4,1
2012072307,1,2
2012080601,1,1
2012081101,4,1
2012081102,1,2
2012090105,2,1
2012090200,8,1
2012091020,1,1
2012101622,7,1
2012101623,2,2
2012102216,1,1
2012102220,1,1
2012102223,1,1
2012102300,1,2
2012102303,1,1
2012110816,1,1
2012110817,1,2
2012110818,1,3
2012110819,2,4
2012110904,2,1
2012110906,2,1
2012110909,3,1
2012110910,1,2
2012112203,1,1
2012113016,1,1
2012113021,2,1
2012113022,4,2
2012120100,3,1
2012120217,1,1
2012120218,1,2
2012120220,1,1
2012120222,1,1
2012120223,8,2
2012120300,7,3
2012120301,7,4
2012120302,3,5
2012120303,8,6
2012121211,1,1
2012121213,1,1
2012121722,1,1
2012121723,7,2
2012121800,3,3
2013011013,3,1
2013022316,1,1
2013030618,2,1
2013030619,2,2
2013030620,4,3
2013031707,1,1
2013032111,9,1
2013032112,3,2
2013040905,4,1
2013040907,6,1
2013040908,7,2
2013041322,2,1
2013041505,3,1
2013050415,1,1
2013050504,5,1
2013050505,11,2
2013050506,12,3
2013050507,12,4
2013050508,12,5
2013050509,12,6
2013050510,12,7
2013050511,12,8
2013050512,9,9
2013050513,11,10
2013050514,5,11
2013050515,1,12
2013060305,7,1
2013061317,1,1
2013061318,1,2
2013061402,1,1
2013063009,5,1
2013063010,12,2
2013063011,12,3
2013063012,1,4
2013070106,1,1
2013070107,2,2
2013070408,1,1
2013070412,4,1
2013070605,3,1
2013070606,3,2
2013070704,2,1
2013070721,1,1
2013070723,4,1
2013070821,1,1
2013070822,1,2
2013071400,1,1
2013071401,1,2
2013071404,5,1
2013071405,6,2
2013071506,3,1
2013071623,5,1
2013071700,7,2
2013071701,3,3
2013071802,3,1
2013071803,1,2
2013080821,12,1
2013080822,5,2
2013080823,7,3
2013080900,2,4
2013080901,2,5
2013080902,1,6
2013081404,2,1
2013081405,1,2
2013081406,7,3
2013081800,4,1
2013081801,4,2
2013082305,1,1
2013082306,7,2
2013090510,2,1
2013090700,4,1
2013090818,1,1
2013091014,1,1
2013091202,6,1
2013091203,1,2
2013091206,2,1
2013091208,1,1
2013091212,1,1
2013091213,10,2
2013091214,6,3
2013091215,3,4
2013091216,4,5
2013091723,2,1
