OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2012060721,8,1
2012060722,12,2
2012060723,12,3
2012060800,12,4
2012060801,12,5
2012060802,12,6
2012060803,12,7
2012060804,12,8
2012060805,12,9
2012060806,12,10
2012060807,12,11
2012060808,12,12
2012060809,12,13
2012060810,12,14
2012060811,12,15
2012060812,12,16
2012060813,12,17
2012060814,12,18
2012060815,12,19
2012060816,12,20
2012060817,12,21
2012060818,12,22
2012060819,12,23
2012060820,12,24
2012060821,12,25
2012060822,12,26
2012060823,12,27
2012060900,12,28
2012060901,12,29
2012060902,12,30
2012060903,12,31
2012060904,12,32
2012060905,12,33
2012060906,12,34
2012060907,12,35
2012060908,12,36
2012060909,12,37
2012060910,12,38
2012060911,12,39
2012060912,12,40
2012060913,12,41
2012060914,12,42
2012060915,12,43
2012060916,12,44
2012060917,12,45
2012060918,12,46
2012060919,12,47
2012060920,12,48
2012060921,12,49
2012060922,12,50
2012060923,12,51
2012061000,12,52
2012061001,12,53
2012061002,12,54
2012061003,12,55
2012061004,12,56
2012061005,12,57
2012061006,12,58
2012061007,12,59
2012061008,12,60
2012061009,12,61
2012061010,12,62
2012061011,12,63
2012061012,12,64
2012061013,12,65
2012061014,12,66
2012061015,12,67
2012061016,12,68
2012061017,12,69
2012061018,12,70
2012061019,12,71
2012061020,12,72
2012061021,12,73
2012061022,12,74
2012061023,12,75
2012061100,12,76
2012061101,12,77
2012061102,12,78
2012061103,12,79
2012061104,12,80
2012061105,12,81
2012061106,12,82
2012061107,12,83
2012061108,12,84
2012061109,12,85
2012061110,12,86
2012061111,12,87
2012061112,12,88
2012061113,12,89
2012061114,12,90
2012061115,12,91
2012061116,12,92
2012061117,12,93
2012061118,12,94
2012061119,12,95
2012061120,12,96
2012061121,12,97
2012061122,12,98
2012061123,12,99
2012061200,12,100
2012061201,12,101
2012061202,12,102
2012061203,12,103
2012061204,12,104
2012061205,12,105
2012061206,12,106
2012061207,12,107
2012061208,12,108
2012061209,12,109
2012061210,12,110
2012061211,12,111
2012061212,12,112
2012061213,12,113
2012061214,12,114
2012061215,12,115
2012061216,12,116
2012061217,12,117
2012061218,12,118
2012061219,12,119
2012061220,12,120
2012061221,12,121
2012061222,12,122
2012061223,12,123
2012061300,12,124
2012061301,12,125
2012061302,12,126
2012061303,12,127
2012061304,12,128
2012061305,12,129
2012061306,12,130
2012061307,12,131
2012061308,12,132
2012061309,12,133
2012061310,12,134
2012061311,12,135
2012061312,12,136
2012061313,12,137
2012061314,12,138
2012061315,12,139
2012061316,12,140
2012061317,12,141
2012061318,12,142
2012061319,12,143
2012061320,12,144
2012061321,12,145
2012061322,12,146
2012061323,12,147
2012061400,12,148
2012061401,12,149
2012061402,12,150
2012061403,12,151
2012061404,12,152
2012061405,12,153
2012061406,12,154
2012061407,12,155
2012061408,12,156
2012061409,12,157
2012061410,12,158
2012061411,12,159
2012061412,12,160
2012061413,12,161
2012061414,12,162
2012061415,12,163
2012061416,12,164
2012061417,12,165
2012061418,12,166
2012061419,12,167
2012061420,12,168
2012061421,12,169
2012061422,12,170
2012061423,12,171
2012061500,12,172
2012061501,12,173
2012061502,12,174
2012061503,12,175
2012061504,12,176
2012061505,12,177
