MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0702,1,1,100.00
0710,1,1,100.00
0711,1,1,100.00
0712,1,1,100.00
0713,1,1,100.00
0714,1,1,100.00
0715,1,1,100.00
0716,1,1,100.00
0717,1,1,100.00
0718,1,1,100.00
0719,1,1,100.00
0720,1,1,100.00
0721,1,1,100.00
0722,1,1,100.00
0723,0,1,0.00
0724,1,1,100.00
0725,1,1,100.00
0726,1,1,100.00
0727,1,1,100.00
0728,0,1,0.00
0729,1,1,100.00
0730,1,1,100.00
0731,1,1,100.00
0801,1,1,100.00
0802,1,1,100.00
0803,1,1,100.00
0804,1,1,100.00
0805,1,1,100.00
0806,1,1,100.00
0807,1,1,100.00
0808,1,1,100.00
0809,1,1,100.00
0810,1,1,100.00
0811,1,1,100.00
0812,1,1,100.00
0813,1,1,100.00
0814,1,1,100.00
0815,1,1,100.00
0816,1,1,100.00
0817,1,1,100.00
0818,1,1,100.00
0819,1,1,100.00
0820,1,1,100.00
0821,1,1,100.00
0822,1,1,100.00
0823,1,1,100.00
0824,1,1,100.00
0825,1,1,100.00
0826,1,1,100.00
0827,1,1,100.00
0828,1,1,100.00
0829,1,1,100.00
0830,1,1,100.00
0831,1,1,100.00
0901,1,1,100.00
0902,1,1,100.00
0903,1,1,100.00
0904,1,1,100.00
0905,1,1,100.00
0906,1,1,100.00
0907,0,1,0.00
0908,0,1,0.00
0909,0,1,0.00
0910,0,1,0.00
0911,1,1,100.00
0912,1,1,100.00
0913,1,1,100.00
0914,1,1,100.00
0915,1,1,100.00
0916,1,1,100.00
0917,1,1,100.00
0918,1,1,100.00
0919,1,1,100.00
0920,1,1,100.00
0921,1,1,100.00
0922,1,1,100.00
0923,1,1,100.00
0924,1,1,100.00
0925,1,1,100.00
0926,1,1,100.00
0927,0,1,0.00
0928,1,1,100.00
0929,1,1,100.00
0930,1,1,100.00
1001,1,1,100.00
1002,1,1,100.00
1003,1,1,100.00
1004,1,1,100.00
1005,1,1,100.00
1006,1,1,100.00
1007,1,1,100.00
1008,1,1,100.00
1009,1,1,100.00
1010,1,1,100.00
1011,1,1,100.00
1012,1,1,100.00
1013,1,1,100.00
1014,1,1,100.00
1015,0,1,0.00
1021,1,1,100.00
1022,1,1,100.00
1023,0,1,0.00
1024,1,1,100.00
1025,1,1,100.00
1026,0,1,0.00
1027,0,1,0.00
1028,0,1,0.00
1029,0,1,0.00
1030,1,1,100.00
1031,1,1,100.00
1101,1,1,100.00
1102,1,1,100.00
1103,1,1,100.00
1104,0,1,0.00
1105,1,1,100.00
1106,1,1,100.00
1107,1,1,100.00
1108,0,1,0.00
1109,0,1,0.00
1110,0,1,0.00
1111,0,1,0.00
1112,0,1,0.00
1113,1,1,100.00
1114,1,1,100.00
1115,1,1,100.00
1116,1,1,100.00
1117,1,1,100.00
1118,1,1,100.00
1119,1,1,100.00
1120,0,1,0.00
1121,0,1,0.00
1122,0,1,0.00
1123,0,1,0.00
1124,0,1,0.00
1125,0,1,0.00
1126,1,1,100.00
1127,0,1,0.00
1128,0,1,0.00
1129,0,1,0.00
1130,0,1,0.00
