OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2020071319,1,1
2020071321,2,1
2020071521,1,1
2020071522,2,2
2020071721,1,1
2020072319,1,1
2020072320,1,2
2020072321,1,3
2020072322,1,4
2020072821,1,1
2020072822,1,2
2020080323,1,1
2020080618,3,1
2020080621,2,1
2020080622,1,2
2020080623,1,3
2020081019,1,1
2020081023,1,1
2020081218,1,1
2020081220,1,1
2020081222,1,1
2020082221,1,1
2020082522,3,1
2020082718,2,1
2020082719,1,2
2020082720,1,3
2020082723,1,1
2020083017,1,1
2020083018,1,2
2020083019,1,3
2020083020,1,4
2020083021,1,5
2020083118,1,1
2020083120,1,1
2020090219,1,1
2020090220,1,2
2020090620,1,1
2020090717,1,1
2020090718,1,2
2020090815,1,1
2020090818,2,1
2020090822,2,1
2020090823,2,2
2020090908,1,1
2020090922,1,1
2020090923,1,2
2020091021,1,1
2020091119,1,1
2020091120,1,2
2020091819,2,1
2020091820,3,2
2020091821,2,3
2020091822,1,4
2020091911,1,1
2020091912,2,2
2020091913,1,3
2020091914,3,4
2020091915,1,5
2020092218,1,1
2020092418,3,1
2020092419,1,2
2020092420,2,3
2020092422,1,1
2020092520,1,1
2020092619,3,1
2020101018,3,1
2020101019,1,2
2020101020,2,3
2020101021,2,4
2020101022,1,5
2020101112,1,1
2020101416,1,1
2020101418,1,1
2020101420,2,1
2020102211,1,1
2020102216,1,1
2020102218,1,1
2020102219,1,2
2020102220,3,3
2020102221,3,4
2020102222,1,5
2020102416,7,1
2020102417,8,2
2020102418,7,3
2020102419,8,4
2020102420,4,5
2020102505,3,1
2020102506,1,2
2020102510,1,1
2020102718,1,1
2020102719,1,2
2020102720,2,3
2020102721,2,4
2020102722,1,5
2020102723,1,6
2020102920,1,1
2020102921,1,2
2020102922,1,3
2020103019,1,1
2020103020,1,2
2020103121,2,1
2020103122,2,2
2020110121,2,1
2020110122,1,2
2020110220,1,1
2020110221,1,2
2020110800,1,1
2020111019,1,1
