OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2020072319,1,1
2020072320,1,2
2020072321,1,3
2020072821,1,1
2020080323,1,1
2020080618,2,1
2020080621,2,1
2020080623,1,1
2020082522,2,1
2020082718,1,1
2020082719,1,2
2020082720,1,3
2020083020,1,1
2020090620,1,1
2020090718,1,1
2020090815,1,1
2020090818,2,1
2020090822,2,1
2020090823,2,2
2020090908,1,1
2020091021,1,1
2020091819,2,1
2020091820,3,2
2020091821,1,3
2020091911,1,1
2020091912,1,2
2020091913,1,3
2020091914,2,4
2020092120,1,1
2020092418,3,1
2020092419,1,2
2020092420,2,3
2020092422,1,1
2020101018,2,1
2020101019,1,2
2020101020,1,3
2020101021,1,4
2020101022,1,5
2020101420,1,1
2020102218,1,1
2020102220,2,1
2020102222,1,1
2020102416,2,1
2020102417,5,2
2020102418,6,3
2020102419,5,4
2020102420,2,5
2020102505,1,1
2020102506,1,2
2020102510,1,1
2020102720,2,1
2020102721,1,2
2020102722,1,3
2020103020,1,1
2020103121,1,1
2020103122,1,2
2020110220,1,1
2020110722,1,1
2020110800,1,1
2020111019,1,1
