MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0701,0,1,0.00
0702,0,1,0.00
0710,0,1,0.00
0711,0,1,0.00
0712,0,1,0.00
0713,0,1,0.00
0714,0,1,0.00
0715,0,1,0.00
0716,0,1,0.00
0717,0,1,0.00
0718,0,1,0.00
0719,0,1,0.00
0720,0,1,0.00
0721,0,1,0.00
0722,0,1,0.00
0723,0,1,0.00
0724,0,1,0.00
0725,0,1,0.00
0726,0,1,0.00
0727,0,1,0.00
0728,0,1,0.00
0729,0,1,0.00
0730,0,1,0.00
0731,0,1,0.00
0801,0,1,0.00
0802,0,1,0.00
0803,0,1,0.00
0804,0,1,0.00
0805,0,1,0.00
0806,0,1,0.00
0807,0,1,0.00
0808,0,1,0.00
0809,0,1,0.00
0810,0,1,0.00
0811,0,1,0.00
0812,0,1,0.00
0813,0,1,0.00
0814,0,1,0.00
0815,0,1,0.00
0816,0,1,0.00
0817,0,1,0.00
0818,0,1,0.00
0819,0,1,0.00
0820,0,1,0.00
0821,0,1,0.00
0822,0,1,0.00
0823,0,1,0.00
0824,0,1,0.00
0825,0,1,0.00
0826,0,1,0.00
0827,0,1,0.00
0828,0,1,0.00
0829,0,1,0.00
0830,0,1,0.00
0831,0,1,0.00
0901,0,1,0.00
0902,0,1,0.00
0903,0,1,0.00
0904,0,1,0.00
0905,0,1,0.00
0906,0,1,0.00
0907,0,1,0.00
0908,0,1,0.00
0909,0,1,0.00
0910,0,1,0.00
0911,0,1,0.00
0912,0,1,0.00
0913,0,1,0.00
0914,0,1,0.00
0915,0,1,0.00
0916,0,1,0.00
0917,0,1,0.00
0918,0,1,0.00
0919,0,1,0.00
0920,0,1,0.00
0921,0,1,0.00
0922,0,1,0.00
0923,0,1,0.00
0924,0,1,0.00
0925,0,1,0.00
0926,0,1,0.00
0927,0,1,0.00
0928,0,1,0.00
0929,0,1,0.00
0930,0,1,0.00
1001,0,1,0.00
1002,0,1,0.00
1003,0,1,0.00
1004,0,1,0.00
1005,0,1,0.00
1006,0,1,0.00
1007,0,1,0.00
1008,0,1,0.00
1009,0,1,0.00
1010,0,1,0.00
1011,0,1,0.00
1012,0,1,0.00
1013,0,1,0.00
1014,0,1,0.00
1021,0,1,0.00
1022,0,1,0.00
1023,0,1,0.00
1024,1,1,100.00
1025,0,1,0.00
1026,0,1,0.00
1027,0,1,0.00
1028,0,1,0.00
1029,0,1,0.00
1030,0,1,0.00
1031,0,1,0.00
1101,0,1,0.00
1102,0,1,0.00
1103,0,1,0.00
1104,0,1,0.00
1105,0,1,0.00
