OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2020070117,1,1
2020070118,1,2
2020070119,1,3
2020070120,3,4
2020070121,3,5
2020070122,2,6
2020070123,3,7
2020070217,1,1
2020070218,1,2
2020070219,2,3
2020070220,2,4
2020070221,3,5
2020070222,1,6
2020071014,2,1
2020071015,3,2
2020071016,3,3
2020071017,3,4
2020071018,3,5
2020071019,3,6
2020071020,3,7
2020071021,2,8
2020071022,3,9
2020071023,2,10
2020071100,2,11
2020071101,3,12
2020071114,1,1
2020071115,3,2
2020071116,3,3
2020071117,3,4
2020071118,3,5
2020071119,3,6
2020071120,3,7
2020071121,3,8
2020071122,3,9
2020071123,3,10
2020071200,3,11
2020071201,2,12
2020071216,3,1
2020071217,3,2
2020071218,3,3
2020071219,3,4
2020071220,3,5
2020071221,3,6
2020071222,3,7
2020071223,3,8
2020071300,3,9
2020071301,3,10
2020071318,1,1
2020071319,3,2
2020071320,3,3
2020071321,3,4
2020071322,3,5
2020071323,3,6
2020071400,3,7
2020071401,3,8
2020071402,1,9
2020071417,1,1
2020071418,3,2
2020071419,2,3
2020071420,3,4
2020071421,3,5
2020071422,3,6
2020071423,3,7
2020071500,3,8
2020071501,2,9
2020071515,2,1
2020071518,2,1
2020071519,2,2
2020071520,3,3
2020071521,3,4
2020071522,3,5
2020071523,3,6
2020071600,3,7
2020071601,2,8
2020071615,2,1
2020071616,3,2
2020071617,3,3
2020071618,3,4
2020071619,3,5
2020071620,3,6
2020071621,3,7
2020071622,3,8
2020071623,3,9
2020071700,3,10
2020071701,1,11
2020071716,3,1
2020071717,3,2
2020071718,3,3
2020071719,3,4
2020071720,3,5
2020071721,3,6
2020071722,3,7
2020071723,3,8
2020071800,3,9
2020071801,3,10
2020071802,1,11
2020071815,1,1
2020071816,3,2
2020071817,3,3
2020071818,3,4
2020071819,3,5
2020071820,3,6
2020071821,3,7
2020071822,3,8
2020071823,3,9
2020071900,3,10
2020071901,3,11
2020071916,1,1
2020071919,1,1
2020071920,3,2
2020071921,3,3
2020071922,3,4
2020071923,3,5
2020072000,3,6
2020072001,3,7
2020072015,2,1
2020072016,3,2
2020072017,3,3
2020072018,3,4
2020072019,3,5
2020072020,2,6
2020072021,3,7
2020072022,3,8
2020072023,3,9
2020072100,3,10
2020072101,2,11
2020072115,1,1
2020072116,3,2
2020072117,3,3
2020072118,3,4
2020072119,3,5
2020072120,3,6
2020072121,3,7
2020072122,3,8
2020072123,3,9
2020072200,3,10
2020072201,1,11
2020072318,2,1
2020072319,3,2
2020072320,3,3
2020072321,3,4
2020072322,3,5
2020072323,3,6
2020072400,3,7
2020072401,1,8
2020072418,3,1
2020072419,3,2
2020072420,3,3
2020072421,3,4
2020072422,3,5
2020072423,3,6
2020072500,3,7
2020072501,2,8
2020072515,2,1
2020072517,1,1
2020072518,3,2
2020072519,3,3
2020072520,3,4
2020072521,3,5
2020072522,3,6
2020072523,3,7
2020072600,3,8
2020072601,3,9
2020072602,1,10
2020072605,1,1
2020072616,3,1
2020072617,1,2
2020072618,1,3
2020072619,3,4
2020072620,3,5
2020072621,3,6
2020072622,3,7
2020072623,1,8
2020072700,3,9
2020072701,3,10
2020072716,3,1
2020072717,3,2
2020072718,3,3
2020072719,3,4
2020072720,3,5
2020072721,3,6
2020072722,3,7
2020072723,1,8
2020072822,2,1
2020072823,3,2
2020072900,3,3
2020072901,2,4
2020072919,1,1
2020072920,3,2
2020072921,3,3
2020072922,2,4
2020072923,3,5
2020073000,3,6
2020073001,1,7
2020073014,1,1
2020073015,3,2
2020073016,3,3
2020073017,3,4
2020073018,3,5
2020073019,3,6
2020073020,3,7
2020073021,3,8
2020073022,3,9
2020073023,3,10
2020073100,3,11
2020073101,3,12
2020073102,2,13
2020073105,1,1
2020073109,2,1
2020073114,1,1
2020073115,3,2
2020073116,3,3
2020073117,3,4
2020073118,3,5
2020073119,3,6
2020073120,3,7
2020073121,3,8
2020073122,3,9
2020073123,3,10
2020080100,3,11
2020080101,3,12
2020080102,1,13
2020080115,3,1
2020080116,3,2
2020080117,3,3
2020080118,3,4
2020080119,3,5
2020080120,3,6
2020080121,3,7
2020080122,3,8
2020080123,3,9
2020080200,3,10
2020080201,1,11
2020080203,1,1
2020080204,3,2
2020080205,2,3
2020080206,1,4
2020080207,3,5
2020080208,3,6
2020080209,2,7
2020080214,1,1
2020080215,3,2
2020080216,3,3
2020080217,3,4
2020080218,3,5
2020080219,3,6
2020080220,3,7
2020080221,3,8
2020080222,3,9
2020080223,3,10
2020080300,3,11
2020080301,3,12
2020080302,1,13
2020080303,1,14
2020080304,1,15
2020080305,3,16
2020080306,3,17
2020080307,3,18
2020080308,2,19
2020080315,2,1
2020080316,3,2
2020080317,3,3
2020080318,3,4
2020080319,3,5
2020080320,3,6
2020080321,3,7
2020080322,3,8
2020080323,3,9
2020080400,3,10
2020080401,3,11
2020080402,2,12
2020080418,1,1
2020080419,3,2
2020080420,3,3
2020080421,3,4
2020080422,3,5
2020080423,3,6
2020080500,3,7
2020080501,3,8
2020080515,2,1
2020080516,3,2
2020080517,3,3
2020080518,3,4
2020080519,3,5
2020080520,3,6
2020080521,3,7
2020080522,3,8
2020080523,3,9
2020080600,3,10
2020080601,3,11
2020080602,3,12
2020080603,2,13
2020080609,2,1
2020080614,1,1
2020080615,3,2
2020080616,3,3
2020080617,3,4
2020080618,3,5
2020080619,3,6
