MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,0,2,0.00
0102,0,2,0.00
0103,0,2,0.00
0104,0,2,0.00
0105,0,1,0.00
0106,0,1,0.00
0107,0,1,0.00
0108,0,1,0.00
0109,0,1,0.00
0110,0,1,0.00
0111,0,1,0.00
0112,0,1,0.00
0113,0,1,0.00
0114,0,1,0.00
0115,0,1,0.00
0116,0,1,0.00
0117,0,1,0.00
0118,0,1,0.00
0119,0,1,0.00
0120,0,1,0.00
0121,0,1,0.00
0122,0,1,0.00
0123,0,1,0.00
0124,0,1,0.00
0125,0,1,0.00
0126,0,1,0.00
0127,0,1,0.00
0128,0,1,0.00
0129,0,1,0.00
0130,0,1,0.00
0131,0,1,0.00
0201,0,1,0.00
0202,1,1,100.00
0203,1,1,100.00
0204,0,1,0.00
0205,0,1,0.00
0206,0,1,0.00
0207,0,1,0.00
0208,0,1,0.00
0209,0,1,0.00
0210,0,1,0.00
0211,0,1,0.00
0212,0,1,0.00
0213,0,1,0.00
0214,1,1,100.00
0215,1,1,100.00
0216,0,1,0.00
0217,1,1,100.00
0218,0,1,0.00
0219,0,1,0.00
0220,0,1,0.00
0221,1,1,100.00
0222,1,1,100.00
0223,0,1,0.00
0224,0,1,0.00
0225,0,1,0.00
0226,0,1,0.00
0227,0,1,0.00
0228,0,1,0.00
0229,1,1,100.00
0301,1,1,100.00
0302,0,1,0.00
0303,0,1,0.00
0304,0,1,0.00
0305,0,1,0.00
0306,1,1,100.00
0307,1,1,100.00
0308,0,1,0.00
0309,0,1,0.00
0310,0,1,0.00
0311,0,1,0.00
0312,0,1,0.00
0313,1,1,100.00
0314,0,1,0.00
0315,0,1,0.00
0316,0,1,0.00
0317,1,1,100.00
0318,1,1,100.00
0319,0,1,0.00
0320,0,1,0.00
0321,0,1,0.00
0322,0,1,0.00
0323,0,1,0.00
0324,0,1,0.00
0325,0,1,0.00
0326,0,1,0.00
0327,0,1,0.00
0328,0,1,0.00
0329,0,1,0.00
0330,0,1,0.00
0331,0,1,0.00
0401,1,1,100.00
0402,1,1,100.00
0403,1,1,100.00
0404,1,1,100.00
0405,1,1,100.00
0406,0,1,0.00
0407,0,1,0.00
0408,1,1,100.00
0409,1,1,100.00
0410,0,1,0.00
0411,1,1,100.00
0412,0,1,0.00
0413,1,1,100.00
0414,1,1,100.00
0415,1,1,100.00
0416,0,1,0.00
0417,1,1,100.00
0418,1,1,100.00
0419,0,1,0.00
0420,0,1,0.00
0421,0,1,0.00
0422,0,1,0.00
0423,1,1,100.00
0424,0,1,0.00
0425,0,1,0.00
0426,0,1,0.00
0427,1,1,100.00
0428,1,1,100.00
0429,1,1,100.00
