OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2019090600,3,1
2019090601,3,2
2019090817,2,1
2019090818,6,2
2019090819,6,3
2019090820,4,4
2019090922,1,1
2019090923,2,2
2019091000,1,3
2019091007,1,1
2019091008,5,2
2019091009,3,3
2019091011,1,1
2019091015,6,1
2019091016,5,2
2019091017,6,3
2019091018,2,4
2019091019,5,5
2019091020,5,6
2019091021,6,7
2019091022,6,8
2019091023,5,9
2019091100,6,10
2019091101,4,11
2019091103,2,1
2019091104,3,2
2019091105,6,3
2019091106,3,4
2019091107,2,5
2019091611,1,1
2019091613,3,1
2019091614,5,2
2019091615,6,3
2019091616,6,4
2019091617,6,5
2019091618,6,6
2019091619,6,7
2019091620,5,8
2019091621,6,9
2019091622,6,10
2019091623,5,11
2019091700,5,12
2019091702,2,1
2019091705,3,1
2019091706,2,2
2019091707,6,3
2019091708,2,4
2019091709,3,5
2019091710,6,6
2019091711,3,7
2019091712,4,8
2019091715,2,1
2019091716,4,2
2019091718,5,1
2019091719,5,2
2019091720,4,3
2019091721,1,4
2019091817,1,1
2019091818,3,2
2019091819,3,3
2019091820,5,4
2019091821,5,5
2019091822,5,6
2019091823,5,7
2019091900,4,8
2019091901,3,9
2019091902,3,10
2019091903,3,11
2019091907,1,1
2019091908,1,2
2019091909,1,3
2019091910,2,4
2019091911,5,5
2019091912,4,6
2019091913,4,7
2019091914,6,8
2019091915,6,9
2019091916,6,10
2019091917,6,11
2019091918,6,12
2019091919,6,13
2019091920,6,14
2019091921,6,15
2019091922,6,16
2019091923,6,17
2019092000,6,18
2019092001,5,19
2019092002,1,20
2019092221,2,1
2019092222,2,2
2019092803,1,1
2019092804,3,2
2019092805,5,3
2019092806,6,4
2019092807,6,5
2019092808,6,6
2019092809,6,7
2019092810,2,8
2019092811,3,9
2019092813,2,1
2019092814,6,2
2019092815,6,3
2019092816,6,4
2019092817,6,5
2019092818,6,6
2019092819,6,7
2019092820,6,8
2019092821,6,9
2019092822,6,10
2019092823,6,11
2019092900,6,12
2019092901,6,13
2019092902,6,14
2019092903,6,15
2019092904,6,16
2019092905,4,17
2019092906,6,18
2019092907,6,19
2019092908,6,20
2019092909,6,21
2019092910,6,22
2019092911,6,23
2019092912,6,24
2019092913,6,25
2019092914,1,26
2019092915,3,27
2019092916,2,28
2019092917,4,29
2019092918,6,30
2019092919,6,31
2019092920,5,32
2019092922,3,1
2019093022,2,1
2019093023,1,2
2019100317,1,1
2019100318,5,2
2019100319,5,3
2019100320,3,4
2019100322,1,1
2019100323,3,2
2019100400,1,3
2019100404,2,1
2019100410,1,1
2019100414,1,1
2019100415,2,2
2019100416,2,3
2019100417,6,4
2019100418,5,5
2019100419,6,6
2019100420,3,7
2019100916,4,1
2019100922,4,1
2019101319,1,1
2019101320,2,2
2019101321,1,3
2019101323,1,1
2019101618,2,1
2019101619,1,2
2019101620,1,3
2019101717,2,1
2019101718,6,2
2019101719,6,3
2019101720,6,4
2019101721,6,5
2019101722,6,6
2019101723,6,7
2019101800,5,8
2019101810,1,1
2019102000,1,1
2019102622,1,1
2019102704,3,1
2019102705,2,2
2019103005,1,1
2019111913,1,1
2019111915,3,1
2019111916,6,2
2019111917,6,3
2019111918,5,4
2019111919,1,5
2019111920,1,6
2019111921,1,7
2019111922,2,8
2019111923,4,9
2019112023,1,1
2019112514,2,1
2019112515,5,2
2019112521,1,1
2019112523,1,1
2019112600,1,2
2019112706,6,1
2019112707,6,2
2019112708,6,3
2019112709,6,4
2019112710,3,5
2019112712,4,1
2019112713,2,2
2019112717,5,1
2019112718,6,2
2019112719,6,3
2019112720,6,4
2019112721,6,5
2019112722,6,6
2019112723,6,7
2019112800,4,8
2019112801,6,9
2019112802,6,10
2019112803,1,11
2019112804,2,12
2019112805,2,13
2019112806,1,14
2019112807,2,15
2019112808,4,16
2019112809,2,17
2019112810,1,18
2019112905,1,1
2019112906,3,2
2019112919,2,1
2019112920,2,2
2019112921,3,3
2019112922,3,4
2019112923,2,5
2019120204,1,1
2019120205,1,2
2019122218,2,1
2019122219,1,2
2019122222,4,1
2019122223,2,2
2019122300,3,3
2019122301,1,4
2019122303,5,1
2019122304,6,2
2019122305,6,3
2019122306,6,4
2019122307,1,5
2019122308,5,6
2019122309,6,7
2019122310,4,8
2019122311,5,9
2019122312,2,10
2019122315,3,1
2019122316,2,2
2019122318,3,1
2019122319,3,2
2019122320,5,3
2019122321,6,4
2019122322,3,5
2019122403,1,1
2019122404,1,2
2019122405,3,3
2019122406,1,4
2019122412,1,1
2020010205,2,1
2020010206,1,2
2020010416,2,1
2020010418,1,1
2020010807,4,1
2020010808,3,2
2020010809,6,3
2020010810,3,4
2020010811,5,5
2020010812,3,6
2020010814,3,1
2020011409,3,1
2020011410,1,2
2020011414,1,1
2020011417,2,1
2020011419,6,1
2020011619,1,1
2020011621,2,1
2020011623,2,1
2020011700,3,2
2020011701,1,3
2020011702,3,4
2020011703,6,5
2020011704,6,6
2020011705,6,7
2020011706,1,8
2020011707,5,9
2020011708,6,10
2020011709,1,11
2020011710,4,12
2020011711,4,13
2020011712,1,14
2020011713,1,15
2020020217,1,1
2020020219,4,1
2020020220,6,2
2020020221,6,3
2020020222,6,4
2020020223,6,5
2020020300,6,6
2020020301,6,7
2020020302,6,8
2020020303,6,9
2020020304,6,10
2020020305,6,11
2020020306,6,12
2020020307,6,13
2020020308,6,14
2020020820,1,1
2020020821,4,2
2020020822,1,3
2020020823,1,4
2020020904,1,1
2020021101,1,1
2020022414,1,1
2020022921,1,1
2020030102,3,1
2020030103,4,2
2020030104,5,3
2020030106,1,1
2020030107,5,2
2020030108,1,3
2020030115,1,1
2020030117,4,1
2020030118,5,2
2020030119,6,3
2020030120,5,4
2020030121,4,5
2020030122,3,6
2020030323,1,1
2020030619,1,1
2020030620,4,2
2020030621,1,3
2020030712,1,1
2020030713,4,2
2020030717,6,1
2020030718,5,2
2020030719,5,3
2020030720,5,4
2020030721,3,5
2020030722,3,6
2020030723,1,7
2020030800,2,8
2020030804,2,1
2020030805,3,2
2020030806,3,3
2020030910,2,1
2020030919,1,1
2020031320,1,1
2020031321,4,2
2020031322,1,3
2020031323,1,4
2020031416,3,1
2020031417,1,2
2020031418,5,3
2020031419,6,4
2020031420,5,5
2020031421,6,6
2020031422,6,7
2020031423,6,8
2020031500,5,9
2020031501,5,10
2020031502,6,11
2020031503,3,12
2020031504,6,13
2020031505,3,14
2020031506,1,15
2020031511,1,1
2020031512,1,2
2020031513,1,3
2020031514,3,4
2020031515,6,5
2020031516,6,6
2020031517,6,7
2020031518,3,8
2020031519,1,9
2020031520,2,10
2020031521,5,11
2020031522,1,12
2020031600,1,1
2020031616,1,1
2020031622,1,1
2020031623,1,2
2020031706,6,1
2020031707,5,2
2020031708,6,3
2020031709,6,4
2020031710,6,5
2020031711,6,6
2020031712,6,7
2020031713,6,8
2020031714,6,9
2020031715,6,10
2020031716,6,11
2020031717,6,12
2020031718,5,13
2020031719,6,14
2020031720,3,15
2020031721,6,16
2020031722,6,17
2020031723,5,18
2020031800,4,19
2020031802,2,1
2020031805,1,1
2020031806,3,2
2020031807,4,3
2020031808,3,4
2020031809,1,5
2020032418,2,1
2020032419,4,2
2020032420,3,3
2020032421,2,4
2020032422,5,5
2020032423,6,6
2020032500,6,7
2020032501,6,8
2020032502,6,9
2020032503,6,10
2020032504,6,11
2020032505,4,12
2020032506,6,13
2020032507,3,14
2020032510,1,1
2020032511,1,2
2020032512,4,3
2020032513,5,4
2020032514,6,5
2020032515,1,6
2020032516,1,7
2020032517,6,8
2020032518,5,9
2020032519,6,10
2020032520,6,11
2020032521,6,12
2020032522,6,13
2020032523,6,14
2020032600,6,15
2020032601,6,16
2020032602,6,17
2020032603,4,18
2020032604,4,19
2020032605,1,20
2020032606,2,21
2020032607,5,22
2020032612,1,1
2020032620,1,1
2020040120,1,1
2020040121,2,2
2020040201,4,1
2020040203,3,1
2020040204,6,2
2020040205,3,3
2020040418,1,1
2020040420,3,1
2020040421,3,2
2020040422,4,3
2020040423,3,4
2020040500,4,5
2020040501,2,6
2020040502,1,7
2020040503,2,8
2020040504,1,9
2020040505,5,10
2020040506,6,11
2020040507,5,12
2020040508,5,13
2020040509,3,14
2020040510,3,15
2020040513,3,1
2020040514,3,2
2020040515,5,3
2020040516,6,4
2020040517,6,5
2020040518,6,6
2020040519,6,7
2020040520,6,8
2020040521,6,9
2020040522,6,10
2020040523,6,11
2020040600,6,12
2020040601,5,13
2020040603,1,1
2020040604,2,2
2020040605,4,3
2020040606,1,4
2020040607,5,5
2020040608,6,6
2020040609,6,7
2020040610,6,8
2020040611,6,9
2020040612,6,10
2020040613,6,11
2020040614,5,12
2020040615,6,13
2020040616,6,14
2020040617,6,15
2020040618,4,16
2020040619,5,17
2020040620,3,18
2020040621,1,19
2020040819,3,1
2020040820,6,2
2020040821,6,3
2020040822,5,4
2020040823,4,5
2020040917,1,1
2020041321,1,1
2020041323,1,1
2020041817,1,1
2020041819,1,1
2020041921,2,1
2020042121,1,1
2020043016,1,1
2020043017,1,2
2020043021,4,1
2020043022,1,2
2020043023,1,3
2020050120,1,1
2020050121,5,2
2020050122,3,3
2020050200,1,1
2020050219,1,1
2020050221,1,1
2020050320,1,1
2020050321,4,2
2020050322,2,3
2020050323,1,4
2020050401,1,1
2020050417,1,1
2020051020,4,1
2020051021,2,2
2020051022,1,3
2020051023,1,4
2020051104,2,1
2020051105,5,2
2020051107,1,1
