OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2019082807,4,1
2019082808,6,2
2019082809,6,3
2019082810,6,4
2019082811,6,5
2019082812,6,6
2019082813,6,7
2019082814,6,8
2019082815,6,9
2019082816,4,10
2019082817,6,11
2019082818,6,12
2019082819,6,13
2019082820,6,14
2019082821,6,15
2019082822,6,16
2019082823,6,17
2019082900,6,18
2019082901,6,19
2019082902,6,20
2019082903,6,21
2019082904,6,22
2019082905,6,23
2019082906,6,24
2019082907,6,25
2019082908,6,26
2019082909,5,27
2019082910,6,28
2019082911,4,29
2019082921,1,1
2019082922,6,2
2019082923,6,3
2019083000,4,4
2019083020,1,1
2019083021,6,2
2019083022,6,3
2019083023,5,4
2019083119,2,1
2019083120,6,2
2019083121,6,3
2019083122,6,4
2019083123,6,5
2019090100,3,6
2019090104,2,1
2019090105,6,2
2019090106,6,3
2019090107,5,4
2019090108,6,5
2019090109,6,6
2019090110,6,7
2019090111,6,8
2019090112,6,9
2019090113,6,10
2019090114,6,11
2019090115,6,12
2019090116,6,13
2019090117,6,14
2019090118,6,15
2019090119,6,16
2019090120,6,17
2019090121,6,18
2019090122,6,19
2019090123,6,20
2019090200,6,21
2019090201,6,22
2019090202,6,23
2019090203,6,24
2019090204,6,25
2019090205,6,26
2019090206,6,27
2019090207,6,28
2019090208,6,29
2019090209,6,30
2019090210,6,31
2019090211,6,32
2019090212,6,33
2019090213,6,34
2019090214,6,35
2019090215,6,36
2019090216,6,37
2019090217,6,38
2019090218,6,39
2019090219,6,40
2019090220,6,41
2019090221,6,42
2019090222,6,43
2019090223,6,44
2019090300,6,45
2019090301,6,46
2019090302,6,47
2019090303,6,48
2019090304,6,49
2019090305,6,50
2019090306,6,51
2019090307,6,52
2019090308,6,53
2019090309,6,54
2019090310,6,55
2019090311,6,56
2019090312,5,57
2019090313,1,58
2019090420,4,1
2019090421,6,2
2019090422,6,3
2019090423,6,4
2019090500,6,5
2019090520,1,1
2019090521,1,2
2019090921,2,1
2019091008,5,1
2019091009,4,2
2019091414,3,1
2019091415,3,2
2019091419,3,1
2019091420,6,2
2019091421,6,3
2019091422,6,4
2019091423,6,5
2019091500,6,6
2019091501,5,7
2019091502,6,8
2019091503,6,9
2019091504,6,10
2019091505,6,11
2019091506,6,12
2019091507,6,13
2019091508,6,14
2019091509,6,15
2019091510,6,16
