OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2019120510,3,1
2019120511,3,2
2019120809,1,1
2019120810,5,2
2019120811,4,3
2019120812,6,4
2019120813,6,5
2019120814,6,6
2019120815,4,7
2019120816,1,8
2019121308,1,1
2019121310,2,1
2019121311,2,2
2019121312,3,3
2019121410,4,1
2019121411,4,2
2019121412,5,3
2019121413,6,4
2019121414,6,5
2019121415,5,6
2019121416,2,7
2019121418,2,1
2019121419,2,2
2019121420,1,3
2019121510,1,1
2019121511,1,2
2019121512,2,3
2019121515,1,1
2019121809,1,1
2019121811,2,1
2019121812,2,2
2019121813,6,3
2019121814,6,4
2019121815,6,5
2019121816,3,6
2019121817,6,7
2019121818,4,8
2019121819,4,9
2019121820,3,10
2019121821,1,11
2019122110,1,1
2019122115,5,1
2019122116,1,2
2019122706,1,1
2019122715,2,1
2020011321,3,1
2020011322,3,2
2020011421,2,1
2020012017,5,1
2020012018,1,2
2020021418,4,1
2020021419,6,2
2020021420,6,3
2020021421,6,4
2020021422,6,5
2020021423,5,6
2020021500,2,7
2020021501,6,8
2020021502,1,9
2020021710,1,1
2020022008,1,1
2020022009,2,2
2020022010,1,3
2020022011,1,4
2020022012,5,5
2020022013,6,6
2020022014,6,7
2020022015,6,8
2020022016,6,9
2020022017,6,10
2020022018,6,11
2020022019,3,12
2020022107,1,1
2020022108,6,2
2020022109,2,3
2020022110,3,4
2020022111,6,5
2020022112,6,6
2020022113,6,7
2020022114,6,8
2020022115,6,9
2020022116,6,10
2020022117,1,11
2020022217,4,1
2020022218,4,2
2020022219,3,3
2020022307,1,1
2020022308,2,2
2020022311,1,1
2020022312,2,2
2020022313,2,3
2020022409,2,1
2020022410,2,2
2020022411,5,3
2020022412,6,4
2020022413,3,5
2020022417,2,1
2020022418,2,2
2020022922,1,1
2020030100,2,1
2020030107,1,1
2020030108,1,2
2020030111,1,1
2020030612,4,1
2020030613,2,2
2020030614,4,3
2020030615,6,4
2020030616,2,5
2020030718,4,1
2020030719,5,2
2020030720,6,3
2020030721,6,4
2020030722,1,5
2020030802,1,1
2020030805,3,1
2020030806,2,2
2020030807,2,3
2020030808,6,4
2020030809,6,5
2020030810,6,6
2020030811,2,7
2020030812,2,8
2020030813,1,9
2020030921,3,1
2020030922,2,2
2020030923,2,3
2020031219,2,1
2020031311,2,1
2020031312,6,2
2020031313,6,3
2020031314,6,4
2020031315,6,5
2020031316,6,6
2020031317,6,7
2020031318,3,8
2020031421,1,1
2020031422,2,2
2020031504,5,1
2020031505,6,2
2020031506,4,3
2020031507,3,4
2020031520,2,1
2020031521,4,2
2020031522,6,3
2020031523,6,4
2020031600,6,5
2020031601,6,6
2020031801,1,1
2020031811,1,1
2020031920,1,1
2020032319,1,1
2020032320,2,2
2020032321,6,3
