MODY,DAYCOUNT_ACHIEVED,DAYCOUNT_TOTAL,COUNT_PCT
0101,2,11,18.18
0102,2,11,18.18
0103,3,11,27.27
0104,3,11,27.27
0105,4,11,36.36
0106,2,11,18.18
0107,2,11,18.18
0108,3,11,27.27
0109,1,11,9.09
0110,1,10,10.00
0111,1,11,9.09
0112,3,11,27.27
0113,2,11,18.18
0114,2,11,18.18
0115,2,11,18.18
0116,6,11,54.55
0117,3,11,27.27
0118,4,11,36.36
0119,3,11,27.27
0120,3,11,27.27
0121,3,11,27.27
0122,4,11,36.36
0123,3,11,27.27
0124,1,11,9.09
0125,1,11,9.09
0126,2,11,18.18
0127,1,11,9.09
0128,3,11,27.27
0129,3,11,27.27
0130,2,11,18.18
0131,2,12,16.67
0201,2,12,16.67
0202,2,12,16.67
0203,1,12,8.33
0204,1,11,9.09
0205,2,11,18.18
0206,2,11,18.18
0207,2,11,18.18
0208,0,11,0.00
0209,0,11,0.00
0210,1,11,9.09
0211,1,11,9.09
0212,2,11,18.18
0213,3,11,27.27
0214,1,11,9.09
0215,2,10,20.00
0216,1,10,10.00
0217,4,11,36.36
0218,2,11,18.18
0219,0,11,0.00
0220,2,11,18.18
0221,1,11,9.09
0222,1,11,9.09
0223,0,11,0.00
0224,1,11,9.09
0225,0,11,0.00
0226,0,11,0.00
0227,0,11,0.00
0228,1,12,8.33
0229,0,3,0.00
0301,2,12,16.67
0302,2,11,18.18
0303,2,12,16.67
0304,2,12,16.67
0305,2,12,16.67
0306,2,11,18.18
0307,1,12,8.33
0308,3,12,25.00
0309,3,12,25.00
0310,3,12,25.00
0311,3,12,25.00
0312,3,12,25.00
0313,2,12,16.67
0314,5,12,41.67
0315,5,12,41.67
0316,4,12,33.33
0317,3,12,25.00
0318,4,12,33.33
0319,3,12,25.00
0320,5,12,41.67
0321,5,12,41.67
0322,6,12,50.00
0323,2,12,16.67
0324,2,12,16.67
0325,2,12,16.67
0326,2,12,16.67
0327,0,12,0.00
0328,2,12,16.67
0329,2,12,16.67
0330,2,12,16.67
0331,3,12,25.00
0401,5,12,41.67
0402,2,12,16.67
0403,0,12,0.00
0404,3,12,25.00
0405,2,12,16.67
0406,2,12,16.67
0407,4,12,33.33
0408,4,12,33.33
0409,4,12,33.33
0410,2,12,16.67
0411,6,12,50.00
0412,5,12,41.67
0413,2,12,16.67
0414,2,12,16.67
0415,1,12,8.33
0416,3,12,25.00
0417,3,12,25.00
0418,2,12,16.67
0419,3,12,25.00
0420,3,12,25.00
0421,4,11,36.36
0422,3,10,30.00
0423,3,10,30.00
0424,2,10,20.00
0425,3,10,30.00
0426,2,11,18.18
0427,3,11,27.27
0428,3,10,30.00
0429,3,10,30.00
0430,3,11,27.27
0501,3,11,27.27
0502,2,10,20.00
0503,4,10,40.00
0504,3,10,30.00
0505,5,10,50.00
0506,6,10,60.00
0507,3,10,30.00
0508,5,9,55.56
0509,4,9,44.44
0510,3,8,37.50
0511,1,8,12.50
0512,3,8,37.50
0513,3,8,37.50
0514,3,8,37.50
0515,4,8,50.00
0516,4,8,50.00
0517,4,9,44.44
0518,4,8,50.00
0519,2,9,22.22
0520,2,9,22.22
0521,2,9,22.22
0522,2,9,22.22
0523,2,10,20.00
0524,1,10,10.00
0525,2,10,20.00
0526,3,10,30.00
0527,3,11,27.27
0528,1,11,9.09
0529,4,11,36.36
0530,3,11,27.27
0531,5,11,45.45
0601,7,11,63.64
0602,6,11,54.55
0603,7,11,63.64
0604,7,11,63.64
0605,7,11,63.64
0606,7,11,63.64
0607,5,11,45.45
0608,6,11,54.55
0609,6,11,54.55
0610,6,11,54.55
0611,5,11,45.45
0612,5,11,45.45
0613,6,11,54.55
0614,4,11,36.36
0615,3,11,27.27
0616,6,10,60.00
0617,3,10,30.00
0618,4,10,40.00
0619,4,10,40.00
0620,5,10,50.00
0621,5,11,45.45
0622,7,11,63.64
0623,8,11,72.73
0624,8,11,72.73
0625,7,11,63.64
0626,7,11,63.64
0627,5,11,45.45
0628,8,11,72.73
0629,8,11,72.73
0630,5,11,45.45
0701,3,11,27.27
0702,6,11,54.55
0703,7,11,63.64
0704,6,11,54.55
0705,5,11,45.45
0706,6,11,54.55
0707,4,11,36.36
0708,5,11,45.45
0709,5,11,45.45
0710,4,11,36.36
0711,3,11,27.27
0712,3,10,30.00
0713,4,10,40.00
0714,3,10,30.00
0715,4,10,40.00
0716,5,10,50.00
0717,5,10,50.00
0718,4,10,40.00
0719,5,10,50.00
0720,5,10,50.00
0721,3,10,30.00
0722,4,10,40.00
0723,6,10,60.00
0724,7,10,70.00
0725,7,10,70.00
0726,6,10,60.00
0727,5,10,50.00
0728,4,10,40.00
0729,3,11,27.27
0730,5,11,45.45
0731,5,11,45.45
0801,5,11,45.45
0802,6,11,54.55
0803,4,11,36.36
0804,6,11,54.55
0805,7,11,63.64
0806,5,11,45.45
0807,5,11,45.45
0808,3,11,27.27
0809,3,11,27.27
0810,5,11,45.45
0811,5,11,45.45
0812,6,11,54.55
0813,6,11,54.55
0814,6,11,54.55
0815,4,11,36.36
0816,5,11,45.45
0817,7,10,70.00
0818,7,10,70.00
0819,7,9,77.78
0820,4,8,50.00
0821,3,9,33.33
0822,3,9,33.33
0823,3,9,33.33
0824,3,8,37.50
0825,4,8,50.00
0826,4,8,50.00
0827,3,8,37.50
0828,3,8,37.50
0829,5,7,71.43
0830,5,8,62.50
0831,3,9,33.33
0901,2,9,22.22
0902,4,8,50.00
0903,4,8,50.00
0904,5,8,62.50
0905,4,9,44.44
0906,3,9,33.33
0907,5,9,55.56
0908,6,9,66.67
0909,4,9,44.44
0910,3,9,33.33
0911,3,8,37.50
0912,3,8,37.50
0913,5,8,62.50
0914,3,8,37.50
0915,2,8,25.00
0916,2,8,25.00
0917,2,8,25.00
0918,3,8,37.50
0919,2,7,28.57
0920,3,7,42.86
0921,5,7,71.43
0922,4,7,57.14
0923,4,7,57.14
0924,3,7,42.86
0925,3,7,42.86
0926,3,7,42.86
0927,3,7,42.86
0928,3,7,42.86
0929,4,7,57.14
0930,3,8,37.50
1001,3,8,37.50
1002,2,8,25.00
1003,2,8,25.00
1004,1,8,12.50
1005,1,8,12.50
1006,1,8,12.50
1007,4,8,50.00
1008,5,8,62.50
1009,2,8,25.00
1010,3,8,37.50
1011,2,8,25.00
1012,4,8,50.00
1013,3,8,37.50
1014,2,8,25.00
1015,4,8,50.00
1016,4,8,50.00
1017,3,8,37.50
1018,4,8,50.00
1019,4,9,44.44
1020,2,8,25.00
1021,2,8,25.00
1022,2,8,25.00
1023,2,9,22.22
1024,4,9,44.44
1025,4,11,36.36
1026,2,11,18.18
1027,4,11,36.36
1028,4,11,36.36
1029,3,11,27.27
1030,1,11,9.09
1031,2,11,18.18
1101,2,10,20.00
1102,1,10,10.00
1103,5,11,45.45
1104,3,11,27.27
1105,2,11,18.18
1106,3,11,27.27
1107,2,11,18.18
1108,0,11,0.00
1109,5,12,41.67
1110,4,12,33.33
1111,3,11,27.27
1112,2,12,16.67
1113,2,12,16.67
1114,4,11,36.36
1115,3,11,27.27
1116,2,11,18.18
1117,2,11,18.18
1118,2,11,18.18
1119,4,11,36.36
1120,5,12,41.67
1121,3,12,25.00
1122,2,12,16.67
1123,2,11,18.18
1124,3,11,27.27
1125,2,11,18.18
1126,4,12,33.33
1127,8,12,66.67
1128,6,12,50.00
1129,2,12,16.67
1130,1,13,7.69
1201,1,13,7.69
1202,2,13,15.38
1203,1,13,7.69
1204,2,13,15.38
1205,2,12,16.67
1206,3,12,25.00
1207,1,12,8.33
1208,2,12,16.67
1209,3,12,25.00
1210,5,12,41.67
1211,2,12,16.67
1212,3,12,25.00
1213,1,11,9.09
1214,1,12,8.33
1215,2,12,16.67
1216,2,12,16.67
1217,2,12,16.67
1218,2,12,16.67
1219,1,12,8.33
1220,1,12,8.33
1221,1,12,8.33
1222,1,12,8.33
1223,2,12,16.67
1224,1,11,9.09
1225,1,11,9.09
1226,2,11,18.18
1227,3,11,27.27
1228,2,11,18.18
1229,1,11,9.09
1230,2,11,18.18
1231,2,11,18.18
