OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008121909,1,1
2008122212,4,1
2008122213,4,2
2008122214,4,3
2008122215,1,4
2008122506,2,1
2008122509,1,1
2008122510,3,2
2008122511,4,3
2008122512,1,4
2009022308,3,1
2009022309,1,2
2009030304,4,1
2009030305,4,2
2009030306,4,3
2009030307,4,4
2009030308,3,5
2009030309,1,6
2009030310,1,7
2009030410,2,1
2009032612,1,1
2009040805,2,1
2009040806,1,2
2009051923,1,1
2009101405,1,1
2009101409,4,1
2009102820,1,1
2009110608,2,1
2009110609,4,2
2010012101,1,1
2010033003,3,1
2010033004,1,2
2010033005,1,3
2010033006,4,4
2010033007,3,5
2010033008,1,6
2010033009,1,7
2010040306,1,1
2010040512,1,1
2010040602,1,1
2010041108,1,1
2010041109,3,2
2010042722,3,1
2010042800,1,1
2010042801,3,2
2010042805,1,1
2010080412,1,1
2010080508,2,1
2010120305,1,1
2010120306,2,2
2010122606,2,1
2010122607,1,2
2010122608,1,3
2010122609,2,4
2010122909,2,1
2010122910,4,2
2010122911,4,3
2010122912,4,4
2010122913,4,5
2010122914,4,6
2010122915,4,7
2010122916,4,8
2010122917,2,9
2010122918,1,10
2011011709,1,1
2011011710,3,2
2011011711,4,3
2011011712,3,4
2011011713,1,5
2011011715,3,1
2011011717,1,1
2011011800,2,1
2011011801,2,2
2011011802,1,3
2011011803,1,4
2011012409,1,1
2011022810,1,1
2011030807,1,1
2011030808,1,2
2011031103,3,1
2011031104,3,2
2011031105,1,3
2011031615,1,1
2011032203,1,1
2011032508,2,1
2011032509,3,2
2011032510,1,3
2011081511,1,1
2011111217,3,1
2011112318,1,1
2011112522,1,1
2011123111,2,1
2011123114,2,1
2011123115,1,2
2012011603,2,1
2012011604,2,2
2012011605,1,3
2012011607,1,1
2012012111,3,1
2012012112,4,2
2012012113,3,3
2012012205,1,1
2012012211,1,1
2012022308,2,1
2012022309,4,2
2012022310,2,3
2012022311,4,4
2012022312,3,5
2012022510,1,1
2012022511,2,2
2012030606,1,1
2012030607,3,2
2012030608,2,3
2012030612,1,1
2012030615,1,1
2012031315,2,1
2012031316,4,2
2012031317,4,3
2012040506,1,1
2012040507,2,2
2012060906,1,1
2012091101,1,1
2012113009,1,1
2012120213,1,1
2012120221,1,1
2012120222,1,2
2012121022,1,1
2012121205,1,1
2012121206,2,2
2012121212,2,1
2012121213,2,2
2012121214,1,3
2012122302,2,1
2013013102,2,1
2013110306,2,1
2014011213,1,1
2014031019,1,1
2014031103,1,1
2014031513,1,1
2014031514,2,2
2014031515,1,3
2014042301,1,1
2014042918,1,1
2014051115,1,1
2014112309,1,1
2014112310,4,2
2014112412,1,1
2014112413,1,2
2014112414,2,3
2014112904,1,1
2014112906,1,1
2014112907,1,2
2014122121,1,1
2014122201,2,1
2014122202,4,2
2014122203,4,3
2014122204,3,4
2014122205,4,5
2014122206,3,6
2014122216,1,1
2014122219,1,1
2014122222,2,1
2014122223,4,2
2014122303,1,1
2015041422,1,1
2015041423,1,2
2015072222,1,1
2015102719,1,1
2015111815,2,1
2015111816,1,2
2015111817,1,3
2015121707,2,1
2015121708,1,2
2015122315,1,1
2015122316,2,2
2016021818,1,1
2016021819,1,2
2016121508,1,1
2017010900,1,1
2017010901,4,2
2017010902,3,3
2017010903,4,4
2017010904,4,5
2017010905,4,6
2017010906,4,7
2017010907,4,8
2017010908,4,9
2017010909,3,10
2017010910,4,11
2017011103,2,1
2017011105,3,1
2017011106,1,2
2017021000,1,1
2017021003,3,1
2017021004,2,2
2017021615,2,1
2017021616,1,2
2017022104,1,1
2017022105,1,2
2017030505,3,1
2017030506,3,2
2017030507,2,3
2017030508,2,4
2017040714,1,1
2017040715,1,2
2017040716,1,3
2017041403,1,1
2017061217,1,1
2017081001,1,1
2017102019,1,1
2019032810,1,1
2019041019,1,1
2019041022,1,1
2019041100,2,1
2019041101,1,2
2019041104,2,1
2019041607,1,1
2019042102,1,1
2019060804,1,1
2019060805,1,2
2019091705,1,1
2019102006,1,1
2019102009,1,1
2019112602,1,1
2019112604,2,1
2019112711,1,1
2020011719,1,1
2020012017,1,1
2020020222,1,1
2020020223,1,2
2020020308,1,1
2020020309,3,2
2020031406,1,1
2020031407,1,2
2020031409,1,1
2020031410,1,2
2020041206,1,1
2020090815,1,1
2020090816,4,2
2020090817,4,3
2020090818,2,4
2020090819,1,5
2020090821,3,1
2020090822,3,2
2021011404,1,1
2021012800,1,1
2021012801,1,2
