OBHOUR,OBS_ABOVE_THRESH,CONSEC_HRS
2008111300,2,1
2008112102,1,1
2008112106,2,1
2008112107,2,2
2008112900,1,1
2008112903,1,1
2008112904,1,2
2008112905,3,3
2008112906,1,4
2008112910,3,1
2008112911,1,2
2008112913,2,1
2008112921,1,1
2008112923,1,1
2008113000,3,2
2008113001,4,3
2008113002,4,4
2008113003,3,5
2008113004,1,6
2008113005,1,7
2008113006,3,8
2008113007,1,9
2008113008,1,10
2008113009,4,11
2008113010,4,12
2008113011,2,13
2008113012,2,14
2008113013,2,15
2008113014,4,16
2008113015,2,17
2008113021,1,1
2008120101,2,1
2008120219,1,1
2008120220,1,2
2008120223,2,1
2008120300,1,2
2008120304,1,1
2008120906,1,1
2008121305,4,1
2008121306,4,2
2008121307,3,3
2008121308,4,4
2008121311,4,1
2008121312,4,2
2008121313,2,3
2008121314,3,4
2008121315,3,5
2008121318,1,1
2008121320,1,1
2008121514,1,1
2008121515,1,2
2008121519,1,1
2008121520,3,2
2008121521,4,3
2008121602,1,1
2008121907,1,1
2008121908,4,2
2008121909,4,3
2008121910,2,4
2008121913,2,1
2008121914,2,2
2008121915,2,3
2008121921,1,1
2008122000,1,1
2008122003,1,1
2008122006,1,1
2008122015,1,1
2008122020,4,1
2008122021,4,2
2008122202,1,1
2008122203,1,2
2008122207,4,1
2008122208,4,2
2008122209,2,3
2008122210,1,4
2008122211,3,5
2008122212,4,6
2008122213,4,7
2008122214,4,8
2008122215,4,9
2008122216,2,10
2008122217,1,11
2008122218,1,12
2008122221,1,1
2008122222,4,2
2008122223,2,3
2008122306,1,1
2008122307,1,2
2008122423,2,1
2008122501,1,1
2008122502,1,2
2008122503,2,3
2008122504,1,4
2008122505,1,5
2008122506,4,6
2008122507,4,7
2008122508,4,8
2008122509,4,9
2008122510,4,10
2008122511,4,11
2008122512,4,12
2008122513,4,13
2008122514,4,14
2008122515,4,15
2008122516,4,16
2008122517,4,17
2008122518,4,18
2008122519,4,19
2008122520,4,20
2008122521,3,21
2008122522,3,22
2008122603,3,1
2008122604,3,2
2008122607,4,1
2008122608,2,2
2008122614,1,1
2008122615,1,2
2008123004,1,1
2008123006,3,1
2008123007,4,2
2008123008,3,3
2009010119,1,1
2009010120,1,2
2009010121,4,3
2009010122,2,4
2009010201,1,1
2009010215,2,1
2009010217,1,1
2009010218,1,2
2009010219,3,3
2009010220,2,4
2009010221,4,5
2009010222,2,6
2009010223,2,7
2009010300,3,8
2009010311,1,1
2009010313,1,1
2009010705,2,1
2009010706,4,2
2009010707,1,3
2009010708,4,4
2009010709,1,5
2009010710,1,6
2009010903,3,1
2009010904,2,2
2009010905,2,3
2009010907,2,1
2009010908,1,2
2009011111,1,1
2009011212,1,1
2009011213,1,2
2009011223,1,1
2009011300,2,2
2009011301,2,3
2009011302,2,4
2009012814,1,1
2009012819,1,1
2009012820,2,2
2009012821,4,3
2009012822,2,4
2009020517,1,1
2009020608,1,1
2009020609,1,2
2009021516,1,1
2009021517,3,2
2009021605,1,1
2009021606,2,2
2009021607,1,3
2009021608,4,4
2009021611,1,1
2009021702,1,1
2009021704,1,1
2009021705,2,2
2009021706,2,3
2009021713,1,1
2009022305,1,1
2009022306,4,2
2009022307,3,3
2009022308,4,4
2009022309,3,5
2009022311,1,1
2009022411,2,1
2009022412,1,2
2009022419,1,1
2009022420,1,2
2009022421,1,3
2009022503,1,1
2009022513,1,1
2009022517,1,1
2009022518,2,2
2009022519,1,3
2009022705,1,1
2009022713,1,1
2009022715,2,1
2009022716,1,2
2009030204,1,1
2009030207,1,1
2009030209,1,1
2009030213,2,1
2009030219,2,1
2009030221,1,1
2009030222,1,2
2009030223,1,3
2009030300,4,4
2009030301,2,5
2009030302,3,6
2009030303,4,7
2009030304,4,8
2009030305,4,9
2009030306,4,10
2009030307,4,11
2009030308,4,12
2009030309,4,13
2009030310,4,14
2009030311,4,15
2009030312,4,16
2009030313,1,17
2009030314,2,18
2009030315,2,19
2009030316,1,20
2009030317,3,21
2009030318,2,22
2009030319,2,23
2009030320,4,24
2009030321,4,25
2009030322,1,26
2009030323,1,27
2009030401,2,1
2009030402,2,2
2009030403,3,3
2009030404,2,4
2009030405,4,5
2009030406,4,6
2009030407,4,7
2009030408,4,8
2009030409,4,9
2009030410,4,10
2009030411,4,11
2009030412,2,12
2009030413,4,13
2009030414,3,14
2009030415,4,15
2009030416,3,16
2009030417,4,17
2009030418,4,18
2009030419,4,19
2009030420,4,20
2009030421,4,21
2009030422,2,22
2009030423,1,23
2009030500,2,24
2009030510,1,1
2009030511,2,2
2009030900,2,1
2009030902,2,1
2009030903,4,2
2009030904,4,3
2009030905,3,4
2009030906,1,5
2009030907,3,6
